"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"zpgX",6,0.0307,0,10000,1,51,0.00064978,6.41e-07,0.000174211,1.43e-07,39065.1195,5242897.966,3117,0,10000,0,10000,1,0.567522,0,10000,5999.758511,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,52,0.000699374,1.36e-06,0.00019803,3.12e-07,38982.17031,6203816.216,3116,0,10000,0,10000,1,0.580455,0,10000,5970.976759,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,56,0.000699535,1.8e-06,0.000191895,3.36e-07,39070.01995,4812651.565,3112,0,10000,0,10000,1,0.570077,0,10000,5984.598024,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,52,0.000690766,1.34e-06,0.000190788,2.7e-07,39081.80816,5220801.983,3116,0,10000,0,10000,1,0.580084,0,10000,5999.272611,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,59,0.000726574,2.46e-06,0.000195569,3.87e-07,39198.9752,5856260.228,3109,0,10000,0,10000,1,0.564439,0,10000,6016.484365,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,52,0.000671818,8.81e-07,0.000186578,2.32e-07,39060.50675,5444767.695,3116,0,10000,0,10000,1,0.574752,0,10000,5996.337154,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,49,0.000656655,5.77e-07,0.000167924,1.03e-07,39016.86774,5092857.719,3119,0,10000,0,10000,1,0.573932,0,10000,5989.063613,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,50,0.000703401,1.42e-06,0.000188753,2.36e-07,38978.73603,5685080.761,3118,0,10000,0,10000,1,0.554652,0,10000,5999.209221,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,49,0.000671314,6.54e-07,0.000169916,8.63e-08,38977.25682,4898283.548,3119,0,10000,0,10000,1,0.562612,0,10000,5988.694436,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,47,0.000667366,5.63e-07,0.000176025,1.15e-07,38930.84344,5525759.886,3121,0,10000,0,10000,1,0.593074,0,10000,5969.937997,1,0,0,"Long term chasing"
