"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"nos",6,0.0307,0,10000,1,131,0.002607336,6.11e-07,0.0002699,2.11e-08,44749.35213,6114091.544,3037,0,10000,0,10000,1,0.789832,0,10000,10046.33344,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,145,0.0023916,6.9e-07,0.000250315,2.44e-08,44680.25041,6317240.643,3023,0,10000,0,10000,1,0.737728,0,10000,10079.4216,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,152,0.002315881,6.17e-07,0.000242361,1.96e-08,44724.64907,8019326.199,3016,0,10000,0,10000,1,0.814239,0,10000,10150.85845,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,157,0.002238363,6.53e-07,0.000216299,1.6e-08,45196.41171,5634455.096,3011,0,10000,0,10000,1,0.762838,0,10000,10121.42935,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,156,0.002176879,4.78e-07,0.000198537,1.14e-08,45477.20246,5471664.78,3012,0,10000,0,10000,1,0.768727,0,10000,10397.65809,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,148,0.002363946,7.73e-07,0.000243023,2.57e-08,44876.5693,9704930.173,3020,0,10000,0,10000,1,0.777876,0,10000,10177.90102,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,132,0.00241035,9.98e-07,0.000234736,2.54e-08,45312.87302,6728022.619,3036,0,10000,0,10000,1,0.725284,0,10000,10301.66487,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,141,0.002145217,5.86e-07,0.000227154,2.06e-08,45136.4006,5518966.011,3027,0,10000,0,10000,1,0.739939,0,10000,10153.72277,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,180,0.002489227,9.08e-07,0.000258965,2.68e-08,44535.45979,6137763.134,2988,0,10000,0,10000,1,0.718002,0,10000,9840.309669,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,181,0.002143782,5.24e-07,0.000212579,1.26e-08,44828.2531,5141643.974,2987,0,10000,0,10000,1,0.752435,0,10000,10070.62305,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,153,0.002349434,7.33e-07,0.00022471,1.61e-08,45932.73962,6064460.441,3015,0,10000,0,10000,1,0.782659,0,10000,10709.49176,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,158,0.002409473,9.82e-07,0.000248415,1.99e-08,44833.4491,6691946.799,3010,0,10000,0,10000,1,0.751039,0,10000,10076.09971,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,166,0.002392565,8.73e-07,0.000226901,1.62e-08,45171.4046,4976397.698,3002,0,10000,0,10000,1,0.774191,0,10000,10264.46244,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,154,0.002398322,1.02e-06,0.000238603,2.03e-08,44749.22591,7424890.908,3014,0,10000,0,10000,1,0.746855,0,10000,10156.92588,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,139,0.002626428,8.17e-07,0.000272006,2.18e-08,44484.30545,6731655.851,3029,0,10000,0,10000,1,0.748389,0,10000,9982.666772,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,155,0.002534338,7.21e-07,0.000257754,2.24e-08,44582.60386,6291289.979,3013,0,10000,0,10000,1,0.759944,0,10000,9973.416242,1,0,0,"Long term chasing"
