"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"nos",6,0.0307,0,NA,1,147.965,0.00236469533,6.94365e-07,0.00023770101,1.94253e-08,44922.36133715,6049801.22889,NA,0,NA,0,NA,1,0.75632893,0,NA,1,0,0,0,0,0,0,0,1,10135.441224,NA,10135.441224,NA
"nosF",6,0.0307,0,NA,1,71.005,0.01600774961,0.00014486273,0.00375080318,1.990491e-05,25892.0203008,25453198.183,NA,0,NA,0,NA,1,0.877210925,0,NA,1,0,0,0,0,0,0,0,1,3849.530423245,NA,3849.530423245,NA
"nosF2",6,0.0307,0.905,715.458563535912,0.73,60.0479452054795,0.0910885573219178,0.00727918714383562,0.0312369986438356,0.00119929731506849,14367.662859863,71318452.6828794,934.186991869919,0.005,3055,0,NA,0.09,0.882676555555556,0,NA,0.09,0.005,0,0.02,0.615,0.005,0.27,0,0.09,2343.53866474555,2371.63935872084,2285.62089638889,2372.6488869416
"nosF3",6,0.0307,0.99,255.626262626263,0.57,56.7280701754386,0.151648135885965,0.014097905122807,0.0580661923859649,0.00297355464912281,10198.0748783939,65570727.0576152,335.182692307692,0.01,85,0,NA,0,NA,0,NA,0,0.01,0,0.04,0.52,0.01,0.43,0,0,2040.98682217003,2040.98682217003,NA,2037.13225308778
"vasaX",6,0.0307,0,NA,1,45.245,0.000312275095,1.4004e-07,6.84015e-05,1.818165e-08,43171.31423005,3075917.69676,NA,0,NA,0,NA,1,0.5048549,0,NA,1,0,0,0,0,0,0,0,1,8610.249947245,NA,8610.249947245,NA
"zpg",6,0.0307,0,NA,1,80.68,0.000637114655,4.6913e-07,4.0463e-05,1.54382e-08,51876.9012125,3713176.36515,NA,0,NA,0,NA,1,0.64988157,0,NA,1,0,0,0,0,0,0,0,1,10310.6115533,NA,10310.6115533,NA
"zpg2",6,0.0307,0,NA,1,73.365,0.01147662918,6.8700745e-05,0.002547124845,7.90296e-06,28202.75467485,18284885.82895,NA,0,NA,0,NA,1,0.874986795,0,NA,1,0,0,0,0,0,0,0,1,4367.567367085,NA,4367.567367085,NA
"zpg2X",6,0.0307,0,NA,1,54.24,0.001712599025,9.5805e-06,0.000558501895,2.128465e-06,32975.2175191,7474845.062885,NA,0,NA,0,NA,1,0.65026613,0,NA,1,0,0,0,0,0,0,0,1,4767.786292685,NA,4767.786292685,NA
"zpgX",6,0.0307,0,NA,1,50.185,0.000684852755,1.17672e-06,0.00018455771,2.27374e-07,39009.34959535,5718748.04327,NA,0,NA,0,NA,1,0.57598061,0,NA,1,0,0,0,0,0,0,0,1,5988.74714502,NA,5988.74714502,NA
