"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"nosF2",6,0.0307,0,10000,1,68,0.061174706,0.002625665,0.019348088,0.000427019,17142.12952,71086640.56,3100,0,10000,0,10000,1,0.97465,0,10000,2490.464446,1,0,0,"Long term chasing"
"nosF2",6,0.0307,1,89,0,10000,10000,10000,10000,10000,NA,NA,10000,0,10000,0,10000,0,10000,0,10000,NA,0,0,0,"Suppression without chasing"
"nosF2",6,0.0307,1,1586,1,57,0.060282154,0.00374694,0.019206307,0.00047551,17305.36352,78799245.44,1517,0,10000,0,10000,0,10000,0,10000,2506.881935,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,103,1,74,0.26882275,0.050454891,0.100953917,0.000970626,1222.916667,381545.5764,16,0,10000,0,10000,0,10000,0,10000,1275.02,0,0,0,"Suppression with tiny chase"
"nosF2",6,0.0307,1,3129,1,57,0.06221966,0.003286604,0.021320679,0.000828317,16506.78759,82157709.11,3058,0,10000,0,10000,0,10000,0,10000,2428.48771,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,95,0,10000,10000,10000,10000,10000,NA,NA,10000,0,10000,0,10000,0,10000,0,10000,NA,0,0,0,"Suppression without chasing"
"nosF2",6,0.0307,1,103,1,62,0.320169208,0.033434603,0.075545152,0.002986892,4968.36,24279468.71,29,0,10000,0,10000,0,10000,0,10000,3065.354839,0,0,0,"Suppression with tiny chase"
"nosF2",6,0.0307,0,10000,1,52,0.057386812,0.002232911,0.020564945,0.000574504,16284.56555,69839781.04,3116,0,10000,0,10000,1,0.94576,0,10000,2199.067899,1,0,0,"Long term chasing"
"nosF2",6,0.0307,1,1857,1,53,0.069894216,0.003447143,0.024536374,0.000698197,15944.81701,91473677.63,1791,0,10000,0,10000,0,10000,0,10000,2395.682366,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,681,1,53,0.093059553,0.015389253,0.03218367,0.002166473,16492.17349,109263874.1,615,0,10000,0,10000,0,10000,0,10000,2777.585516,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,1024,1,54,0.086410177,0.007226113,0.033465157,0.002082987,14870.11426,93568597.35,958,0,10000,0,10000,0,10000,0,10000,2428.046418,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,96,0,10000,10000,10000,10000,10000,NA,NA,10000,0,10000,0,10000,0,10000,0,10000,NA,0,0,0,"Suppression without chasing"
"nosF2",6,0.0307,1,92,0,10000,10000,10000,10000,10000,NA,NA,10000,0,10000,0,10000,0,10000,0,10000,NA,0,0,0,"Suppression without chasing"
"nosF2",6,0.0307,1,96,0,10000,10000,10000,10000,10000,NA,NA,10000,0,10000,0,10000,0,10000,0,10000,NA,0,0,0,"Suppression without chasing"
"nosF2",6,0.0307,1,2038,1,56,0.067481006,0.003175656,0.023792041,0.00081437,16481.24835,85173294.51,1969,0,10000,0,10000,0,10000,0,10000,2480.913087,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,526,1,59,0.08080954,0.003267153,0.030696569,0.00071461,12673.76116,72298535.86,452,0,10000,0,10000,0,10000,0,10000,2006,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,92,0,10000,10000,10000,10000,10000,NA,NA,10000,0,10000,0,10000,0,10000,0,10000,NA,0,0,0,"Suppression without chasing"
"nosF2",6,0.0307,1,123,1,61,0.323530423,0.026175589,0.135417193,0.009634104,4400.022727,30232448.98,48,0,10000,0,10000,0,10000,0,10000,2815.626506,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,651,1,58,0.072938389,0.001972976,0.025562937,0.000450958,14041.61419,54459646.47,582,0,10000,0,10000,0,10000,0,10000,2110.848534,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,84,0,10000,10000,10000,10000,10000,NA,NA,10000,0,10000,0,10000,0,10000,0,10000,NA,0,0,0,"Suppression without chasing"
"nosF2",6,0.0307,1,1146,1,55,0.078301158,0.006443958,0.029936967,0.001846657,14852.8586,66733405.89,1079,0,10000,0,10000,0,10000,0,10000,2065.611511,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,307,1,58,0.096290266,0.002695134,0.04000931,0.000506306,8618.716157,19515851.29,233,0,10000,0,10000,0,10000,0,10000,1785.544444,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,613,1,62,0.069265072,0.00458834,0.023906536,0.000888482,15119.53645,63174204.94,539,0,10000,0,10000,0,10000,0,10000,2225.421329,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,93,0,10000,10000,10000,10000,10000,NA,NA,10000,0,10000,0,10000,0,10000,0,10000,NA,0,0,0,"Suppression without chasing"
"nosF2",6,0.0307,1,105,1,59,0.116171167,0.007256726,0.036074713,0.000723324,7819.333333,62019472.53,37,0,10000,0,10000,0,10000,0,10000,4059.880597,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,3090,1,53,0.050620382,0.001528122,0.015194858,0.000163979,17763.13893,75960597.16,3020,0,10000,0,10000,0,10000,0,10000,2476.768803,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,0,10000,1,62,0.066405181,0.004405355,0.022685911,0.000777438,15785.21599,68990304.25,3106,0,10000,0,10000,1,0.859396,0,10000,2196.861529,1,0,0,"Long term chasing"
"nosF2",6,0.0307,0,10000,1,61,0.059900663,0.002063903,0.020069184,0.00034559,16274.48437,77752459.39,3107,0,10000,0,10000,1,0.74953,0,10000,2364.884308,1,0,0,"Long term chasing"
"nosF2",6,0.0307,1,2092,1,56,0.06474585,0.003945879,0.022466296,0.000953898,17165.43289,91198885.66,2023,0,10000,0,10000,0,10000,0,10000,2711.666505,0,0,0,"Suppression after chasing"
