original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
7,4,0.21,0.921918,0.23,0.899281,0.59,0.1083,0.61,0.0793245,0.229364757,0.595728978,0.366364221,,
14,10,0.43,0.905405,0.45,0.861082,0.79,0.11531,0.81,0.0819838,0.432438914,0.799187966,0.366749052,,
14,1,0.09,0.914027,0.11,0.896978,0.47,0.10553,0.49,0.0717131,0.106454924,0.473270554,0.36681563,,
13,5,0.25,0.925878,0.27,0.868263,0.61,0.140137,0.63,0.0900726,0.258983077,0.626034148,0.367051071,,
14,3,0.17,0.90461,0.19,0.859043,0.53,0.11242,0.55,0.0866062,0.172023394,0.53962276,0.367599366,,
3,10,0.43,0.90436,0.45,0.874715,0.79,0.122835,0.81,0.0796194,0.432941474,0.800567943,0.367626469,,
12,3,0.17,0.905556,0.19,0.887192,0.53,0.12752,0.55,0.0881489,0.176050969,0.543979797,0.367928828,,
15,4,0.21,0.909713,0.23,0.886005,0.57,0.12408,0.59,0.0949776,0.218193859,0.586548463,0.368354605,,
11,3,0.17,0.917178,0.19,0.892765,0.55,0.103261,0.57,0.0795,0.18407283,0.552744834,0.368672004,,
6,5,0.25,0.906942,0.27,0.878146,0.61,0.145331,0.63,0.0796117,0.254821503,0.623795339,0.368973836,,
3,3,0.17,0.924812,0.19,0.883663,0.55,0.101838,0.57,0.06778,0.182059588,0.551079335,0.369019747,,
7,3,0.19,0.906615,0.21,0.867526,0.55,0.116965,0.57,0.0907745,0.193384584,0.562955079,0.369570495,,
14,12,0.49,0.910837,0.51,0.894802,0.87,0.105866,0.89,0.0740385,0.503516682,0.87368612,0.370169438,,
10,1,0.09,0.938967,0.11,0.893557,0.47,0.111335,0.49,0.0804424,0.107162299,0.477338327,0.370176028,,
7,9,0.39,0.916901,0.41,0.893368,0.77,0.106715,0.79,0.0796371,0.40436366,0.774959764,0.370596105,,
20,1,0.09,0.942529,0.11,0.897106,0.47,0.10874,0.49,0.0900591,0.108725756,0.479357151,0.370631395,,
13,4,0.21,0.915612,0.23,0.879487,0.57,0.1335,0.59,0.0989453,0.218643322,0.589389548,0.370746226,,
2,4,0.17,0.916286,0.19,0.886713,0.55,0.102881,0.57,0.0717092,0.181014101,0.551848466,0.370834365,,
4,2,0.13,0.925278,0.15,0.891854,0.51,0.110331,0.53,0.0756952,0.145125658,0.515965504,0.370839846,,
3,1,0.11,0.911208,0.13,0.876374,0.47,0.122734,0.49,0.0968215,0.116435092,0.487546744,0.371111652,,
7,5,0.25,0.909091,0.27,0.882143,0.61,0.136229,0.63,0.0965517,0.256747068,0.628261827,0.371514759,,
1,4,0.21,0.903356,0.23,0.867542,0.57,0.117766,0.59,0.0918367,0.211874127,0.583703417,0.371829289,,
13,9,0.39,0.919881,0.41,0.872973,0.77,0.100779,0.79,0.0785,0.398476592,0.770699313,0.372222721,,
11,5,0.25,0.901065,0.27,0.893816,0.61,0.122489,0.63,0.0931646,0.252938336,0.62533808,0.372399744,,
19,1,0.11,0.900585,0.13,0.878788,0.47,0.122571,0.49,0.0879012,0.110536771,0.483020554,0.372483783,,
4,7,0.31,0.922118,0.33,0.89404,0.69,0.116094,0.71,0.0785606,0.325754683,0.698575828,0.372821145,,
10,9,0.39,0.907859,0.41,0.895683,0.77,0.109744,0.79,0.0765081,0.402909001,0.775863539,0.372954538,,
9,13,0.53,0.926471,0.55,0.871311,0.91,0.102982,0.93,0.0824977,0.539597897,0.912911498,0.373313601,,
7,10,0.43,0.91791,0.45,0.88874,0.81,0.108258,0.83,0.0801815,0.442279739,0.8158825,0.37360276,,
6,1,0.09,0.940613,0.11,0.898279,0.47,0.120452,0.49,0.0901597,0.109186942,0.483503101,0.37431616,,
14,13,0.53,0.901809,0.55,0.878893,0.89,0.130841,0.91,0.0927088,0.53157881,0.90617583,0.374597021,,
12,1,0.09,0.911491,0.11,0.882102,0.47,0.103396,0.49,0.076006,0.097819933,0.472479737,0.374659805,,
7,13,0.55,0.914604,0.57,0.887931,0.93,0.108491,0.95,0.0787103,0.560950399,0.935702351,0.374751952,,
7,2,0.15,0.905344,0.17,0.862069,0.51,0.130319,0.53,0.0951417,0.152469786,0.527237821,0.374768035,,
4,3,0.17,0.905213,0.19,0.890278,0.55,0.102552,0.57,0.0770378,0.176980917,0.552000455,0.375019537,,
18,12,0.47,0.926513,0.49,0.891484,0.85,0.117085,0.87,0.0843373,0.485137743,0.860434321,0.375296578,,
4,5,0.25,0.901099,0.27,0.880702,0.61,0.127784,0.63,0.0942279,0.251077609,0.626559731,0.375482122,,
9,7,0.31,0.904913,0.33,0.885897,0.69,0.101053,0.71,0.0770761,0.315167228,0.690878345,0.375711118,,
20,7,0.33,0.905836,0.35,0.870927,0.69,0.142857,0.71,0.0984029,0.33334355,0.709281461,0.375937911,,
16,8,0.35,0.903947,0.37,0.87246,0.71,0.130716,0.73,0.0975248,0.352507066,0.72850852,0.376001454,,
5,13,0.51,0.911003,0.53,0.899338,0.89,0.129771,0.91,0.091044,0.528864981,0.905374803,0.376509822,,
5,9,0.37,0.903141,0.39,0.896919,0.75,0.111278,0.77,0.0774684,0.380096432,0.756671478,0.376575046,,
8,6,0.27,0.909589,0.29,0.865471,0.65,0.101097,0.67,0.0777998,0.274346979,0.650941744,0.376594766,,
2,7,0.27,0.910294,0.29,0.88518,0.65,0.108265,0.67,0.0751731,0.278197818,0.65499518,0.376797362,,
8,5,0.23,0.906486,0.25,0.872801,0.61,0.101326,0.63,0.0742207,0.233850972,0.610978406,0.377127434,,
9,5,0.23,0.929012,0.25,0.888889,0.61,0.127849,0.63,0.0821446,0.244461531,0.622186573,0.377725042,,
20,6,0.29,0.90166,0.31,0.876433,0.65,0.14594,0.67,0.0998965,0.29131605,0.669955043,0.378638992,,
11,6,0.27,0.918083,0.29,0.886024,0.65,0.114637,0.67,0.0866568,0.281281076,0.660462398,0.379181323,,
11,13,0.53,0.917617,0.55,0.88615,0.91,0.106075,0.93,0.0950413,0.541197127,0.921011719,0.379814591,,
20,12,0.51,0.903533,0.53,0.886836,0.89,0.107248,0.91,0.0723684,0.514231898,0.894156011,0.379924113,,
18,3,0.15,0.918478,0.17,0.891547,0.53,0.114488,0.55,0.0936107,0.163722476,0.543879189,0.380156713,,
12,5,0.23,0.904523,0.25,0.88664,0.61,0.110182,0.63,0.0726626,0.235058435,0.615427592,0.380369157,,
