original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
5,8,0.51,0.908257,0.53,0.885057,0.75,0.152142,0.77,0.0982688,0.517118103,0.769357306,0.252239202,,
5,9,0.57,0.901125,0.59,0.868066,0.81,0.113244,0.83,0.0729717,0.570680601,0.816577226,0.245896624,,
5,10,0.61,0.90532,0.63,0.85885,0.85,0.120523,0.87,0.0926457,0.612289649,0.864723808,0.252434158,,
5,11,0.65,0.906655,0.67,0.880619,0.89,0.124508,0.91,0.0838095,0.655112152,0.902043687,0.246931535,,
6,1,0.21,0.903253,0.23,0.842023,0.45,0.105617,0.47,0.0740925,0.211062551,0.453563578,0.242501026,,
6,2,0.25,0.910653,0.27,0.873028,0.49,0.119381,0.51,0.0848261,0.255662724,0.501217512,0.245554788,,
6,3,0.29,0.912116,0.31,0.873293,0.53,0.141254,0.55,0.0998975,0.296241661,0.549950431,0.25370877,,
6,4,0.35,0.915909,0.37,0.849897,0.59,0.106646,0.61,0.0843009,0.354820033,0.595948508,0.241128475,,
6,5,0.39,0.915595,0.41,0.894699,0.63,0.116445,0.65,0.0852558,0.404926302,0.640545317,0.235619015,,
6,6,0.43,0.918086,0.45,0.880767,0.67,0.124242,0.69,0.0963187,0.43969265,0.687363277,0.247670627,,
6,7,0.47,0.919965,0.49,0.895981,0.73,0.105804,0.75,0.0765525,0.486648599,0.733968344,0.247319744,,
6,8,0.53,0.910389,0.55,0.857843,0.77,0.126521,0.79,0.0817674,0.53395425,0.781852007,0.247897758,,
6,9,0.57,0.904637,0.59,0.880619,0.83,0.102451,0.85,0.0675808,0.573861271,0.831405785,0.257544514,,
6,10,0.61,0.919298,0.63,0.884733,0.87,0.101902,0.89,0.0692124,0.621166209,0.871163673,0.249997464,,
6,11,0.65,0.923213,0.67,0.887335,0.91,0.11629,0.93,0.0883631,0.662939963,0.921666171,0.258726208,,
7,1,0.19,0.921461,0.21,0.88663,0.45,0.108136,0.47,0.0686475,0.202322931,0.454120693,0.251797763,,
7,2,0.25,0.900239,0.27,0.87113,0.49,0.114271,0.51,0.0757033,0.25016421,0.497400493,0.247236283,,
7,3,0.29,0.905569,0.31,0.875735,0.53,0.113074,0.55,0.0797514,0.293733324,0.537846927,0.244113602,,
7,4,0.33,0.918474,0.35,0.889837,0.57,0.120795,0.59,0.0915458,0.342902189,0.584219192,0.241317003,,
7,5,0.37,0.924935,0.39,0.89541,0.61,0.143375,0.63,0.0984694,0.386890771,0.629318303,0.242427533,,
7,6,0.41,0.921218,0.43,0.889423,0.67,0.118034,0.69,0.0761421,0.423346753,0.678609779,0.255263026,,
7,7,0.45,0.923351,0.47,0.893162,0.71,0.137577,0.73,0.0928934,0.465469873,0.726819146,0.261349273,,
7,8,0.51,0.916735,0.53,0.882262,0.75,0.147793,0.77,0.0943489,0.519709048,0.76788523,0.248176182,,
7,9,0.57,0.905239,0.59,0.851773,0.81,0.134634,0.83,0.0842561,0.57195975,0.82374968,0.25178993,,
7,10,0.61,0.908055,0.63,0.858744,0.87,0.117964,0.89,0.0761719,0.61326702,0.87859684,0.265329821,,
7,11,0.65,0.916879,0.67,0.88537,0.91,0.117428,0.93,0.0984361,0.660713764,0.928353087,0.267639323,,
8,1,0.21,0.901884,0.23,0.878428,0.43,0.119352,0.45,0.0752744,0.211606412,0.438780877,0.227174465,,
8,2,0.25,0.906383,0.27,0.862538,0.47,0.125123,0.49,0.0868902,0.25291162,0.483142119,0.230230498,,
8,3,0.27,0.931599,0.29,0.898895,0.53,0.111387,0.55,0.0742049,0.289324242,0.53612499,0.246800749,,
8,4,0.31,0.92572,0.33,0.897774,0.57,0.11815,0.59,0.0727454,0.328406928,0.577994785,0.249587857,,
8,5,0.37,0.901653,0.39,0.859848,0.61,0.116549,0.63,0.0845797,0.370790814,0.620353057,0.249562243,,
8,6,0.41,0.907216,0.43,0.894696,0.67,0.105666,0.69,0.0695243,0.421527157,0.673135436,0.25160828,,
8,7,0.47,0.900557,0.49,0.869565,0.71,0.133469,0.73,0.0914573,0.470359448,0.725933181,0.255573733,,
8,8,0.51,0.913399,0.53,0.864006,0.77,0.10499,0.79,0.0646275,0.515425465,0.772472592,0.257047127,,
8,9,0.55,0.905691,0.57,0.853749,0.81,0.103831,0.83,0.0733763,0.55219129,0.812515868,0.260324578,,
8,10,0.59,0.922135,0.61,0.875189,0.85,0.110893,0.87,0.0705128,0.599429983,0.855395218,0.255965235,,
8,11,0.65,0.920032,0.67,0.888177,0.89,0.111392,0.91,0.0796117,0.662576989,0.897169221,0.234592232,,
9,1,0.19,0.930732,0.21,0.899595,0.45,0.100099,0.47,0.0680787,0.209739859,0.450061836,0.240321976,,
9,2,0.23,0.928709,0.25,0.88955,0.49,0.109671,0.51,0.0651322,0.244662785,0.49434273,0.249679945,,
9,3,0.29,0.909468,0.31,0.887472,0.53,0.123316,0.55,0.0750487,0.298608838,0.539661199,0.241052361,,
9,4,0.33,0.922948,0.35,0.895268,0.59,0.101727,0.61,0.0640041,0.346580925,0.590915624,0.244334699,,
9,5,0.37,0.934535,0.39,0.890547,0.63,0.118474,0.65,0.0748609,0.38570201,0.638471767,0.252769757,,
9,6,0.43,0.907705,0.45,0.873894,0.67,0.132411,0.69,0.0820826,0.434557688,0.682879805,0.248322117,,
9,7,0.47,0.920767,0.49,0.886895,0.71,0.138548,0.73,0.0878896,0.482262045,0.725218799,0.242956754,,
9,8,0.53,0.906225,0.55,0.840909,0.77,0.114697,0.79,0.0722078,0.531906118,0.776917993,0.245011875,,
9,9,0.57,0.905158,0.59,0.86802,0.81,0.111913,0.83,0.0764023,0.572777748,0.816709527,0.243931779,,
9,10,0.61,0.923922,0.63,0.872111,0.85,0.119179,0.87,0.0981746,0.619234332,0.868261888,0.249027556,,
9,11,0.65,0.914286,0.67,0.89244,0.89,0.129923,0.91,0.0867942,0.663078824,0.903876111,0.240797286,,
10,1,0.21,0.923213,0.23,0.897771,0.45,0.117939,0.47,0.078,0.228247779,0.458983199,0.23073542,,
10,2,0.25,0.908699,0.27,0.87658,0.49,0.128052,0.51,0.0825365,0.255416732,0.50232635,0.246909619,,
10,3,0.31,0.904048,0.33,0.855982,0.53,0.137862,0.55,0.0924528,0.311684351,0.546675916,0.234991565,,
10,4,0.35,0.905956,0.37,0.863735,0.57,0.134115,0.59,0.0922058,0.352821345,0.586280435,0.23345909,,
10,5,0.39,0.919897,0.41,0.865385,0.63,0.11558,0.65,0.0755287,0.397300044,0.637780022,0.240479978,,
10,6,0.41,0.927152,0.43,0.887564,0.67,0.13471,0.69,0.0836798,0.423717288,0.683603709,0.259886421,,
10,7,0.47,0.916454,0.49,0.888235,0.71,0.122955,0.73,0.094106,0.481661646,0.725913896,0.24425225,,
10,8,0.51,0.912564,0.53,0.898008,0.75,0.137206,0.77,0.0904573,0.527262984,0.765917448,0.238654464,,
10,9,0.55,0.935455,0.57,0.894939,0.81,0.1133,0.83,0.083958,0.567501728,0.819065503,0.251563776,,
10,10,0.61,0.900082,0.63,0.874286,0.85,0.110783,0.87,0.0843373,0.610063576,0.858154823,0.248091247,,
10,11,0.65,0.915147,0.67,0.87977,0.89,0.129656,0.91,0.0945813,0.658563191,0.906910195,0.248347004,,
11,1,0.21,0.907104,0.23,0.850146,0.45,0.104953,0.47,0.0667656,0.21249447,0.452594049,0.24009958,,
11,2,0.25,0.900353,0.27,0.85907,0.49,0.121227,0.51,0.0773372,0.250171015,0.499672862,0.249501848,,
11,3,0.29,0.902572,0.31,0.87196,0.53,0.114496,0.55,0.0790274,0.291680387,0.538173991,0.246493604,,
11,4,0.33,0.911111,0.35,0.879528,0.57,0.120413,0.59,0.0944922,0.337036064,0.585750285,0.248714222,,
11,5,0.37,0.929188,0.39,0.894223,0.63,0.100148,0.65,0.0741688,0.386695553,0.630113937,0.243418385,,
11,6,0.41,0.937177,0.43,0.89402,0.67,0.119632,0.69,0.0793494,0.427228723,0.679747136,0.252518413,,
11,7,0.47,0.909816,0.49,0.865237,0.71,0.144869,0.73,0.0989346,0.474403867,0.729536121,0.255132254,,
11,8,0.51,0.909548,0.53,0.871184,0.77,0.125317,0.79,0.0858003,0.514977583,0.782813317,0.267835734,,
11,9,0.55,0.908189,0.57,0.896844,0.81,0.130626,0.83,0.0983525,0.564436316,0.828979039,0.264542723,,
11,10,0.61,0.903633,0.63,0.879643,0.87,0.117817,0.89,0.0766947,0.613028762,0.878665371,0.265636609,,
11,11,0.65,0.92461,0.67,0.893322,0.91,0.106546,0.93,0.0896396,0.665731271,0.917743813,0.252012542,,
12,1,0.19,0.917064,0.21,0.896302,0.45,0.106061,0.47,0.0720155,0.206437723,0.453560529,0.247122807,,
12,2,0.23,0.936293,0.25,0.896523,0.49,0.11224,0.51,0.0775776,0.248251446,0.497062408,0.248810962,,
12,3,0.29,0.916738,0.31,0.887709,0.53,0.113081,0.55,0.0766855,0.301531916,0.537188251,0.235656335,,
12,4,0.33,0.934175,0.35,0.894223,0.59,0.100154,0.61,0.0704433,0.34710803,0.590103666,0.242995637,,
12,5,0.37,0.934741,0.39,0.898319,0.61,0.156504,0.63,0.0996477,0.389076932,0.629876074,0.240799142,,
12,6,0.43,0.907346,0.45,0.863531,0.67,0.137401,0.69,0.084278,0.43335319,0.684080907,0.250727717,,
12,7,0.47,0.91559,0.49,0.870894,0.71,0.122013,0.73,0.0980873,0.476976016,0.728401134,0.251425118,,
12,8,0.51,0.937107,0.53,0.890909,0.77,0.102818,0.79,0.0790554,0.526064332,0.772371794,0.246307463,,
12,9,0.57,0.903459,0.59,0.848286,0.81,0.114697,0.83,0.0937346,0.571253874,0.824022249,0.252768375,,
12,10,0.61,0.911148,0.63,0.870168,0.85,0.141848,0.87,0.0953582,0.615440703,0.868003089,0.252562386,,
12,11,0.67,0.903509,0.69,0.857339,0.89,0.144422,0.91,0.0945559,0.671520035,0.907816513,0.236296478,,
13,1,0.21,0.924072,0.23,0.866078,0.45,0.10563,0.47,0.0720766,0.218301548,0.453355845,0.235054296,,
13,2,0.25,0.908217,0.27,0.880597,0.49,0.118182,0.51,0.0863454,0.255950036,0.501422074,0.245472038,,
13,3,0.29,0.912234,0.31,0.88195,0.53,0.139769,0.55,0.0986547,0.298079514,0.54934558,0.251266067,,
13,4,0.35,0.90591,0.37,0.84747,0.59,0.101597,0.61,0.0818882,0.352022587,0.591620596,0.239598009,,
13,5,0.39,0.900744,0.41,0.865881,0.63,0.119275,0.65,0.0818094,0.390426814,0.640289439,0.249862625,,
13,6,0.43,0.927913,0.45,0.892506,0.67,0.131272,0.69,0.0870886,0.445766939,0.684155543,0.238388604,,
13,7,0.47,0.926131,0.49,0.899529,0.73,0.100355,0.75,0.0651417,0.489645891,0.730201628,0.240555737,,
13,8,0.53,0.900247,0.55,0.869784,0.77,0.121914,0.79,0.0732452,0.530162164,0.779005359,0.248843195,,
13,9,0.57,0.910941,0.59,0.887294,0.81,0.116781,0.83,0.0783505,0.579253605,0.818733168,0.239479563,,
13,10,0.61,0.916024,0.63,0.891151,0.85,0.122222,0.87,0.0838646,0.622884654,0.861586812,0.238702158,,
13,11,0.65,0.930556,0.67,0.893519,0.89,0.128883,0.91,0.0751665,0.666500257,0.900753865,0.234253609,,
14,1,0.19,0.937319,0.21,0.89569,0.43,0.128514,0.45,0.0990099,0.207929328,0.449328839,0.241399511,,
14,2,0.23,0.929332,0.25,0.889182,0.49,0.112536,0.51,0.0781179,0.244611208,0.497284539,0.252673331,,
14,3,0.27,0.937143,0.29,0.897414,0.53,0.117387,0.55,0.0825871,0.28869818,0.539992557,0.251294377,,
14,4,0.33,0.902813,0.35,0.867277,0.57,0.129929,0.59,0.0878848,0.331583183,0.584236922,0.252653739,,
14,5,0.37,0.924061,0.39,0.885425,0.61,0.160247,0.63,0.0997963,0.382455223,0.629932606,0.247477383,,
14,6,0.41,0.920362,0.43,0.88062,0.67,0.119342,0.69,0.0963115,0.420247094,0.686796856,0.266549763,,
14,7,0.47,0.914948,0.49,0.8761,0.73,0.104651,0.75,0.0852041,0.477695634,0.734783282,0.257087647,,
14,8,0.51,0.914876,0.53,0.879285,0.77,0.143155,0.79,0.0990854,0.518359417,0.789584929,0.271225513,,
14,9,0.55,0.93231,0.57,0.884278,0.83,0.133168,0.85,0.0807241,0.563453531,0.842648945,0.279195414,,
14,10,0.61,0.91811,0.63,0.898852,0.89,0.102289,0.91,0.0679981,0.628807768,0.891335048,0.26252728,,
14,11,0.67,0.906766,0.69,0.893204,0.93,0.110311,0.95,0.0751845,0.679977879,0.935870781,0.255892902,,
15,1,0.19,0.92606,0.21,0.891983,0.43,0.13445,0.45,0.0936556,0.205294774,0.446889573,0.241594799,,
15,2,0.25,0.914141,0.27,0.856399,0.49,0.106372,0.51,0.0623429,0.254897995,0.492894449,0.237996455,,
15,3,0.27,0.930386,0.29,0.885833,0.53,0.109015,0.55,0.0877458,0.283640383,0.538477047,0.254836663,,
15,4,0.31,0.93988,0.33,0.895871,0.57,0.138384,0.59,0.070733,0.328123566,0.581347652,0.253224086,,
15,5,0.39,0.900154,0.41,0.858601,0.61,0.138959,0.63,0.098723,0.390074122,0.629365245,0.239291123,,
15,6,0.41,0.932,0.43,0.889655,0.67,0.118857,0.69,0.0850323,0.425113945,0.68114984,0.256035895,,
15,7,0.47,0.904255,0.49,0.857798,0.71,0.1403,0.73,0.0934172,0.471831801,0.727191806,0.255360004,,
15,8,0.51,0.913186,0.53,0.87363,0.75,0.14088,0.77,0.0955511,0.516667004,0.768037058,0.251370054,,
15,9,0.57,0.902035,0.59,0.831114,0.81,0.112815,0.83,0.081519,0.570573878,0.818189545,0.247615667,,
