original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
11,3,0.07,0.925134,0.09,0.895,0.47,0.10206,0.49,0.073694,0.08668148934758081,0.47145244306564194,0.38477095371806114
11,4,0.19,0.931937,0.21,0.894253,0.51,0.124765,0.53,0.0816929,0.2069498991614478,0.5214993232277971,0.31454942406634934
11,5,0.03,1.0,0.05,0.842105,0.55,0.136882,0.57,0.0696721,0.042666645555590736,0.5609751688367339,NAN
11,6,0.99,0.0,0.01,0.833333,0.59,0.125749,0.61,0.0945946,1.0116000086400034,0.6065299283568292,NAN
11,7,0.35,0.907834,0.37,0.888438,0.63,0.119555,0.65,0.094246,0.3580779542173644,0.6454530009087677,0.2873750466914033
11,8,0.37,0.921384,0.39,0.85213,0.69,0.104909,0.71,0.0680681,0.3761755277673492,0.6926649728969704,0.3164894451296212
11,9,0.39,0.92236,0.41,0.884804,0.75,0.102176,0.77,0.0763889,0.4019075513899244,0.7516876655381954,0.34978011414827104
11,10,0.33,0.961538,0.35,0.896907,0.79,0.12426,0.81,0.0862403,0.3490428741625536,0.8027618050642168,0.4537189309016632
11,11,0.49,0.907781,0.51,0.898219,0.83,0.129918,0.85,0.0845624,0.5062748379000208,0.8431926377338189,0.3369177998337981
11,12,0.29,1.0,0.31,0.75,0.89,0.101662,0.91,0.0728597,0.298,0.8911540745009947,NAN
12,1,0.07,0.912621,0.09,0.888889,0.41,0.16815,0.43,0.090625,0.08063627170065735,0.4275814253466623,0.346945153646005
12,2,0.11,0.900383,0.13,0.888252,0.47,0.122974,0.49,0.0785985,0.11063144011210951,0.4803543622043695,0.36972292209226
12,3,0.99,0.0,0.01,0.848485,0.51,0.136232,0.53,0.0928854,1.011214281926021,0.526717343459464,NAN
12,4,0.23,0.906417,0.25,0.87191,0.57,0.113722,0.59,0.0571142,0.23371924537050454,0.5748480951388324,0.34112884976832786
12,5,0.27,0.900538,0.29,0.894144,0.61,0.135055,0.63,0.0810029,0.27168282765092255,0.6229708188951031,0.35128799124418053
12,6,0.31,0.934028,0.33,0.885496,0.67,0.112805,0.69,0.0803828,0.3240229127173823,0.6778989087723843,0.35387599605500203
12,7,0.13,1.0,0.15,0.75,0.71,0.117202,0.73,0.0909091,0.138,0.7230849012471047,NAN
12,8,0.09,1.0,0.11,0.8,0.77,0.12451,0.79,0.0921844,0.09999999999999999,0.7851644517039127,NAN
12,9,0.11,1.0,0.13,0.666667,0.81,0.139579,0.83,0.0976331,0.116000006000006,0.8288714510834194,NAN
12,10,0.51,0.902655,0.53,0.881612,0.87,0.114674,0.89,0.0790441,0.5125234044575393,0.8782369021524057,0.3657134976948664
13,1,0.01,0.94,0.03,0.89881,0.39,0.11553,0.41,0.0875233,0.02942218985190579,0.40109020341561125,0.37166801356370543
13,2,0.11,0.91,0.13,0.886878,0.45,0.112537,0.47,0.0667311,0.11864977078107432,0.455473967327353,0.3368241965462787
13,3,0.07,0.915385,0.09,0.883721,0.49,0.137331,0.51,0.0829069,0.0797176604345629,0.5037185548314074,0.42400089439684446
13,4,0.05,0.983051,0.07,0.875,0.55,0.100503,0.57,0.0859903,0.0653725555524706,0.5506931859681521,0.4853206304156815
13,5,0.11,0.940678,0.13,0.883721,0.61,0.109312,0.63,0.0583581,0.12428375792264339,0.6136550686012258,0.48937131067858236
13,6,0.25,0.930769,0.27,0.894915,0.65,0.120077,0.67,0.0672897,0.2671634964020751,0.6576067538972442,0.3904432574951691
13,7,0.33,0.912281,0.35,0.89433,0.71,0.109658,0.73,0.0695134,0.34368280318645195,0.7148116060441504,0.37112880285769845
