original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
5,2,0.25,0.920385,0.27,0.874693,0.45,0.119608,0.47,0.0687098,0.25892278735883745,0.45770479113210294,0.1987820037732655
5,3,0.29,0.929238,0.31,0.896586,0.49,0.12002,0.51,0.0788177,0.3079088570378537,0.49971790409758676,0.19180904705973306
5,4,0.33,0.930577,0.35,0.891732,0.53,0.143002,0.55,0.0916218,0.34574308147766764,0.5467387437183974,0.20099566224072973
5,5,0.39,0.901523,0.41,0.85835,0.59,0.1059,0.61,0.0829196,0.39070553355106197,0.5951348105341944,0.2044292769831324
5,6,0.43,0.918397,0.45,0.874685,0.63,0.15,0.65,0.0972157,0.4384173682284041,0.6489450272145316,0.21052765898612752
5,7,0.47,0.935084,0.49,0.888834,0.69,0.128431,0.71,0.0873092,0.48517145945945944,0.7038277020947526,0.2186562426352932
5,8,0.51,0.952482,0.53,0.897397,0.75,0.102183,0.77,0.0701493,0.529054915131161,0.7513629396541767,0.22230802452301568
5,9,0.57,0.919323,0.59,0.861962,0.79,0.120655,0.81,0.0896152,0.5767373302418018,0.8033087197726789,0.22657138953087708
5,10,0.63,0.901093,0.65,0.829981,0.83,0.123596,0.85,0.0904281,0.63030740240747,0.8442282146292047,0.21392081222173476
5,11,0.67,0.923956,0.69,0.866871,0.87,0.157343,0.89,0.0868307,0.6783930980117369,0.886264680062911,0.20787158205117418
6,1,0.21,0.921796,0.23,0.864865,0.41,0.103414,0.43,0.0618401,0.21765698828406313,0.4116423765872338,0.19398538830317066
6,2,0.25,0.917197,0.27,0.875562,0.45,0.108296,0.47,0.0739454,0.25826083823706014,0.4548301921946051,0.19656935395754493
6,3,0.29,0.918795,0.31,0.888715,0.49,0.12266,0.51,0.078274,0.3024966755319149,0.5002104267111251,0.19771375117921025
6,4,0.33,0.945435,0.35,0.882353,0.53,0.125734,0.55,0.0911405,0.3444050600805301,0.5448779394973045,0.20047287941677433
6,5,0.37,0.938525,0.39,0.894924,0.59,0.101035,0.61,0.0706052,0.38767161303639824,0.5906802542244773,0.2030086411880791
6,6,0.43,0.913706,0.45,0.862469,0.63,0.123373,0.65,0.0878119,0.43535004001014893,0.6431452626606039,0.20779522265045497
6,7,0.47,0.923038,0.49,0.866835,0.69,0.101324,0.71,0.066075,0.4781981388893831,0.6907512269851627,0.21255308809577955
6,8,0.51,0.933166,0.53,0.870233,0.73,0.115164,0.75,0.0832057,0.5205400981996727,0.7394898664822597,0.21894976828258694
6,9,0.55,0.942326,0.57,0.894815,0.77,0.143001,0.79,0.0975,0.5678173475616174,0.7889011230522406,0.2210837754906232
6,10,0.61,0.919603,0.63,0.892638,0.83,0.1051,0.85,0.0758621,0.6245395883552753,0.8334886226438971,0.20894903428862177
6,11,0.65,0.931775,0.67,0.896797,0.87,0.137285,0.89,0.0859857,0.6681685630968037,0.8845362607287038,0.2163676976319001
7,1,0.21,0.933138,0.23,0.89265,0.41,0.10994,0.43,0.0775552,0.22636929460580912,0.4161386823448037,0.1897693877389946
7,2,0.25,0.9257,0.27,0.88391,0.45,0.123988,0.47,0.0817826,0.2622995932041158,0.4613672658001109,0.19906767259599512
7,3,0.29,0.937531,0.31,0.880729,0.49,0.150502,0.51,0.092331,0.30321467553959364,0.5073632909869179,0.20414861544732427
7,4,0.35,0.909919,0.37,0.843531,0.55,0.106893,0.57,0.0692112,0.35298819063686204,0.5536585301126804,0.20067033947581836
7,5,0.39,0.916004,0.41,0.85964,0.59,0.121524,0.61,0.0766442,0.3956788020722447,0.5995918431009051,0.20391304102866037
7,6,0.43,0.927941,0.45,0.89006,0.63,0.125123,0.65,0.0920863,0.4447519864839893,0.6452091461919622,0.20045715970797295
7,7,0.49,0.905719,0.51,0.835704,0.69,0.103042,0.71,0.0626214,0.4916336499321574,0.691505173104803,0.19987152317264556
7,8,0.51,0.9365,0.53,0.893488,0.73,0.110497,0.75,0.0715343,0.5269720078117734,0.7353882302817824,0.2084162224700089
