original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
13,8,0.31,0.908815,0.33,0.872493,0.75,0.117146,0.77,0.0837233,0.3148538076097131,0.7602600926914941,0.445406285081781
13,9,0.27,0.917411,0.29,0.895197,0.77,0.119589,0.79,0.0911557,0.28567570000900333,0.783778914160509,0.4981032141515057
13,10,0.33,0.924953,0.35,0.897314,0.81,0.102285,0.83,0.0752351,0.34805636962263464,0.8116894702013686,0.46363310057873397
13,11,0.35,0.902214,0.37,0.898551,0.81,0.125911,0.83,0.0970632,0.3620884520884518,0.8279639348581175,0.46587548276966567
13,12,0.39,0.910053,0.41,0.885671,0.85,0.112805,0.87,0.0917008,0.39824624723156427,0.8621350252556363,0.4638887780240721
13,13,0.39,0.921488,0.41,0.884,0.87,0.144987,0.89,0.0942249,0.40146393512590695,0.8877246410215496,0.48626070589564263
13,14,0.13,1.0,0.15,0.846154,0.91,0.117172,0.93,0.0973025,0.143000013000013,0.9272847832104482,NAN
13,14,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,15,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,16,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,17,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14,1,0.07,0.908932,0.09,0.890226,0.53,0.106484,0.55,0.0640767,0.0795498770447984,0.5330579640769396,0.4535080870321412
14,2,0.11,0.915937,0.13,0.89404,0.53,0.137433,0.55,0.0966057,0.12455633191761423,0.5483372400330171,0.42378090811540287
14,3,0.13,0.902804,0.15,0.852273,0.57,0.102911,0.59,0.0776302,0.13110981377768105,0.572302933451473,0.44119311967379193
14,4,0.13,0.932462,0.15,0.884692,0.59,0.125339,0.61,0.0995334,0.14359095666736446,0.6096383730663112,0.46604741639894676
14,5,0.15,0.922756,0.17,0.891429,0.63,0.117032,0.65,0.0959786,0.16452804290228876,0.6461798094369555,0.4816517665346668
14,6,0.19,0.901042,0.21,0.876176,0.65,0.110936,0.67,0.0898296,0.19083809217405293,0.6603627335784407,0.46952464140438777
14,7,0.19,0.913758,0.21,0.897345,0.67,0.112735,0.69,0.0932945,0.20676475964174731,0.6831015148787326,0.47633675523698527
14,8,0.23,0.932849,0.25,0.883387,0.71,0.1012,0.73,0.0714653,0.24328251991427763,0.7108071377885097,0.46752461787423205
14,9,0.25,0.904505,0.27,0.893617,0.73,0.101124,0.75,0.0979021,0.25827516531961786,0.7369772494490828,0.47870208412946497
14,10,0.27,0.931864,0.29,0.899452,0.77,0.102524,0.79,0.0880855,0.2896618536344564,0.7734962080548533,0.4838343544203969
14,11,0.33,0.903399,0.35,0.890244,0.77,0.136317,0.79,0.0994975,0.3351676168757126,0.7897270468094353,0.45455942993372267
14,12,0.35,0.934046,0.37,0.899083,0.83,0.102711,0.85,0.0737401,0.36947544547092637,0.8318715331591355,0.46239608768820917
14,13,0.99,0.027127,0.01,0.888889,0.85,0.104082,0.87,0.0758765,1.010257867021289,0.8528944709365195,NAN
14,14,0.01,0.942857,0.03,0.875,0.87,0.105695,0.89,0.0884422,0.022631563434870376,0.8766018269498285,0.8539702635149581
14,15,0.99,0.0662539,0.01,0.894737,0.89,0.11951,0.91,0.0998479,1.01012705147516,0.9098452861088083,NAN
14,16,0.37,0.935018,0.39,0.898507,0.93,0.117176,0.95,0.0994345,0.3891821642792583,0.9493625116252854,0.5601803473460272
14,16,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14,17,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14,18,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14,19,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
15,1,0.09,0.913265,0.11,0.890223,0.51,0.11353,0.53,0.0908611,0.10151375748632928,0.5219370591427022,0.42042330165637287
15,2,0.11,0.901852,0.13,0.879808,0.55,0.101793,0.57,0.0761473,0.11168027581201231,0.5513982850926277,0.43971800928061533
15,3,0.13,0.910828,0.15,0.879725,0.57,0.118786,0.59,0.0904366,0.13696267241102142,0.5832531905437152,0.4462905181326937
15,4,0.15,0.907514,0.17,0.864726,0.59,0.131977,0.61,0.0859705,0.15351219968215388,0.6039010791953311,0.4503888795131772
15,5,0.13,0.909722,0.15,0.89899,0.63,0.102308,0.65,0.0790274,0.14811777860603792,0.6319827667671796,0.48386498816114165
15,6,0.17,0.913556,0.19,0.888278,0.65,0.117899,0.67,0.0982997,0.18072553208323444,0.6682649380335012,0.48753940595026674
15,7,0.23,0.904913,0.25,0.872077,0.69,0.103553,0.71,0.0639798,0.2329924473139237,0.6917956596888803,0.45880321237495664
15,8,0.21,0.908714,0.23,0.895257,0.69,0.126033,0.71,0.0936013,0.22295088058259635,0.7060540458872029,0.4831031653046065
15,9,0.25,0.908222,0.27,0.895038,0.73,0.105237,0.75,0.0901352,0.2624726941747572,0.7369355970811426,0.47446290290638543
15,10,0.29,0.919266,0.31,0.847176,0.75,0.116535,0.77,0.0886141,0.29534498543487303,0.7618441740774832,0.46649918864261014
15,11,0.29,0.927083,0.31,0.895522,0.79,0.108614,0.81,0.0758906,0.3071623205855328,0.7952647341046468,0.48810241351911404
15,12,0.31,0.935252,0.33,0.876,0.81,0.108367,0.83,0.0895062,0.3218990076284345,0.8188723702069902,0.49697336257855573
15,13,0.35,0.917757,0.37,0.885764,0.83,0.127692,0.85,0.0923716,0.3611005532460225,0.8456804566199703,0.48457990337394774
