,drive_carrier,pop_size,fertile_female,drop_size,suppressed
0,0.0,2053,1028,400.0,0
1,0.0,2029,1033,400.0,0
2,0.0,1946,980,400.0,0
3,0.0,1998,989,400.0,0
4,0.0,2083,1028,400.0,0
5,0.0,2022,1016,400.0,0
6,0.0,1971,999,400.0,0
7,0.0,2005,1001,400.0,0
8,0.0,2022,1041,400.0,0
9,0.0,1870,946,400.0,0
10,0.00948969,2039,1059,400.0,0
11,0.27898,2282,962,400.0,0
12,0.450376,2773,965,400.0,0
13,0.583319,3154,859,400.0,0
14,0.644091,3659,761,400.0,0
15,0.707468,4052,688,400.0,0
16,0.726072,4422,549,400.0,0
17,0.756485,4666,481,400.0,0
18,0.778953,4839,431,400.0,0
19,0.790155,4892,365,400.0,0
20,0.773373,4716,320,400.0,0
21,0.806112,4587,321,400.0,0
22,0.790951,4376,276,400.0,0
23,0.803298,4167,248,400.0,0
24,0.832256,3964,227,400.0,0
25,0.803567,3801,195,400.0,0
26,0.820159,3224,163,400.0,0
27,0.809894,2658,143,400.0,0
28,0.758954,2241,126,400.0,0
29,0.759694,1846,120,400.0,0
30,0.720887,1547,117,400.0,0
31,0.656498,1358,116,400.0,0
32,0.573606,1330,140,400.0,0
33,0.457404,1339,169,400.0,0
34,0.427364,1447,248,400.0,0
35,0.386539,1757,365,400.0,0
36,0.312394,2142,543,400.0,0
37,0.263821,2612,796,400.0,0
38,0.22455,2909,965,400.0,0
39,0.17848,2837,983,400.0,0
40,0.12855,2691,998,400.0,0
41,0.127694,2450,944,400.0,0
42,0.0919063,2328,964,400.0,0
43,0.0799277,2189,943,400.0,0
44,0.055185,2171,952,400.0,0
45,0.0545388,2296,1035,400.0,0
46,0.0409355,2147,952,400.0,0
47,0.0309473,2156,958,400.0,0
48,0.0305898,2160,991,400.0,0
49,0.0224221,2137,1004,400.0,0
50,0.0285459,2109,1003,400.0,0
51,0.0138346,2144,1008,400.0,0
52,0.0122555,2068,990,400.0,0
53,0.0114198,2034,990,400.0,0
54,0.00939016,2011,968,400.0,0
55,0.00484966,2088,1012,400.0,0
56,0.00666101,2047,1015,400.0,0
57,0.00291717,1968,988,400.0,0
58,0.00307677,2012,1027,400.0,0
59,0.00138565,1935,984,400.0,0
60,0.00144902,1961,996,400.0,0
61,0.0033643,1985,1005,400.0,0
62,0.00153399,1952,961,400.0,0
63,0.00354173,2056,1001,400.0,0
64,0.00165166,2007,984,400.0,0
65,0.000870554,2093,1046,400.0,0
66,0.000974384,1949,992,400.0,0
67,0.000553682,1963,1006,400.0,0
68,0.000634083,1936,986,400.0,0
69,7.92917e-05,1925,961,400.0,0
70,4.98405e-05,2056,1020,400.0,0
71,2.47831e-05,2038,1023,400.0,0
72,0.0,1968,972,400.0,0
73,0.0,2030,984,400.0,0
74,0.0,2062,1016,400.0,0
75,0.0,2005,1008,400.0,0
76,0.0,1989,970,400.0,0
77,0.0,2074,1039,400.0,0
78,0.0,1965,988,400.0,0
79,0.0,2011,998,400.0,0
80,0.0,1992,1014,400.0,0
81,0.0,1938,972,400.0,0
82,0.0,2038,1020,400.0,0
83,0.0,1972,978,400.0,0
84,0.0,2054,1048,400.0,0
85,0.0,1895,967,400.0,0
86,0.0,1938,998,400.0,0
87,0.0,1994,1017,400.0,0
88,0.0,1970,1011,400.0,0
89,0.0,1928,971,400.0,0
