,drive_carrier,pop_size,fertile_female,drop_size,suppressed
0,0.0,2005,1013,400.0,0
1,0.0,1974,1005,400.0,0
2,0.0,1903,948,400.0,0
3,0.0,2075,1028,400.0,0
4,0.0,2017,979,400.0,0
5,0.0,2081,1031,400.0,0
6,0.0,1951,984,400.0,0
7,0.0,2007,1012,400.0,0
8,0.0,1983,999,400.0,0
9,0.0,2055,1038,400.0,0
10,0.00992433,1971,1003,400.0,0
11,0.307947,2390,1032,400.0,0
12,0.466306,2656,924,400.0,0
13,0.556741,3123,805,400.0,0
14,0.648817,3677,740,400.0,0
15,0.702599,4108,642,400.0,0
16,0.743704,4473,555,400.0,0
17,0.742572,4700,486,400.0,0
18,0.771507,4783,434,400.0,0
19,0.784916,4776,363,400.0,0
20,0.794423,4719,319,400.0,0
21,0.782238,4595,285,400.0,0
22,0.815108,4416,249,400.0,0
23,0.835021,4103,222,400.0,0
24,0.853614,3820,199,400.0,0
25,0.841871,3614,159,400.0,0
26,0.836005,3026,136,400.0,0
27,0.843278,2439,110,400.0,0
28,0.833557,1938,107,400.0,0
29,0.749844,1579,88,400.0,0
30,0.707811,1284,84,400.0,0
31,0.639991,1074,86,400.0,0
32,0.562602,1038,117,400.0,0
33,0.509355,1069,158,400.0,0
34,0.414495,1312,252,400.0,0
35,0.320494,1633,392,400.0,0
36,0.263137,2105,600,400.0,0
37,0.235995,2631,811,400.0,0
38,0.190021,2884,951,400.0,0
39,0.168801,2878,1022,400.0,0
40,0.142995,2678,1036,400.0,0
41,0.114173,2333,936,400.0,0
42,0.108639,2245,948,400.0,0
43,0.0837523,2305,984,400.0,0
44,0.0722629,2187,968,400.0,0
45,0.0598438,2251,996,400.0,0
46,0.0475271,2236,1025,400.0,0
47,0.0404053,2120,987,400.0,0
48,0.0419601,2122,1009,400.0,0
49,0.0359751,2055,980,400.0,0
50,0.0155342,2086,1013,400.0,0
51,0.014852,2022,989,400.0,0
52,0.0134844,2060,1030,400.0,0
53,0.0066814,1986,993,400.0,0
54,0.0061379,2009,1012,400.0,0
55,0.00400952,1994,1010,400.0,0
56,0.00382507,1973,1004,400.0,0
57,0.00810472,2010,1025,400.0,0
58,0.00531382,1909,985,400.0,0
59,0.0032064,1983,1023,400.0,0
60,0.00492089,1960,1006,400.0,0
61,0.00455079,1972,1034,400.0,0
62,0.00533326,1876,967,400.0,0
63,0.00486655,1936,994,400.0,0
64,0.00106311,1951,980,400.0,0
65,0.000404572,1997,997,400.0,0
66,0.0013687,2050,1005,400.0,0
67,0.00213009,2021,995,400.0,0
68,0.000825828,2069,989,400.0,0
69,7.46863e-05,2108,1009,400.0,0
70,0.00343581,2029,985,400.0,0
71,0.000470011,2063,971,400.0,0
72,0.00102278,2129,1012,400.0,0
73,0.000552347,2096,1009,400.0,0
74,0.00130963,2091,1046,400.0,0
75,0.001133,1979,978,400.0,0
76,0.00143014,1992,985,400.0,0
77,0.00213398,2009,996,400.0,0
78,7.70337e-05,1974,990,400.0,0
79,0.00193994,2066,1031,400.0,0
80,0.000101662,2015,998,400.0,0
81,0.00122574,2005,989,400.0,0
82,0.000656549,1985,1007,400.0,0
83,7.53977e-05,1979,1004,400.0,0
84,0.0,1981,996,400.0,0
85,0.0,1996,1017,400.0,0
86,0.0,1974,1025,400.0,0
87,0.0,1928,1002,400.0,0
88,0.0,1935,988,400.0,0
89,0.0,1960,998,400.0,0
