,drive_carrier,pop_size,fertile_female,drop_size,suppressed
0,0.0,2018,1031,400.0,0
1,0.0,2019,1018,400.0,0
2,0.0,1971,1006,400.0,0
3,0.0,1978,1003,400.0,0
4,0.0,1950,965,400.0,0
5,0.0,2051,1003,400.0,0
6,0.0,2043,1006,400.0,0
7,0.0,2048,1025,400.0,0
8,0.0,1982,1011,400.0,0
9,0.0,1927,1007,400.0,0
10,0.010021,1923,1010,400.0,0
11,0.286928,2323,1013,400.0,0
12,0.447126,2665,917,400.0,0
13,0.566667,3035,813,400.0,0
14,0.634872,3588,730,400.0,0
15,0.69711,4097,698,400.0,0
16,0.736371,4386,585,400.0,0
17,0.722315,4694,506,400.0,0
18,0.774348,4831,467,400.0,0
19,0.759641,4829,400,400.0,0
20,0.797777,4788,356,400.0,0
21,0.821067,4694,314,400.0,0
22,0.810879,4501,269,400.0,0
23,0.837315,4281,244,400.0,0
24,0.838778,4088,230,400.0,0
25,0.836047,3938,201,400.0,0
26,0.838773,3354,170,400.0,0
27,0.817416,2828,153,400.0,0
28,0.775997,2334,155,400.0,0
29,0.747367,1961,167,400.0,0
30,0.700201,1758,152,400.0,0
31,0.592941,1583,157,400.0,0
32,0.571625,1577,195,400.0,0
33,0.438569,1655,263,400.0,0
34,0.374803,1927,388,400.0,0
35,0.305009,2300,582,400.0,0
36,0.260248,2726,803,400.0,0
37,0.213091,2940,965,400.0,0
38,0.181969,2841,990,400.0,0
39,0.16217,2641,974,400.0,0
40,0.131605,2498,959,400.0,0
41,0.119287,2347,963,400.0,0
42,0.0904559,2243,961,400.0,0
43,0.0761467,2263,1028,400.0,0
44,0.0704731,2080,951,400.0,0
45,0.0642386,2159,1001,400.0,0
46,0.036083,2095,978,400.0,0
47,0.0338996,2086,972,400.0,0
48,0.0398175,2174,1019,400.0,0
49,0.0161786,1992,937,400.0,0
50,0.0118634,2107,997,400.0,0
51,0.00957984,2027,965,400.0,0
52,0.00543038,2137,1025,400.0,0
53,0.00408051,2009,1014,400.0,0
54,0.00436091,1943,996,400.0,0
55,0.00077694,1931,977,400.0,0
56,0.000151164,2007,1012,400.0,0
57,0.000101701,1987,1002,400.0,0
58,5.03677e-05,2042,1010,400.0,0
59,4.957e-05,2046,1025,400.0,0
60,2.53389e-05,1969,999,400.0,0
61,2.53318e-05,1958,1003,400.0,0
62,0.0,1954,1001,400.0,0
63,0.0,1999,984,400.0,0
64,0.0,2023,1008,400.0,0
65,0.0,1975,999,400.0,0
66,0.0,2007,1011,400.0,0
67,0.0,1986,990,400.0,0
68,0.0,2012,1000,400.0,0
69,0.0,2004,969,400.0,0
70,0.0,2054,986,400.0,0
71,0.0,2111,990,400.0,0
72,0.0,2145,1021,400.0,0
73,0.0,2052,965,400.0,0
74,0.0,2084,984,400.0,0
75,0.0,2080,997,400.0,0
76,0.0,2046,1015,400.0,0
77,0.0,1964,985,400.0,0
78,0.0,2083,1031,400.0,0
79,0.0,1985,974,400.0,0
80,0.0,2067,1008,400.0,0
81,0.0,2021,980,400.0,0
82,0.0,2068,986,400.0,0
83,0.0,2083,1021,400.0,0
84,0.0,1976,990,400.0,0
85,0.0,2040,1025,400.0,0
86,0.0,1958,978,400.0,0
87,0.0,1969,966,400.0,0
88,0.0,2003,967,400.0,0
89,0.0,2093,1011,400.0,0
