DRIVE_EFFICIENCY,AVERAGE
0.5,29.904
0.55,28.2956
0.6,26.7307
0.65,25.5583
0.7,24.2335
0.75,23.2754
0.8,22.2512
0.85,21.3185
0.9,20.3411
0.95,19.6336
1,18.8566
