DRIVE_EFFICIENCY,AVERAGE
0.5,13.6919
0.55,13.1573
0.6,12.7553
0.65,12.4527
0.7,12.1371
0.75,11.8204
0.8,11.6298
0.85,11.4179
0.9,11.2176
0.95,11.0457
1.0,10.9025
