DRIVE_EFFICIENCY,AVERAGE
0.5,18.1434
0.55,16.8719
0.6,15.9853
0.65,14.9822
0.7,14.1972
0.75,13.6494
0.8,12.934
0.85,12.4392
0.9,11.8209
0.95,11.2809
1.0,11.0108
