DRIVE_EFFICIENCY,AVERAGE
0.5,41.0863
0.55,39.6989
0.6,38.3459
0.65,37.0049
0.7,35.6988
0.75,34.8017
0.8,33.7534
0.85,32.738
0.9,31.949
0.95,31.3737
1.0,30.5958
