DRIVE_EFFICIENCY,AVERAGE
0.5,233.1891
0.55,222.9932
0.6,215.3071
0.65,208.8612
0.7,205.2043
0.75,203.8927
0.8,200.6904
0.85,199.1392
0.9,199.201
0.95,199.9125
1.0,198.4888
