"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"zpg2",10,0.0307,0,10000,1,73,0.008611807,2.73e-05,0.001291886,1.33e-06,35552.6933,11410978.86,3095,0,10000,0,10000,1,0.906449,0,10000,4717.255115,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,70,0.009110718,3.16e-05,0.00135253,2.34e-06,35614.30995,16845528.74,3098,0,10000,0,10000,1,0.915763,0,10000,4758.812141,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,74,0.008195751,1.6e-05,0.001203123,6.02e-07,35819.1068,9974042.752,3094,0,10000,0,10000,1,0.880649,0,10000,4722.81094,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,76,0.008095583,1.17e-05,0.001163613,5.78e-07,35833.7147,10781958.31,3092,0,10000,0,10000,1,0.890801,0,10000,4713.93824,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,72,0.008229264,1.89e-05,0.001140981,4.7e-07,36081.66397,11702852.77,3096,0,10000,0,10000,1,0.897234,0,10000,4796.884308,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,71,0.008339285,1.89e-05,0.001238195,8.17e-07,35754.18687,11162901.92,3097,0,10000,0,10000,1,0.9086,0,10000,4728.891339,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,77,0.008378049,2.74e-05,0.001279699,1.3e-06,35768.49692,16419503.06,3091,0,10000,0,10000,1,0.897774,0,10000,4730.635607,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,67,0.008369207,1.28e-05,0.001224358,4.04e-07,35531.9267,9943195.308,3101,0,10000,0,10000,1,0.925058,0,10000,4703.087456,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,75,0.008079816,2.8e-05,0.00128095,2.1e-06,35795.26513,16078372.05,3093,0,10000,0,10000,1,0.900733,0,10000,4730.6144,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,65,0.00885224,3.96e-05,0.001309253,1.65e-06,35534.90642,13448439.59,3103,0,10000,0,10000,1,0.912486,0,10000,4715.450048,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,70,0.008404626,1.24e-05,0.001197854,5.92e-07,35870.92114,9902779.746,3098,0,10000,0,10000,1,0.892733,0,10000,4768.252716,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,74,0.00832521,1.74e-05,0.0012229,9.85e-07,35938.59417,12887084.46,3094,0,10000,0,10000,1,0.909591,0,10000,4768.572297,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,74,0.009038582,3.04e-05,0.001267319,8.92e-07,35918.10129,13274581.15,3094,0,10000,0,10000,1,0.907575,0,10000,4810.895747,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,73,0.008442097,1.86e-05,0.001213371,8.05e-07,35708.00032,11248804.15,3095,0,10000,0,10000,1,0.913612,0,10000,4706.516315,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,80,0.008333056,2.31e-05,0.001237537,1.07e-06,36056.30447,13262816.22,3088,0,10000,0,10000,1,0.89423,0,10000,4766.539423,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,72,0.008774207,2.09e-05,0.001277012,6.5e-07,35778.19405,12194545.92,3096,0,10000,0,10000,1,0.897616,0,10000,4769.784207,1,0,0,"Long term chasing"
