"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"zpg",10,0.0307,0,10000,1,88,0.000502242,1.96e-07,1.24e-05,2.7e-09,56152.78641,1892032.353,3080,0,10000,0,10000,1,0.649349,0,10000,10912.00096,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.000516739,2.74e-07,1.14e-05,1.96e-09,56229.80642,1664861.622,3088,0,10000,0,10000,1,0.623471,0,10000,11042.27075,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,76,0.000559918,6.21e-07,1.97e-05,1.12e-08,56178.23413,3160092.753,3092,0,10000,0,10000,1,0.668529,0,10000,11050.21205,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,83,0.000546636,3.33e-07,1.33e-05,2.56e-09,56202.42227,2067768.606,3085,0,10000,0,10000,1,0.61668,0,10000,11046.74609,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,76,0.000514861,2.98e-07,1.1e-05,1.93e-09,56223.35168,1792837.473,3092,0,10000,0,10000,1,0.637901,0,10000,11055.77168,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,81,0.00049193,2.51e-07,9.83e-06,1.24e-09,56362.18164,1321943.833,3087,0,10000,0,10000,1,0.647628,0,10000,11170.97828,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,88,0.000485911,1.6e-07,9.94e-06,9.88e-10,56286.29454,1501757.88,3080,0,10000,0,10000,1,0.667137,0,10000,11093.20083,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,81,0.000507427,2.32e-07,1.09e-05,1.35e-09,56249.74181,1761263.442,3087,0,10000,0,10000,1,0.644906,0,10000,11059.06294,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,83,0.000494523,2.49e-07,1.05e-05,1.61e-09,56300.37423,1352284.086,3085,0,10000,0,10000,1,0.634819,0,10000,11058.38459,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.000522398,2.92e-07,1.41e-05,3.8e-09,56174.52594,1907161.258,3088,0,10000,0,10000,1,0.648084,0,10000,11003.4531,1,0,0,"Long term chasing"
