Generation,Wild_Type_Gene_Frequency,Num_Wild_Gene
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.996745,149730
2,0.995163,149588
3,0.994583,150543
4,0.992545,149644
5,0.990875,149085
6,0.988534,149751
7,0.985413,149770
8,0.981797,149939
9,0.977326,149915
10,0.971235,148768
11,0.962,148377
12,0.951901,148370
13,0.938224,147593
14,0.923745,147946
15,0.904236,145545
16,0.881001,145433
17,0.853339,144012
18,0.820558,141959
19,0.781438,140458
20,0.739239,139314
21,0.69149,136507
22,0.637674,131012
23,0.581523,127664
24,0.522973,121803
25,0.464143,114914
26,0.407996,107557
27,0.353959,98363
28,0.305955,89946
29,0.25891,80200
30,0.218963,72153
31,0.183015,63353
32,0.152996,54669
33,0.126443,46753
34,0.103734,39547
35,0.0861102,33542
36,0.0696561,27776
37,0.057464,23257
38,0.0480907,19772
39,0.0386252,16092
40,0.030736,12912
41,0.0254746,10810
42,0.0195886,8328
43,0.0160411,6891
44,0.0142259,6170
45,0.0124012,5327
46,0.0108612,4713
47,0.00897302,3890
48,0.00641435,2792
49,0.00599065,2619
50,0.00415522,1814
51,0.00240375,1055
52,0.00257673,1132
53,0.00174355,768
54,0.000824472,363
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.996711,150590
2,0.994852,149588
3,0.993424,149263
4,0.991205,148886
5,0.989254,149683
6,0.986263,149978
7,0.983391,149619
8,0.978861,149752
9,0.973744,149940
10,0.9661,149646
11,0.956786,149227
12,0.946016,148848
13,0.931476,148263
14,0.914726,147131
15,0.892182,145895
16,0.866394,145743
17,0.837109,144572
18,0.800307,141680
19,0.758661,140224
20,0.711656,136724
21,0.660949,133515
22,0.604282,129387
23,0.548641,124631
24,0.48753,117605
25,0.4298,110333
26,0.374601,102460
27,0.320804,93156
28,0.274087,84343
29,0.231834,75083
30,0.195379,66055
31,0.165667,58230
32,0.138469,50429
33,0.115127,43234
34,0.095796,37020
35,0.0781073,30827
36,0.0632366,25536
37,0.0516993,21125
38,0.0421382,17410
39,0.0341503,14293
40,0.027297,11574
41,0.021761,9349
42,0.0176768,7590
43,0.0157042,6769
44,0.0127723,5505
45,0.00944795,4084
46,0.00733763,3196
47,0.00777769,3385
48,0.00553732,2407
49,0.0042702,1869
50,0.00418113,1828
51,0.00311541,1358
52,0.0032976,1445
53,0.00237898,1043
54,0.007625,3328
55,0.00382493,1657
56,0.00463619,2034
57,0.0030325,1322
58,0.0029711,1301
59,0.00179225,785
60,0.00237779,1045
61,0.00161194,706
62,0.00421227,1841
63,0.00250029,1091
64,0.00263136,1154
65,0.00222333,976
66,0.00270634,1186
67,0.00167627,732
68,0.000846995,372
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.996385,150231
2,0.995064,148584
3,0.994347,149163
4,0.992153,149456
5,0.990282,150298
6,0.987101,149609
7,0.98363,149317
8,0.979402,149160
9,0.97372,148357
10,0.966515,148709
11,0.95594,148707
12,0.944212,147536
13,0.928716,147741
14,0.911408,146528
15,0.889497,146549
16,0.861153,145137
17,0.828581,143884
18,0.791229,142354
19,0.748262,139298
20,0.699769,135478
21,0.648598,132910
22,0.59293,127716
23,0.534341,122299
24,0.476619,115337
25,0.42116,108775
