Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
17,0.5,11,0.471861,12,0.556622,11.33198051,27,0.471429,28,0.515564,27.64735471,16,16.3153742
18,0.5,12,0.498956,13,0.583955,12.0122825,31,0.498952,32,0.581081,31.01276041,19,19.00047792
19,0.5,9,0.450704,10,0.525292,9.660910602,30,0.403226,31,0.526639,30.78414754,21,21.12323693
0,0.5,11,0.487552,12,0.592445,11.11867331,28,0.440644,29,0.547667,28.55460976,17,17.43593644
1,0.5,10,0.466667,11,0.551653,10.39221754,29,0.451417,30,0.53861,29.55718922,19,19.16497168
2,0.5,10,0.482255,11,0.509847,10.64312119,29,0.425703,30,0.509934,29.88206242,19,19.23894123
3,0.5,11,0.443497,12,0.516966,11.76907267,26,0.48419,27,0.546218,26.25488489,15,14.48581222
4,0.5,10,0.496957,11,0.539785,10.07105165,27,0.449524,28,0.522,27.69645124,17,17.62539959
5,0.5,12,0.475746,13,0.534137,12.41537223,32,0.460526,33,0.531191,32.55860751,20,20.14323528
6,0.5,11,0.455319,12,0.511407,11.79662316,29,0.440613,30,0.561404,29.49165087,18,17.6950277
7,0.5,11,0.472527,12,0.506098,11.81835513,28,0.476718,29,0.524096,28.49140951,17,16.67305439
8,0.5,9,0.479482,10,0.518812,9.521688279,27,0.425163,28,0.506276,27.92262646,18,18.40093818
9,0.5,9,0.468165,10,0.50677,9.824634115,28,0.455645,29,0.506073,28.87957087,19,19.05493676
10,0.5,12,0.476954,13,0.559735,12.27839722,30,0.4125,31,0.52521,30.77632863,18,18.49793141
11,0.5,10,0.424051,11,0.51087,10.87479699,29,0.454392,30,0.546053,29.49757258,19,18.62277559
12,0.5,8,0.440347,9,0.541045,8.592395082,29,0.457426,30,0.516252,29.7237276,21,21.13133252
13,0.5,10,0.48503,11,0.537893,10.28318484,29,0.498134,30,0.544379,29.04035031,19,18.75716547
14,0.5,10,0.436735,11,0.580838,10.43902625,30,0.452083,31,0.540481,30.54205978,20,20.10303352
15,0.5,10,0.439252,11,0.563492,10.48895686,30,0.406571,31,0.53125,30.74935635,20,20.26039949
16,0.5,10,0.469345,11,0.509165,10.76983928,30,0.479482,31,0.570248,30.22605381,20,19.45621453
17,0.5,11,0.423841,12,0.508511,11.89948034,26,0.439175,27,0.526423,26.69715065,15,14.79767032
18,0.5,11,0.4,12,0.511161,11.89959608,30,0.443396,31,0.500949,30.98351085,19,19.08391477
19,0.5,10,0.464143,11,0.534749,10.50784636,27,0.476744,28,0.50969,27.70588235,17,17.19803599
0,0.5,9,0.401261,10,0.507937,9.925597135,26,0.460123,27,0.513043,26.75353364,17,16.8279365
1,0.5,10,0.473799,11,0.523404,10.52819272,24,0.427419,25,0.526419,24.73314141,14,14.20494869
2,0.5,11,0.448819,12,0.551102,11.50038618,24,0.458159,25,0.536538,24.53382921,13,13.03344303
3,0.5,10,0.461394,11,0.554639,10.41402756,27,0.476654,28,0.535934,27.39382591,17,16.97979835
4,0.5,10,0.482402,11,0.560976,10.22396722,30,0.448852,31,0.525641,30.66608499,20,20.44211777
5,0.5,10,0.492341,11,0.5,11,27,0.446247,28,0.501014,27.9814852,17,16.9814852
6,0.5,8,0.449807,9,0.507527,8.869594595,29,0.481061,30,0.535922,29.34521791,21,20.47562332
7,0.5,11,0.488844,12,0.544276,11.20125559,29,0.469512,30,0.566,29.31597712,18,18.11472152
8,0.5,10,0.425926,11,0.521654,10.77379659,26,0.473469,27,0.522505,26.54105147,16,15.76725488
9,0.5,11,0.495885,12,0.537344,11.09925469,28,0.451143,29,0.577778,28.38580961,17,17.28655492
10,0.5,12,0.486869,13,0.512821,12.50597256,30,0.469602,31,0.534091,30.47136721,18,17.96539465
11,0.5,10,0.457732,11,0.54343,10.49322038,29,0.484848,30,0.543046,29.26035259,19,18.76713221
12,0.5,9,0.469548,10,0.521834,9.582412118,26,0.472803,27,0.562,26.30490936,17,16.72249724
13,0.5,10,0.441905,11,0.506224,10.90323233,29,0.47216,30,0.547009,29.37194886,19,18.46871653
14,0.5,9,0.377637,10,0.514161,9.896274648,29,0.462715,30,0.519231,29.65972468,20,19.76345003
15,0.5,8,0.450304,9,0.51875,8.726061421,30,0.44894,31,0.50501,30.91064741,22,22.18458598
