Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
124,0.75,6,0.449692,7,0.552966,6.487131321,17,0.415686,18,0.559846,17.58486404,11,11.09773272
125,0.75,6,0.491701,7,0.60625,6.072449345,16,0.484574,17,0.580882,16.16017361,10,10.08772426
126,0.75,6,0.48847,7,0.665377,6.065175488,18,0.447639,19,0.538306,18.57750891,12,12.51233342
127,0.75,6,0.431776,7,0.553846,6.558892439,19,0.393536,20,0.506148,19.94540546,13,13.38651302
128,0.75,5,0.368737,6,0.536965,5.780268445,16,0.388462,17,0.519305,16.85245676,11,11.07218832
129,0.75,5,0.411765,6,0.581651,5.5193777,18,0.472868,19,0.542268,18.39095101,13,12.87157331
130,0.75,5,0.383648,6,0.511727,5.908439323,18,0.456979,19,0.611111,18.2791179,13,12.37067858
131,0.75,6,0.440678,7,0.577103,6.434832325,16,0.371058,17,0.508,16.94158111,10,10.50674878
132,0.75,6,0.496032,7,0.58952,6.04244395,17,0.424812,18,0.534483,17.68557777,11,11.64313382
133,0.75,6,0.464066,7,0.600427,6.263521095,18,0.446089,19,0.588106,18.37960948,12,12.11608839
134,0.75,6,0.444664,7,0.656184,6.261611195,17,0.467273,18,0.615819,17.22031559,11,10.9587044
135,0.75,6,0.480769,7,0.557734,6.249866823,17,0.409524,18,0.540659,17.68994548,11,11.44007865
136,0.75,6,0.394251,7,0.512524,6.894109391,18,0.429889,19,0.549801,18.5846871,12,11.69057771
137,0.75,6,0.460838,7,0.567073,6.368635572,18,0.455253,19,0.508,18.84833261,12,12.47969703
138,0.75,7,0.494208,8,0.630573,7.042474242,17,0.440476,18,0.5,18,10,10.95752576
