Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
45,0.85,6,0.432712,7,0.535373,6.655438774,16,0.411765,17,0.561538,16.58912488,10,9.933686101
46,0.85,5,0.386282,6,0.541922,5.730647648,18,0.473373,19,0.62256,18.1784807,13,12.44783305
47,0.85,5,0.310219,6,0.539216,5.828748848,16,0.411552,17,0.541667,16.6797679,11,10.85101905
48,0.85,5,0.448141,6,0.576541,5.403886293,17,0.439539,18,0.591324,17.39833317,12,11.99444688
49,0.85,6,0.470226,7,0.560327,6.330451382,18,0.383534,19,0.502075,18.98249551,12,12.65204413
50,0.85,6,0.450593,7,0.522936,6.682954812,17,0.395793,18,0.553279,17.66169056,11,10.97873575
51,0.85,6,0.445344,7,0.575058,6.421357756,17,0.49505,18,0.652083,17.03152204,11,10.61016428
52,0.85,6,0.432,7,0.565392,6.509775699,17,0.472868,18,0.621247,17.18285606,11,10.67308037
53,0.85,6,0.481172,7,0.62931,6.127097706,16,0.426667,17,0.541401,16.63915666,10,10.51205895
54,0.85,5,0.383367,6,0.518812,5.861109676,15,0.458716,16,0.587607,15.32030165,10,9.459191975
55,0.85,5,0.387424,6,0.5,6,18,0.498113,19,0.647982,18.012591,13,12.012591
56,0.85,7,0.496198,8,0.59292,7.039308534,18,0.381633,19,0.518591,18.86425766,11,11.82494912
57,0.85,6,0.463736,7,0.553885,6.402267357,18,0.46063,19,0.610548,18.26261023,12,11.86034287
58,0.85,5,0.393939,6,0.509018,5.921636441,17,0.344697,18,0.581967,17.65454124,12,11.7329048
59,0.85,6,0.494048,7,0.595652,6.058580371,18,0.435701,19,0.526839,18.70551252,12,12.64693215
60,0.85,6,0.471058,7,0.628337,6.184016938,17,0.473054,18,0.616977,17.18722511,11,11.00320818
61,0.85,6,0.415612,7,0.53861,6.686092457,18,0.495463,19,0.637188,18.0320127,12,11.34592024
62,0.85,6,0.462719,7,0.572043,6.341013867,17,0.471429,18,0.571429,17.28571,11,10.94469613
63,0.85,5,0.416826,6,0.614894,5.41992649,16,0.391137,17,0.527383,16.79901795,11,11.37909146
64,0.85,5,0.455408,6,0.525701,5.634373266,17,0.450368,18,0.604348,17.32232758,12,11.68795431
65,0.85,6,0.427734,7,0.567951,6.515386865,17,0.267686,18,0.5,18,11,11.48461314
66,0.85,6,0.475149,7,0.6097,6.184695766,17,0.488323,18,0.63017,17.08232109,11,10.89762533
67,0.85,6,0.474438,7,0.607966,6.191435504,17,0.458333,18,0.588506,17.32008942,11,11.12865392
68,0.85,6,0.428246,7,0.604,6.408263823,18,0.458848,19,0.65625,18.208468,12,11.80020418
69,0.85,6,0.443038,7,0.533333,6.630843347,19,0.404661,20,0.584222,19.53095605,13,12.90011271
70,0.85,5,0.40395,6,0.537815,5.717513913,18,0.484305,19,0.534562,18.3122948,13,12.59478089
71,0.85,6,0.411111,7,0.535556,6.714283418,18,0.46771,19,0.554656,18.37137994,12,11.65709652
72,0.85,5,0.414179,6,0.513158,5.86706271,16,0.372134,17,0.512097,16.91357001,11,11.0465073
73,0.85,6,0.449893,7,0.586207,6.367585134,16,0.364008,17,0.530572,16.81645494,10,10.4488698
74,0.85,6,0.475746,7,0.6082,6.183112628,19,0.433213,20,0.541322,19.61777465,13,13.43466203
75,0.85,6,0.431965,7,0.607676,6.387198297,18,0.431772,19,0.569378,18.4958214,12,12.10862311
76,0.85,5,0.390756,6,0.599129,5.524271379,17,0.437383,18,0.575107,17.45465569,12,11.93038431
77,0.85,5,0.404472,6,0.535032,5.731678922,16,0.476834,17,0.6,16.18808762,11,10.4564087
78,0.85,5,0.442652,6,0.560794,5.485415855,17,0.420842,18,0.55625,17.5845888,12,12.09917294
79,0.85,5,0.419729,6,0.506224,5.928042083,17,0.485549,18,0.672131,17.0774512,12,11.14940912
80,0.85,5,0.408425,6,0.516484,5.847453706,16,0.465347,17,0.643991,16.19397797,11,10.34652426
81,0.85,5,0.376866,6,0.522682,5.844447797,17,0.436364,18,0.584352,17.43000784,12,11.58556004
82,0.85,5,0.401515,6,0.58465,5.537772681,15,0.490347,16,0.697368,15.04662812,10,9.508855438
83,0.85,5,0.460076,6,0.556338,5.414743097,18,0.492986,19,0.577825,18.08267424,13,12.66793114
84,0.85,6,0.498,7,0.63,6.015151515,17,0.49076,18,0.556541,17.14046609,11,11.12531458
85,0.85,5,0.407484,6,0.569647,5.570512386,17,0.421933,18,0.600406,17.4374163,12,11.86690392
