Number,DriveEfficiency,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
2,0.5,34,0.472281,35,0.521075,34.56808214,60,0.493414,61,0.510581,60.38364304,26,25.81556089
2,0.5,31,0.497101,32,0.518519,31.13535344,61,0.479006,62,0.506582,61.76131419,30,30.62596075
2,0.5,31,0.464804,32,0.501109,31.96945324,61,0.493056,62,0.521271,61.24611023,30,29.27665698
3,0.5,32,0.479452,33,0.501941,32.91369114,61,0.475319,62,0.505601,61.81503864,29,28.9013475
3,0.5,34,0.484548,35,0.515668,34.49652956,60,0.48667,61,0.504485,60.74824586,26,26.2517163
3,0.5,33,0.490608,34,0.519042,33.33030879,61,0.491096,62,0.52439,61.26743557,28,27.93712679
3,0.5,34,0.487767,35,0.523429,34.34302619,69,0.486272,70,0.509356,69.59469763,35,35.25167144
3,0.5,29,0.490432,30,0.50141,29.8715613,60,0.484948,61,0.515,60.50086517,31,30.62930386
3,0.5,29,0.47644,30,0.515426,29.6043195,62,0.497608,63,0.538254,62.05884958,33,32.45453008
3,0.5,30,0.477588,31,0.511957,30.65209928,61,0.472873,62,0.531476,61.46289439,31,30.81079512
3,0.5,33,0.493158,34,0.513676,33.3334633,58,0.461324,59,0.504384,58.89818857,25,25.56472527
3,0.5,30,0.498436,31,0.524917,30.05906121,60,0.48617,61,0.505631,60.71065207,30,30.65159086
3,0.5,34,0.485356,35,0.521463,34.40557233,63,0.466025,64,0.508635,63.79734804,29,29.39177571
3,0.5,31,0.471958,32,0.518261,31.60561951,64,0.477596,65,0.509706,64.69772656,33,33.09210706
3,0.5,31,0.496986,32,0.524121,31.11107426,60,0.492375,61,0.514629,60.34263503,29,29.23156077
3,0.5,33,0.479741,34,0.503712,33.84514622,65,0.469923,66,0.508809,65.77346603,32,31.92831981
3,0.5,29,0.469525,30,0.509867,29.75541619,63,0.492611,64,0.530831,63.1933281,34,33.43791191
3,0.5,31,0.48863,32,0.508813,31.56334539,55,0.478456,56,0.504907,55.81448716,24,24.25114178
3,0.5,31,0.484542,32,0.513062,31.54200561,59,0.477796,60,0.501629,59.93164939,28,28.38964378
3,0.5,32,0.48431,33,0.503813,32.80449162,60,0.459845,61,0.500842,60.97946191,28,28.1749703
3,0.5,29,0.451682,30,0.5,30,61,0.485895,62,0.514521,61.49273388,32,31.49273388
3,0.5,36,0.460773,37,0.501376,36.96611088,63,0.450864,64,0.503763,63.92886444,27,26.96275356
3,0.5,33,0.481952,34,0.525601,33.41348026,62,0.493923,63,0.507945,62.43339039,29,29.01991012
4,0.5,31,0.470071,32,0.501067,31.9655762,65,0.450378,66,0.50645,65.88496933,34,33.91939312
4,0.5,34,0.497297,35,0.519334,34.12265735,66,0.483906,67,0.525341,66.38841559,32,32.26575824
4,0.5,30,0.493385,31,0.520856,30.24079939,64,0.49973,65,0.518927,64.0140647,34,33.77326531
4,0.5,32,0.48203,33,0.503776,32.82635887,63,0.481266,64,0.50272,63.87321712,31,31.04685825
4,0.5,30,0.486579,31,0.512103,30.52581884,63,0.498921,64,0.528412,63.03658743,33,32.5107686
4,0.5,32,0.48248,33,0.515955,32.52337565,62,0.468196,63,0.505796,62.84585106,30,30.32247541
4,0.5,33,0.47848,34,0.521856,33.49612689,65,0.471623,66,0.511777,65.70670419,32,32.2105773
4,0.5,28,0.475623,29,0.505438,28.81760859,62,0.486574,63,0.508866,62.60227884,34,33.78467026
4,0.5,31,0.476031,32,0.523509,31.50484435,63,0.479957,64,0.502039,63.90766235,32,32.402818
4,0.5,35,0.499741,36,0.518913,35.01350928,66,0.490058,67,0.528213,66.26056873,31,31.24705945
4,0.5,34,0.486726,35,0.508316,34.61482168,64,0.478092,65,0.506938,64.75948138,30,30.14465971
4,0.5,34,0.491254,35,0.544803,34.16332705,59,0.475504,60,0.51778,59.57943041,25,25.41610336
4,0.5,34,0.484962,35,0.514793,34.50410647,63,0.482777,64,0.532267,63.3480097,29,28.84390323
4,0.5,32,0.485377,33,0.507384,32.6644704,60,0.476966,61,0.514365,60.61589882,28,27.95142843
4,0.5,31,0.48927,32,0.510638,31.50215275,59,0.471405,60,0.521143,59.57491254,28,28.07275979
4,0.5,31,0.492739,32,0.505721,31.55931289,59,0.495829,60,0.529412,59.12419974,28,27.56488685
4,0.5,33,0.492784,34,0.526042,33.21697035,64,0.494426,65,0.529124,64.16064326,31,30.94367291
4,0.5,31,0.494873,32,0.526055,31.16442178,56,0.472067,57,0.506153,56.81948601,25,25.65506422
4,0.5,31,0.472881,32,0.510106,31.72851578,65,0.487295,66,0.508954,65.58659218,34,33.8580764
4,0.5,33,0.46119,34,0.508105,33.82724075,69,0.48714,70,0.505025,69.7190383,36,35.89179755
5,0.5,33,0.495717,34,0.516112,33.21000245,61,0.482812,62,0.513158,61.56640084,28,28.35639839
5,0.5,28,0.470221,29,0.507675,28.79508197,56,0.468643,57,0.503788,56.89221795,28,28.09713599
5,0.5,29,0.476738,30,0.500539,29.97735389,59,0.447091,60,0.500259,59.99512865,30,30.01777476
