Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
57,0.5,33,0.479096,34,0.510171,33.67269509,73,0.492958,74,0.513843,73.33717979,40,39.6644847
58,0.5,30,0.456427,31,0.513001,30.77019479,74,0.47021,75,0.516129,74.64875106,44,43.87855627
59,0.5,33,0.490073,34,0.511399,33.46548814,71,0.471471,72,0.508639,71.76756888,38,38.30208074
60,0.5,29,0.487459,30,0.533736,29.27099855,73,0.478425,74,0.511711,73.6481704,44,44.37717185
61,0.5,31,0.493485,32,0.510638,31.37981694,73,0.490556,74,0.525953,73.26680227,42,41.88698533
62,0.5,34,0.461787,35,0.501665,34.95824766,72,0.490343,73,0.507042,72.5782981,38,37.62005045
63,0.5,33,0.476667,34,0.501059,33.95658413,75,0.485981,76,0.502418,75.85289286,42,41.89630874
64,0.5,34,0.48621,35,0.539859,34.25704114,75,0.482972,76,0.500527,75.96998006,41,41.71293892
65,0.5,36,0.482812,37,0.538339,36.30954311,76,0.479602,77,0.509677,76.67823774,40,40.36869463
66,0.5,37,0.481151,38,0.528602,37.39723083,79,0.487978,80,0.527421,79.30479426,42,41.90756343
67,0.5,30,0.475054,31,0.52063,30.54734948,73,0.474359,74,0.515152,73.62856372,43,43.08121424
68,0.5,33,0.494312,34,0.52027,33.2191232,74,0.483571,75,0.524076,74.40560425,41,41.18648105
69,0.5,29,0.47551,30,0.509346,29.72378532,75,0.493137,76,0.547867,75.12539741,46,45.40161209
70,0.5,34,0.479321,35,0.521809,34.48670213,77,0.479045,78,0.504175,77.83386391,43,43.34716178
71,0.5,31,0.462726,32,0.505429,31.87286607,76,0.498368,77,0.517634,76.08470881,45,44.21184274
72,0.5,31,0.476562,32,0.53467,31.40335238,74,0.479958,75,0.51636,74.55057414,43,43.14722177
73,0.5,33,0.469492,34,0.502654,33.91996864,73,0.477754,74,0.50906,73.71059861,40,39.79062997
74,0.5,35,0.461373,36,0.502217,35.9457203,77,0.48251,78,0.532418,77.35044482,42,41.40472452
75,0.5,36,0.475501,37,0.505376,36.82005021,81,0.49235,82,0.551031,81.13036588,45,44.31031567
76,0.5,34,0.495365,35,0.503924,34.54153523,77,0.474268,78,0.517241,77.59879459,43,43.05725937
77,0.5,36,0.481956,37,0.503684,36.83044919,78,0.481838,79,0.502176,78.89300816,42,42.06255897
78,0.5,33,0.495228,34,0.515658,33.23357807,74,0.492546,75,0.526483,74.21964228,41,40.98606421
79,0.5,38,0.487903,39,0.514359,38.45724977,77,0.460981,78,0.502772,77.93366993,39,39.47642016
80,0.5,43,0.484571,44,0.517704,43.46566867,81,0.47861,82,0.506886,81.75647192,38,38.29080325
81,0.5,33,0.468553,34,0.507583,33.80571355,72,0.462461,73,0.505181,72.87872191,39,39.07300836
82,0.5,31,0.498414,32,0.521837,31.06771122,72,0.497785,73,0.527225,72.07523777,41,41.00752655
83,0.5,31,0.479409,32,0.51005,31.67200809,73,0.491944,74,0.534627,73.18874025,42,41.51673215
84,0.5,31,0.466702,32,0.503074,31.91548444,75,0.469136,76,0.511454,75.72933503,44,43.8138506
85,0.5,35,0.485604,36,0.52234,35.39187718,74,0.479818,75,0.501604,74.92637474,39,39.53449756
86,0.5,31,0.491812,32,0.505727,31.58842975,72,0.482014,73,0.514862,72.54755236,41,40.95912261
