Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
60,0.5,67,0.479484,68,0.503885,67.84078521,304,0.476717,305,0.506208,304.7894951,237,236.9487099
61,0.5,105,0.487013,106,0.503293,105.7977273,352,0.484273,353,0.503872,352.8024389,247,247.0047116
62,0.5,83,0.476004,84,0.50113,83.95502667,342,0.479025,343,0.507166,342.7453538,259,258.7903271
63,0.5,107,0.497188,108,0.502191,107.5620628,355,0.468858,356,0.502299,355.9312521,248,248.3691893
64,0.5,93,0.470314,94,0.50378,93.88704954,340,0.495546,341,0.50431,340.5082154,247,246.6211659
65,0.5,160,0.484305,161,0.518602,160.4576202,391,0.493063,392,0.507821,391.4700501,231,231.0124299
66,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
67,0.5,71,0.495333,72,0.523631,71.16492332,270,0.495098,271,0.524444,270.1670415,199,199.0021182
68,0.5,104,0.49721,105,0.504875,104.3639922,356,0.490417,357,0.510428,356.4788866,252,252.1148944
69,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
70,0.5,93,0.480024,94,0.505832,93.77402356,312,0.480485,313,0.501615,312.9235684,219,219.1495448
71,0.5,107,0.494857,108,0.50385,107.5718892,341,0.465536,342,0.502342,341.9363691,234,234.3644798
72,0.5,99,0.484127,100,0.501561,99.91046232,321,0.495717,322,0.512169,321.2603331,222,221.3498708
73,0.5,115,0.47546,116,0.524321,115.5022411,355,0.495868,356,0.521812,355.1592661,240,239.6570251
74,0.5,99,0.48871,100,0.503086,99.78533667,332,0.497153,333,0.50395,332.4188613,233,232.6335246
75,0.5,102,0.490513,103,0.510549,102.4734977,317,0.492919,318,0.527203,317.2065395,215,214.7330418
76,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
77,0.5,79,0.478391,80,0.510563,79.67167102,306,0.44746,307,0.508895,306.8552128,227,227.1835418
78,0.5,57,0.468599,58,0.505325,57.85500735,269,0.489362,270,0.51,269.5154569,212,211.6604496
79,0.5,98,0.465708,99,0.501639,98.95438479,333,0.488331,334,0.5,334,235,235.0456152
80,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
81,0.5,80,0.483458,81,0.512448,80.57061056,315,0.489491,316,0.505085,315.673913,235,235.1033025
82,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
83,0.5,86,0.499409,87,0.507568,86.07243535,338,0.497306,339,0.53125,338.079366,252,252.0069307
84,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
85,0.5,92,0.48272,93,0.500559,92.96866416,322,0.491927,323,0.504098,322.663298,230,229.6946338
86,0.5,134,0.492063,135,0.505794,134.5780351,403,0.490185,404,0.505587,403.6372549,269,269.0592198
87,0.5,77,0.49945,78,0.502315,77.19197208,337,0.496312,338,0.50179,337.6732384,260,260.4812663
88,0.5,102,0.489888,103,0.507937,102.5602526,307,0.452381,308,0.502407,307.951885,205,205.3916324
89,0.5,105,0.480541,106,0.502593,105.8824143,368,0.471444,369,0.5,369,263,263.1175857
