,drive_carrier,pop_size,fertile_female,drop_size,suppressed
0,0.0,1984,991,228.571,0
1,0.0,2025,1007,228.571,0
2,0.0,1986,981,228.571,0
3,0.0,2020,1032,228.571,0
4,0.0,1940,987,228.571,0
5,0.0,2031,1058,228.571,0
6,0.0,1919,988,228.571,0
7,0.0,1952,979,228.571,0
8,0.0,2007,1005,228.571,0
9,0.0,2024,1005,228.571,0
10,0.00579533,1981,995,228.571,0
11,0.180661,2238,993,228.571,0
12,0.319916,2413,924,228.571,0
13,0.409805,2700,866,228.571,0
14,0.501693,3023,798,228.571,0
15,0.567932,3414,793,228.571,0
16,0.602726,3666,754,228.571,0
17,0.634246,3895,710,228.571,0
18,0.695609,4096,658,228.571,0
19,0.730516,4247,597,228.571,0
20,0.721806,4284,505,228.571,0
21,0.756981,4365,465,228.571,0
22,0.800603,4333,401,228.571,0
23,0.795074,4278,330,228.571,0
24,0.819254,4052,268,228.571,0
25,0.827306,3773,220,228.571,0
26,0.830799,3201,191,228.571,0
27,0.807259,2781,149,228.571,0
28,0.812517,2361,134,228.571,0
29,0.841523,2021,101,228.571,0
30,0.783065,1621,80,228.571,0
31,0.781097,1309,86,228.571,0
32,0.764298,1137,87,228.571,0
33,0.7023,1031,92,228.571,0
34,0.721526,971,111,228.571,0
35,0.648168,1039,125,228.571,0
36,0.686261,1145,166,228.571,0
37,0.666155,1326,176,228.571,0
38,0.649877,1525,225,228.571,0
39,0.697727,1766,246,228.571,0
40,0.631811,1973,244,228.571,0
41,0.62248,2207,293,228.571,0
42,0.645141,2442,354,228.571,0
43,0.609208,2649,384,228.571,0
44,0.59514,2834,439,228.571,0
45,0.548979,3028,488,228.571,0
46,0.555201,3239,572,228.571,0
47,0.575135,3434,647,228.571,0
48,0.535782,3544,674,228.571,0
49,0.519881,3586,708,228.571,0
50,0.506334,3591,728,228.571,0
51,0.485756,3555,774,228.571,0
52,0.496317,3500,795,228.571,0
53,0.497409,3465,817,228.571,0
54,0.510607,3443,800,228.571,0
55,0.494818,3305,775,228.571,0
56,0.456717,3248,715,228.571,0
57,0.438018,3306,748,228.571,0
58,0.428665,3344,811,228.571,0
59,0.413549,3266,825,228.571,0
60,0.420417,3197,841,228.571,0
61,0.383356,3078,821,228.571,0
62,0.372783,3132,844,228.571,0
63,0.348771,3119,854,228.571,0
64,0.330345,3087,902,228.571,0
65,0.315773,2977,872,228.571,0
66,0.314972,2909,892,228.571,0
67,0.325462,2838,886,228.571,0
68,0.302801,2796,910,228.571,0
69,0.303515,2753,915,228.571,0
70,0.2893,2712,905,228.571,0
71,0.272139,2684,897,228.571,0
72,0.280867,2745,926,228.571,0
73,0.281407,2653,902,228.571,0
74,0.282669,2606,905,228.571,0
75,0.272792,2677,943,228.571,0
76,0.274933,2593,902,228.571,0
77,0.252725,2600,888,228.571,0
78,0.232172,2588,910,228.571,0
79,0.251572,2589,912,228.571,0
80,0.255218,2654,943,228.571,0
81,0.23932,2615,929,228.571,0
82,0.244286,2595,955,228.571,0
83,0.221086,2482,931,228.571,0
84,0.206749,2465,898,228.571,0
85,0.227983,2557,955,228.571,0
86,0.22384,2485,894,228.571,0
87,0.222509,2569,956,228.571,0
88,0.197547,2469,926,228.571,0
89,0.219455,2472,951,228.571,0
