,drive_carrier,pop_size,fertile_female,drop_size,suppressed
0,0.0,2029,1003,228.571,0
1,0.0,1970,964,228.571,0
2,0.0,2057,1013,228.571,0
3,0.0,2007,990,228.571,0
4,0.0,2058,1022,228.571,0
5,0.0,2042,1002,228.571,0
6,0.0,2022,996,228.571,0
7,0.0,1968,990,228.571,0
8,0.0,1975,975,228.571,0
9,0.0,2106,1065,228.571,0
10,0.00598362,1901,956,228.571,0
11,0.163873,2219,1004,228.571,0
12,0.319128,2393,957,228.571,0
13,0.422489,2633,902,228.571,0
14,0.511873,2922,849,228.571,0
15,0.587248,3200,770,228.571,0
16,0.629022,3614,728,228.571,0
17,0.657398,3860,669,228.571,0
18,0.721485,4067,596,228.571,0
19,0.730136,4222,513,228.571,0
20,0.724285,4255,442,228.571,0
21,0.781951,4164,409,228.571,0
22,0.804817,4157,343,228.571,0
23,0.815161,4028,290,228.571,0
24,0.806638,3864,225,228.571,0
25,0.836738,3622,198,228.571,0
26,0.800617,3069,169,228.571,0
27,0.824074,2559,141,228.571,0
28,0.817869,2133,121,228.571,0
29,0.756675,1762,103,228.571,0
30,0.719152,1455,88,228.571,0
31,0.753623,1230,75,228.571,0
32,0.733147,1106,85,228.571,0
33,0.731959,1027,80,228.571,0
34,0.780061,961,78,228.571,0
35,0.730066,936,76,228.571,0
36,0.624386,953,74,228.571,0
37,0.6369,906,80,228.571,0
38,0.605053,910,94,228.571,0
39,0.578928,923,122,228.571,0
40,0.662551,1045,147,228.571,0
41,0.579922,1163,173,228.571,0
42,0.586656,1398,227,228.571,0
43,0.581287,1639,274,228.571,0
44,0.562038,1938,330,228.571,0
45,0.548753,2257,413,228.571,0
46,0.540108,2643,501,228.571,0
47,0.500502,2984,579,228.571,0
48,0.51135,3235,643,228.571,0
49,0.505658,3397,686,228.571,0
50,0.465527,3473,745,228.571,0
51,0.504198,3485,774,228.571,0
52,0.465856,3386,760,228.571,0
53,0.487002,3322,748,228.571,0
54,0.489157,3223,715,228.571,0
55,0.506808,3252,739,228.571,0
56,0.508395,3246,718,228.571,0
57,0.46745,3357,749,228.571,0
58,0.444135,3319,752,228.571,0
59,0.429945,3337,748,228.571,0
60,0.41321,3382,791,228.571,0
61,0.408731,3404,839,228.571,0
62,0.393049,3315,861,228.571,0
63,0.353026,3212,846,228.571,0
64,0.337709,3141,872,228.571,0
65,0.385945,3015,872,228.571,0
66,0.3617,2924,817,228.571,0
67,0.338546,2912,873,228.571,0
68,0.366966,2873,880,228.571,0
69,0.349061,2851,860,228.571,0
70,0.343411,2921,879,228.571,0
71,0.316262,2855,866,228.571,0
72,0.317792,2799,847,228.571,0
73,0.307943,2837,881,228.571,0
74,0.28856,2826,866,228.571,0
75,0.318379,2859,925,228.571,0
76,0.29778,2766,922,228.571,0
77,0.276758,2720,885,228.571,0
78,0.284323,2768,924,228.571,0
79,0.277544,2725,949,228.571,0
80,0.242038,2645,933,228.571,0
81,0.222702,2563,932,228.571,0
82,0.220464,2560,930,228.571,0
83,0.231607,2466,912,228.571,0
84,0.217526,2480,928,228.571,0
85,0.210202,2508,928,228.571,0
86,0.228426,2617,975,228.571,0
87,0.216592,2569,971,228.571,0
88,0.218874,2400,898,228.571,0
89,0.207011,2468,927,228.571,0
