Wild_Type_Gene_Frequency,Num_Wild_Gene
1,200514
1,200814
1,197282
1,200434
1,199640
1,199086
1,199382
1,199866
1,199560
1,200652
1,199630
1,198290
1,199194
1,199838
1,199712
1,200572
1,200098
1,199482
1,198710
1,199270
1,200552
1,200180
1,200428
1,199656
1,199258
1,199692
1,199652
1,199212
1,200502
1,199696
1,199830
1,200350
1,199192
1,198566
1,200628
1,200236
1,199784
1,200340
1,200668
1,200200
1,200828
1,200734
1,200244
1,199628
1,199420
1,200108
1,201710
1,198656
1,198666
1,200470
1,199730
1,200230
1,199870
1,199048
1,198872
1,200002
1,200462
1,200698
1,199750
1,198988
1,197508
1,199134
1,198804
1,200902
1,199812
1,199160
NAN,NAN
0.701165,101143
0.709644,99722
0.716404,99957
0.725663,101645
0.738378,102413
0.753375,106922
0.771965,108983
0.796314,114639
0.822348,119025
0.853205,128148
0.887052,135593
0.918688,147635
0.947395,158971
0.969701,170807
0.98299,180534
0.990505,188301
0.994543,193182
0.996949,196710
0.998275,198465
0.999148,198133
0.999628,198792
0.999829,199352
0.999945,199053
0.999975,199841
0.99999,200174
1,201784
1,199928
1,199212
1,199490
1,198766
1,200934
1,201196
1,199310
1,199564
1,199360
1,198130
1,199690
1,201524
1,199526
1,199908
1,198652
1,199894
1,199826
1,198966
1,197774
1,198814
1,199468
1,197646
1,200302
1,199714
1,200900
1,198926
1,199158
1,199130
1,199564
1,200154
1,199528
1,199722
1,200246
1,201186
1,199838
1,199160
1,198486
1,199666
1,198706
1,199316
1,201588
1,200604
1,199598
1,200936
1,199530
1,200554
1,200484
1,198700
1,198490
1,199964
1,200838
1,199954
1,200544
1,201360
1,200834
1,199882
1,199712
1,199842
1,198792
1,201152
1,201128
1,201614
1,201402
1,199692
1,200440
1,200874
1,199524
1,199704
1,199070
1,199826
1,199080
1,199268
1,198830
NAN,NAN
0.702916,102218
0.707994,100116
0.714299,99479
0.720742,101074
0.730967,103885
0.744913,104854
0.760368,107586
0.780726,109731
0.80801,116313
0.836263,121800
0.868222,130242
0.902268,139534
0.933071,150816
0.958472,163730
0.975265,175690
0.986231,187084
0.992401,192617
0.99616,194797
0.998048,196813
0.99905,200839
0.999496,198362
0.999707,197986
0.999815,199589
0.999879,198370
0.999945,199043
0.999955,201295
0.99998,198514
1,199966
1,199242
1,200516
1,201304
1,201164
1,199764
1,200808
1,201876
1,200634
1,198708
1,200716
1,199600
1,200566
1,201190
1,200454
1,199174
1,200538
1,199454
1,198820
1,200678
1,200998
1,199750
1,198812
1,198812
1,199278
1,200194
1,201046
1,200538
1,199350
1,199844
1,199692
1,199820
1,201274
1,200624
1,200900
1,201122
1,199280
1,199700
1,199050
1,198900
1,199876
1,199724
1,200264
1,198688
1,199632
1,199998
1,199536
1,200428
1,200032
1,198786
1,200278
1,200478
1,200100
1,199998
1,200706
1,200234
1,199384
1,199366
1,201038
1,199400
1,199160
1,199392
1,200944
1,198890
1,200806
1,201304
1,202188
1,199338
1,199128
1,200272
1,200242
1,199666
NAN,NAN
0.704929,102147
0.7131,100741
0.719919,100207
0.728371,102237
0.742291,104522
0.761629,108488
0.783697,112133
0.807052,117581
0.837255,124262
0.869353,130829
0.903653,140800
0.932772,151568
0.957455,163294
0.97557,173946
0.986607,185044
0.992842,191831
0.996308,195669
0.998284,197838
0.999128,199424
0.999577,200691
0.999819,199116
0.9999,199696
0.999925,201065
0.99995,201392
0.999985,200367
0.999995,198995
1,200308
1,200784
1,200374
1,199058
1,198444
1,199096
1,199774
1,200890
1,201902
1,199030
1,201622
1,200516
1,199618
1,199054
1,199144
1,200870
1,200190
1,198658
1,199530
1,199662
1,200828
1,199982
1,200254
1,200172
1,199936
