suppressed, gen_suppressed, gen, adult, adult_fe, fertile_fe, rate_dr, has_dr, release, drive_conversion
0,10000,200.0,100002.08888888889,49979.54074074074,49979.54074074074,0.0,0.0,0.0,0.0
0,10000,200.0,99995.06666666667,50007.84444444445,50007.84444444445,0.0,0.0,0.0,0.0
0,10000,200.0,100021.52592592593,50007.25925925926,50007.25925925926,0.0,0.0,0.0,0.0
0,10000,200.0,100008.26666666666,49995.555555555555,49995.555555555555,0.0,0.0,0.0,0.0
0,10000,200.0,99980.17777777778,50007.68148148148,50007.68148148148,0.0,0.0,0.0,0.0
0,10000,200.0,99992.77777777778,50002.014814814815,50002.014814814815,0.0,0.0,0.0,0.0
0,10000,200.0,100024.82222222222,50001.75555555556,50001.75555555556,0.0,0.0,0.0,0.0
0,10000,200.0,99995.11851851852,49994.585185185184,49994.585185185184,0.0,0.0,0.0,0.0
0,10000,200.0,100038.61481481482,50004.16296296296,50004.16296296296,0.0,0.0,0.0,0.0
0,10000,200.0,99972.50370370371,49990.585185185184,49990.585185185184,0.0,0.0,0.0,0.0
0,10000,200.0,100051.3037037037,50002.73333333333,50002.73333333333,0.0,0.0,0.0,0.0
0,10000,200.0,100005.78518518519,50003.40740740741,50003.40740740741,0.0,0.0,0.0,0.0
0,10000,200.0,100053.4,49993.666666666664,49993.666666666664,0.0,0.0,0.0,0.0
0,10000,200.0,100004.11851851852,50011.62222222222,50011.62222222222,0.0,0.0,0.0,0.0
0,10000,200.0,100015.25185185185,49986.38518518519,49986.38518518519,0.0,0.0,0.0,0.0
0,10000,200.0,100000.51851851853,50013.19259259259,50013.19259259259,0.0,0.0,0.0,0.0
0,10000,200.0,99933.13333333333,49997.02962962963,49997.02962962963,0.0,0.0,0.0,0.0
0,10000,200.0,100030.19259259259,50012.57037037037,50012.57037037037,0.0,0.0,0.0,0.0
0,10000,200.0,99984.13333333333,49999.61481481481,49999.61481481481,0.0,0.0,0.0,0.0
0,10000,200.0,99994.3111111111,49995.125925925924,49995.125925925924,0.0,0.0,0.0,0.0
0,10000,200.0,110131.54074074075,48457.43703703704,48457.43703703704,0.085502142962963,0.11916905185185182,0.1,0.0
0,10000,200.0,110014.14074074074,48471.86666666667,48471.86666666667,0.08545224222222225,0.11903344444444441,0.1,0.0
0,10000,200.0,110076.45185185185,48465.88148148148,48465.88148148148,0.08568828296296296,0.11950616296296301,0.1,0.0
0,10000,200.0,110186.24444444444,48445.83703703704,48445.83703703704,0.08578102666666663,0.11969522222222222,0.1,0.0
0,10000,200.0,110081.28148148148,48461.69629629629,48461.69629629629,0.08546694000000005,0.11905762962962964,0.1,0.0
0,10000,200.0,110077.76296296297,48459.444444444445,48459.444444444445,0.08559242888888886,0.11929454074074072,0.1,0.0
0,10000,200.0,110140.71111111112,48484.83703703704,48484.83703703704,0.08551017555555555,0.11910184444444438,0.1,0.0
0,10000,200.0,110049.11851851852,48469.955555555556,48469.955555555556,0.08561478444444445,0.11931543703703701,0.1,0.0
