Number,GROWTH,MUTLIPLIER,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
6,2,0.7,14,0.457048,15,0.543796,14.49513533,31,0.434534,32,0.564356,31.50427508,17,17.00913975
7,2,0.7,13,0.489399,14,0.586957,13.10866356,34,0.499016,35,0.661765,34.00604612,21,20.89738256
8,2,0.7,15,0.44,16,0.53556,15.62787777,31,0.43514,32,0.550459,31.56243984,16,15.93456207
9,2,0.7,13,0.483577,14,0.580717,13.16906527,35,0.47546,36,0.562189,35.28295034,22,22.11388507
10,2,0.7,14,0.497797,15,0.560734,14.03500326,30,0.458399,31,0.546237,30.47361051,16,16.43860725
11,2,0.7,13,0.409649,14,0.500935,13.98975747,34,0.487873,35,0.587583,34.12162271,21,20.13186524
12,2,0.7,12,0.426891,13,0.538241,12.65656938,31,0.44188,32,0.504708,31.92506526,19,19.26849588
13,2,0.7,13,0.458867,14,0.501064,13.97478494,31,0.474472,32,0.565708,31.27980183,18,17.3050169
14,2,0.7,12,0.493878,13,0.53534,12.14765327,30,0.466841,31,0.53125,30.51481936,18,18.36716608
15,2,0.7,13,0.448305,14,0.527514,13.65264048,31,0.495247,32,0.547733,31.09055748,18,17.437917
16,2,0.7,12,0.407917,13,0.503198,12.96643612,30,0.463893,31,0.550328,30.41773587,18,17.45129975
17,2,0.7,13,0.47028,14,0.529464,13.50216275,31,0.445922,32,0.5409,31.56937396,18,18.06721121
18,2,0.7,13,0.450348,14,0.566231,13.42846664,30,0.436982,31,0.527928,30.69291668,17,17.26445003
19,2,0.7,14,0.497232,15,0.614907,14.02352241,33,0.451111,34,0.522333,33.68643116,19,19.66290875
0,2,0.75,14,0.484259,15,0.541872,14.27321959,30,0.416557,31,0.530769,30.73059749,16,16.4573779
1,2,0.75,12,0.473832,13,0.533333,12.43979093,29,0.46846,30,0.575095,29.29577531,17,16.85598438
2,2,0.75,13,0.473739,14,0.589423,13.22700633,28,0.436396,29,0.532025,28.66511205,15,15.43810572
3,2,0.75,13,0.473938,14,0.539729,13.39613321,32,0.411348,33,0.528866,32.75436954,19,19.35823633
4,2,0.75,12,0.471026,13,0.544199,12.39596573,30,0.48423,31,0.590588,30.14827281,18,17.75230709
5,2,0.75,15,0.485549,16,0.56506,15.18174844,30,0.495544,31,0.541929,30.09606554,15,14.9143171
6,2,0.75,12,0.470652,13,0.511062,12.72625588,30,0.484317,31,0.536026,30.30329343,18,17.57703755
7,2,0.75,13,0.472222,14,0.554025,13.3395719,29,0.442122,30,0.580071,29.41956085,16,16.07998895
8,2,0.75,12,0.466129,13,0.519038,12.64017464,33,0.461165,34,0.525815,33.60069606,21,20.96052142
9,2,0.75,13,0.491773,14,0.522459,13.26810272,30,0.496805,31,0.56485,30.04695422,17,16.7788515
10,2,0.75,12,0.474037,13,0.546316,12.3592053,29,0.487241,30,0.558568,29.17888037,17,16.81967507
11,2,0.75,13,0.489382,14,0.549805,13.17572779,31,0.44162,32,0.52376,31.71073776,18,18.53500998
12,2,0.75,12,0.48646,13,0.53726,12.26653543,29,0.401757,30,0.520747,29.82564081,17,17.55910538
13,2,0.75,13,0.473851,14,0.593561,13.21843622,32,0.430127,33,0.515695,32.81657863,19,19.59814241
14,2,0.75,12,0.488156,13,0.571289,12.1424705,28,0.366615,29,0.520038,28.86939377,16,16.72692327
15,2,0.75,13,0.429825,14,0.505714,13.92470582,33,0.46571,34,0.547016,33.42174009,20,19.49703427
16,2,0.75,12,0.407601,13,0.517153,12.84342595,28,0.410112,29,0.529611,28.75220713,16,15.90878118
17,2,0.75,11,0.429276,12,0.528571,11.71226144,28,0.486381,29,0.537572,28.26604286,17,16.55378142
18,2,0.75,14,0.42148,15,0.502041,14.97466516,30,0.489559,31,0.566919,30.13496639,16,15.16030123
19,2,0.75,13,0.487805,14,0.572383,13.14418643,31,0.46659,32,0.576408,31.30423064,18,18.1600442
0,2,0.8,11,0.430678,12,0.537931,11.64634089,29,0.44702,30,0.516411,29.76349959,18,18.11715869
1,2,0.8,12,0.484436,13,0.552041,12.23021966,31,0.484725,32,0.616541,31.11588123,19,18.88566157
2,2,0.8,11,0.457243,12,0.54097,11.51067159,27,0.486842,28,0.534358,27.27691725,16,15.76624566
3,2,0.8,12,0.457411,13,0.543956,12.49210237,29,0.433382,30,0.521169,29.75885951,17,17.26675714
4,2,0.8,12,0.492593,13,0.570378,12.09522401,26,0.443069,27,0.515296,26.78822324,14,14.69299923
5,2,0.8,12,0.46833,13,0.50104,12.96820544,28,0.428571,29,0.533451,28.68105454,16,15.7128491
6,2,0.8,12,0.486207,13,0.555944,12.19778597,29,0.439542,30,0.531429,29.65796032,17,17.46017435
7,2,0.8,13,0.457734,14,0.540909,13.5081575,29,0.477728,30,0.571979,29.23630519,16,15.72814769
8,2,0.8,11,0.425768,12,0.523852,11.75682068,31,0.462057,32,0.528169,31.57392001,20,19.81709933
9,2,0.8,11,0.440233,12,0.575838,11.44074334,30,0.470859,31,0.555184,30.3455796,19,18.90483627
10,2,0.8,12,0.418074,13,0.54321,12.65469569,29,0.483621,30,0.561024,29.21160679,17,16.55691109
11,2,0.8,12,0.430177,13,0.501931,12.97308861,31,0.445017,32,0.539889,31.57954929,19,18.60646068
12,2,0.8,13,0.491124,14,0.552182,13.14536998,31,0.470588,32,0.602371,31.22318508,18,18.07781511
13,2,0.8,12,0.49501,13,0.571125,12.06555869,31,0.474528,32,0.543564,31.36896692,19,19.30340822
14,2,0.8,12,0.450735,13,0.520548,12.70567086,26,0.450509,27,0.560897,26.44833678,14,13.74266591
15,2,0.8,11,0.450717,12,0.542531,11.53676999,27,0.428691,28,0.516097,27.81583644,16,16.27906645
16,2,0.8,12,0.462591,13,0.541139,12.47625656,29,0.476905,30,0.56326,29.26744253,17,16.79118598
17,2,0.8,13,0.496495,14,0.579602,13.04217455,29,0.484797,30,0.587598,29.14788767,16,16.10571312
18,2,0.8,11,0.495441,12,0.53668,11.11055069,29,0.42891,30,0.521583,29.76710585,18,18.65655515
19,2,0.8,11,0.417399,12,0.539683,11.67548494,27,0.474446,28,0.571936,27.26211919,16,15.58663426
0,2,0.85,11,0.417384,12,0.546693,11.63890371,28,0.446809,29,0.555927,28.48746311,17,16.8485594
1,2,0.85,11,0.470635,12,0.569444,11.29718953,29,0.423986,30,0.53271,29.69914646,18,18.40195694
2,2,0.85,12,0.487354,13,0.606095,12.1065007,29,0.434677,30,0.585548,29.43297254,17,17.32647184
3,2,0.85,12,0.486254,13,0.531317,12.30503961,28,0.450549,29,0.522158,28.69056962,16,16.38553001
4,2,0.85,12,0.4875,13,0.559524,12.17355326,26,0.473378,27,0.523636,26.52970671,14,14.35615345
5,2,0.85,11,0.494,12,0.520474,11.22663746,29,0.481799,30,0.509592,29.65487713,18,18.42823967
6,2,0.85,12,0.474359,13,0.551111,12.33407598,25,0.407821,26,0.508041,25.91976651,13,13.58569053
7,2,0.85,11,0.449288,12,0.520925,11.70790234,29,0.484259,30,0.538784,29.28869326,18,17.58079092
8,2,0.85,12,0.474592,13,0.548837,12.34221833,27,0.423622,28,0.513181,27.85282328,15,15.51060495
9,2,0.85,11,0.456406,12,0.546,11.48657276,27,0.476549,28,0.554598,27.30046509,16,15.81389233
10,2,0.85,14,0.483333,15,0.562633,14.21017654,29,0.415129,30,0.525253,29.77068577,15,15.56050923
11,2,0.85,13,0.433663,14,0.502283,13.96672982,29,0.419702,30,0.519157,29.80738022,16,15.84065041
12,2,0.85,10,0.444355,11,0.550353,10.52496274,27,0.477113,28,0.571429,27.24266296,17,16.71770023
13,2,0.85,12,0.458692,13,0.507848,12.84034502,31,0.48087,32,0.591286,31.17325388,19,18.33290885
14,2,0.85,11,0.429036,12,0.520758,11.7736857,24,0.397541,25,0.518382,24.84788276,13,13.07419705
15,2,0.85,11,0.475,12,0.558648,11.29887146,28,0.422124,29,0.514178,28.84598171,17,17.54711025
16,2,0.85,11,0.432079,12,0.506525,11.91235258,28,0.48887,29,0.568519,28.1397381,17,16.22738552
17,2,0.85,11,0.440833,12,0.502439,11.9604097,27,0.454545,28,0.546789,27.49276918,16,15.53235948
18,2,0.85,11,0.430368,12,0.519231,11.78358822,28,0.473941,29,0.600849,28.20533772,17,16.4217495
19,2,0.85,12,0.482871,13,0.56576,12.20664986,27,0.451389,28,0.517176,27.73891498,15,15.53226513
0,2,0.9,12,0.467949,13,0.565714,12.32783716,28,0.432526,29,0.501042,28.98479187,16,16.65695471
1,2,0.9,12,0.484321,13,0.52552,12.38056749,27,0.470274,28,0.537072,27.44501332,15,15.06444583
2,2,0.9,11,0.480801,12,0.555664,11.25645512,26,0.478336,27,0.597849,26.18126898,15,14.92481386
3,2,0.9,11,0.42535,12,0.522,11.77237455,24,0.40189,25,0.51876,24.83947976,13,13.06710522
4,2,0.9,11,0.427393,12,0.527358,11.72632421,27,0.428058,28,0.555133,27.56613811,16,15.83981389
5,2,0.9,11,0.484848,12,0.570346,11.17722052,25,0.399425,26,0.523519,25.81047432,14,14.6332538
6,2,0.9,11,0.416168,12,0.511218,11.88197791,26,0.432593,27,0.568515,26.49592413,15,14.61394623
7,2,0.9,11,0.435484,12,0.512621,11.83638202,26,0.470238,27,0.614933,26.20568783,15,14.3693058
8,2,0.9,11,0.436407,12,0.551813,11.55103721,27,0.465812,28,0.548832,27.41180438,16,15.86076718
9,2,0.9,13,0.493186,14,0.608921,13.05887588,26,0.409769,27,0.505872,26.93889889,13,13.88002301
10,2,0.9,11,0.479239,12,0.567164,11.23612169,29,0.484071,30,0.562077,29.20420224,18,17.96808055
11,2,0.9,11,0.444876,12,0.524561,11.69177386,25,0.447933,26,0.60149,25.33907279,14,13.64729893
12,2,0.9,12,0.478088,13,0.540964,12.34849545,25,0.495404,26,0.582418,25.05281909,13,12.70432364
13,2,0.9,12,0.479667,13,0.548485,12.29546049,25,0.44856,26,0.522843,25.69248684,13,13.39702635
14,2,0.9,12,0.482696,13,0.568,12.20285098,28,0.487981,29,0.564356,28.15736825,16,15.95451727
15,2,0.9,11,0.458478,12,0.513742,11.75133903,25,0.385542,26,0.508227,25.93294209,14,14.18160306
16,2,0.9,12,0.486867,13,0.557007,12.18723981,27,0.438253,28,0.507767,27.88826711,15,15.70102731
17,2,0.9,12,0.457614,13,0.576844,12.35549778,28,0.476954,29,0.583507,28.21628673,16,15.86078895
18,2,0.9,12,0.423345,13,0.534417,12.69013793,28,0.39127,29,0.505291,28.95359627,16,16.26345834
19,2,0.9,12,0.422652,13,0.5375,12.67348147,27,0.486781,28,0.524299,27.35233754,15,14.67885607
0,2,0.95,11,0.474826,12,0.531381,11.44512422,25,0.416388,26,0.520468,25.80334358,14,14.35821937
1,2,0.95,11,0.383652,12,0.517797,11.86733013,27,0.426264,28,0.502604,27.96588944,16,16.09855931
2,2,0.95,10,0.424647,11,0.533688,10.69105199,24,0.477863,25,0.58932,24.19861471,14,13.50756272
3,2,0.95,11,0.447461,12,0.504202,11.9259442,26,0.455833,27,0.532468,26.57632935,15,14.65038515
4,2,0.95,11,0.480462,12,0.553398,11.26787869,24,0.43517,25,0.522388,24.74330987,13,13.47543118
5,2,0.95,11,0.488034,12,0.55567,11.17691762,28,0.459938,29,0.567782,28.37148103,17,17.19456341
6,2,0.95,11,0.467919,12,0.536792,11.46579937,25,0.463064,26,0.524501,25.60120123,14,14.13540186
7,2,0.95,11,0.428328,12,0.513078,11.84568732,26,0.457224,27,0.537313,26.53410581,15,14.68841849
8,2,0.95,11,0.479754,12,0.547454,11.29905465,27,0.423795,28,0.541946,27.64497973,16,16.34592508
9,2,0.95,10,0.468404,11,0.545714,10.40869228,22,0.409163,23,0.511168,22.89051517,12,12.48182289
10,2,0.95,11,0.423658,12,0.569364,11.52394548,25,0.451011,26,0.53886,25.55765006,14,14.03370458
11,2,0.95,10,0.426647,11,0.522442,10.7657289,25,0.452305,26,0.533945,25.58421117,15,14.81848227
12,2,0.95,11,0.45678,12,0.502123,11.9531791,27,0.473504,28,0.549485,27.34871876,16,15.39553966
13,2,0.95,11,0.471545,12,0.564632,11.30568178,26,0.415789,27,0.533951,26.71267413,15,15.40699234
14,2,0.95,11,0.453598,12,0.549788,11.48239942,25,0.437861,26,0.513037,25.82658029,14,14.34418087
15,2,0.95,10,0.448718,11,0.517408,10.74657155,26,0.432047,27,0.503929,26.94534098,16,16.19876942
16,2,0.95,12,0.467662,13,0.51,12.76380556,27,0.456661,28,0.541667,27.5098346,15,14.74602904
17,2,0.95,10,0.416019,11,0.519157,10.81425857,27,0.443491,28,0.539889,27.58620511,17,16.77194654
18,2,0.95,11,0.412939,12,0.547967,11.64476257,27,0.47976,28,0.556437,27.26396442,16,15.61920185
19,2,0.95,11,0.463756,12,0.56674,11.35193817,26,0.467608,27,0.551471,26.386249,15,15.03431084
0,2,1,10,0.474517,11,0.581633,10.23790097,24,0.471901,25,0.546448,24.37692999,14,14.13902902
1,2,1,10,0.427258,11,0.515888,10.8207379,24,0.431649,25,0.564924,24.51285687,14,13.69211898
2,2,1,11,0.495192,12,0.581693,11.05558317,25,0.432292,26,0.571845,25.48517767,14,14.4295945
3,2,1,10,0.421429,11,0.544487,10.63848754,26,0.464696,27,0.539062,26.47473308,16,15.83624553
4,2,1,9,0.416327,10,0.518946,9.81537532,27,0.484456,28,0.564315,27.19464306,18,17.37926774
5,2,1,11,0.49323,12,0.572848,11.08503102,24,0.439641,25,0.542785,24.58519158,13,13.50016055
6,2,1,10,0.389144,11,0.516529,10.87024375,23,0.495769,24,0.624598,23.03284198,13,12.16259824
7,2,1,10,0.453895,11,0.563872,10.41922402,25,0.483564,26,0.584479,25.16286974,15,14.74364572
8,2,1,10,0.436283,11,0.542829,10.59802339,26,0.491964,27,0.597895,26.0758607,16,15.47783731
9,2,1,10,0.448737,11,0.515125,10.77217268,24,0.462357,25,0.567623,24.35759884,14,13.58542616
10,2,1,10,0.458834,11,0.538976,10.51366325,25,0.454386,26,0.5,26,15,15.48633675
11,2,1,10,0.458882,11,0.505051,10.89059759,27,0.47829,28,0.609777,27.16511138,17,16.27451379
12,2,1,10,0.446512,11,0.507246,10.88069286,25,0.492846,26,0.561847,25.10367966,15,14.2229868
13,2,1,10,0.422665,11,0.52514,10.75467187,26,0.497581,27,0.566161,26.03527267,16,15.2806008
14,2,1,10,0.473368,11,0.554614,10.3277946,26,0.469557,27,0.573996,26.29149073,16,15.96369613
15,2,1,11,0.439863,12,0.538462,11.60991491,26,0.495353,27,0.608863,26.04093912,15,14.43102422
16,2,1,11,0.479464,12,0.556008,11.26829013,25,0.451531,26,0.527368,25.63912075,14,14.37083061
17,2,1,11,0.486087,12,0.579418,11.14907158,23,0.458796,24,0.567164,23.38022294,12,12.23115136
18,2,1,11,0.440994,12,0.567769,11.46543877,25,0.412698,26,0.515254,25.85126175,14,14.38582298
19,2,1,12,0.471136,13,0.545369,12.38882977,27,0.483923,28,0.533913,27.32160432,15,14.93277456
0,2.5,0.5,14,0.47395,15,0.524752,14.51277509,33,0.428571,34,0.513592,33.84013361,19,19.32735853
1,2.5,0.5,16,0.46374,17,0.584668,16.29984784,36,0.452381,37,0.506692,36.87678371,20,20.57693587
2,2.5,0.5,14,0.457143,15,0.558824,14.42148484,35,0.45122,36,0.557344,35.45965097,21,21.03816613
3,2.5,0.5,15,0.49211,16,0.536893,15.17618293,34,0.43662,35,0.512346,34.83696485,19,19.66078192
4,2.5,0.5,15,0.433333,16,0.520309,15.7664988,36,0.489744,37,0.546218,36.18160569,21,20.41510689
5,2.5,0.5,14,0.464824,15,0.503099,14.91903331,36,0.480591,37,0.50647,36.74999034,22,21.83095703
6,2.5,0.5,14,0.44705,15,0.566929,14.44169538,36,0.489403,37,0.551125,36.17168919,22,21.72999381
7,2.5,0.5,15,0.465517,16,0.5,16,37,0.456446,38,0.529046,37.59991736,22,21.59991736
8,2.5,0.5,16,0.452427,17,0.534234,16.58152725,35,0.473108,36,0.551502,35.34303646,19,18.7615092
9,2.5,0.5,14,0.407555,15,0.512897,14.8775702,33,0.461246,34,0.524345,33.61417772,19,18.73660752
10,2.5,0.5,16,0.467532,17,0.605159,16.23591301,34,0.457929,35,0.504435,34.90463596,18,18.66872295
11,2.5,0.5,15,0.416526,16,0.51486,15.84888238,36,0.462766,37,0.541978,36.47005504,21,20.62117266
12,2.5,0.5,16,0.461914,17,0.536437,16.5110637,37,0.493636,38,0.562378,37.09257805,21,20.58151435
13,2.5,0.5,14,0.407721,15,0.557169,14.61746561,37,0.482471,38,0.533797,37.34152281,23,22.72405721
14,2.5,0.5,16,0.442164,17,0.503759,16.93897232,35,0.489848,36,0.563853,35.13717992,19,18.1982076
15,2.5,0.5,15,0.467252,16,0.543478,15.42961719,36,0.464147,37,0.557143,36.38553271,21,20.95591552
16,2.5,0.5,15,0.465054,16,0.583,15.29628813,35,0.434853,36,0.534951,35.65083218,20,20.35454405
17,2.5,0.5,14,0.461864,15,0.538462,14.49787201,37,0.481696,38,0.560729,37.23159946,23,22.73372745
18,2.5,0.5,16,0.466157,17,0.539832,16.45935528,38,0.496945,39,0.547561,38.06035641,22,21.60100113
19,2.5,0.5,15,0.45572,16,0.581349,15.35246639,35,0.427288,36,0.570513,35.50767673,20,20.15521034
0,2.5,0.55,15,0.494129,16,0.503497,15.62670794,35,0.431818,36,0.51002,35.87187028,20,20.24516234
1,2.5,0.55,14,0.463867,15,0.508197,14.81509136,32,0.418421,33,0.541905,32.66064429,18,17.84555293
