Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
3,2,0.65,8,0.835113,9,0.785797,8.712000162,28,0.823256,29,0.750294,28.31874126,20,19.6067411
4,2,0.65,8,0.814076,9,0.78271,8.44876618,28,0.806193,29,0.770701,28.17449003,20,19.72572385
5,2,0.65,9,0.803674,10,0.758824,9.081917503,28,0.807229,29,0.772376,28.207414,19,19.12549649
6,2,0.65,10,0.810386,11,0.789281,10.49211087,26,0.830346,27,0.783599,26.64915396,16,16.15704308
7,2,0.65,7,0.827807,8,0.797149,7.907006328,27,0.8234,28,0.791027,27.72282458,20,19.81581825
8,2,0.65,6,0.829621,7,0.791667,6.780444749,26,0.825083,27,0.765625,26.42186081,20,19.64141606
9,2,0.65,9,0.804251,10,0.789171,9.281896552,28,0.830705,29,0.783105,28.64506303,19,19.36316647
10,2,0.65,8,0.845133,9,0.799292,8.984555311,29,0.806998,30,0.748894,29.12043921,21,20.1358839
11,2,0.65,9,0.828798,10,0.768029,9.473892939,28,0.84582,29,0.78,28.69614099,19,19.22224805
12,2,0.65,7,0.819692,8,0.775882,7.449486419,26,0.809419,27,0.798133,26.83457381,19,19.38508739
13,2,0.65,7,0.821208,8,0.764429,7.373518378,26,0.829664,27,0.778912,26.58448928,19,19.2109709
14,2,0.65,8,0.852097,9,0.799767,8.995547487,29,0.808824,30,0.752866,29.1576897,21,20.16214221
15,2,0.65,9,0.823944,10,0.759434,9.371167261,30,0.814332,31,0.751126,30.22675062,21,20.85558336
16,2,0.65,11,0.808303,12,0.792208,11.5158745,29,0.817536,30,0.763454,29.32424836,18,17.80837387
17,2,0.65,8,0.810471,9,0.764108,8.225848198,31,0.804762,32,0.755076,31.09584189,23,22.86999369
18,2,0.65,6,0.851606,7,0.781818,6.739468103,23,0.806857,24,0.763761,23.15910989,17,16.41964179
19,2,0.65,9,0.812818,10,0.761682,9.250664894,25,0.803243,26,0.78,25.13952588,16,15.88886099
0,2,0.7,8,0.830737,9,0.773731,8.539188857,25,0.847803,26,0.796296,25.92808744,17,17.38889859
1,2,0.7,8,0.808737,9,0.78375,8.349661824,26,0.807151,27,0.752047,26.12977279,18,17.78011097
2,2,0.7,7,0.806452,8,0.76153,7.143626731,25,0.822545,26,0.758755,25.3534253,18,18.20979857
3,2,0.7,6,0.852406,7,0.756018,6.543698386,26,0.803121,27,0.724619,26.03975695,20,19.49605856
4,2,0.7,7,0.805588,8,0.783654,7.254764293,26,0.818579,27,0.734043,26.21977619,19,18.9650119
5,2,0.7,5,0.857595,6,0.791983,5.877811986,24,0.806301,25,0.740872,24.09630286,19,18.21849088
6,2,0.7,6,0.851133,7,0.793269,6.883675515,24,0.814815,25,0.757259,24.25740149,18,17.37372597
7,2,0.7,7,0.809419,8,0.723325,7.109403675,27,0.813347,28,0.753363,27.22250934,20,20.11310566
8,2,0.7,6,0.853814,7,0.79717,6.950038839,21,0.840812,22,0.745556,21.42844545,15,14.47840661
9,2,0.7,7,0.832584,8,0.796014,7.891003555,24,0.840426,25,0.756071,24.47923656,17,16.588233
10,2,0.7,7,0.801453,8,0.716137,7.017030803,25,0.808017,26,0.732004,25.1054688,18,18.088438
11,2,0.7,6,0.817768,7,0.779206,6.460764483,25,0.819869,26,0.797632,25.89351082,19,19.43274633
12,2,0.7,7,0.806488,8,0.782402,7.269368098,24,0.825994,25,0.770153,24.46550026,17,17.19613216
13,2,0.7,6,0.81164,7,0.755169,6.206123497,23,0.824268,24,0.758907,23.37129175,17,17.16516825
14,2,0.7,6,0.865922,7,0.797714,6.96648487,23,0.816475,24,0.762999,23.30808213,17,16.34159726
15,2,0.7,8,0.809524,9,0.736786,8.130935687,26,0.828699,27,0.716895,26.25669028,18,18.12575459
16,2,0.7,7,0.809414,8,0.742443,7.140568306,24,0.803013,25,0.704572,24.03060717,17,16.89003886
17,2,0.7,7,0.854348,8,0.771491,7.655925269,25,0.803804,26,0.771084,25.11625917,18,17.4603339
18,2,0.7,7,0.844184,8,0.786268,7.76289799,24,0.818935,25,0.747082,24.26352414,17,16.50062615
19,2,0.7,7,0.858217,8,0.792763,7.889433801,22,0.83991,23,0.795561,22.89990755,15,15.01047375
0,2,0.75,6,0.880823,7,0.763291,6.687668039,22,0.818864,23,0.762887,22.33699555,16,15.64932751
1,2,0.75,6,0.852443,7,0.797945,6.962292194,20,0.806034,21,0.728774,20.07809992,14,13.11580773
2,2,0.75,6,0.823297,7,0.739698,6.278675582,21,0.834047,22,0.780665,21.63779926,15,15.35912368
3,2,0.75,6,0.803855,7,0.736718,6.057419903,23,0.837752,24,0.749731,23.42889765,17,17.37147775
4,2,0.75,5,0.87132,6,0.789189,5.868368825,22,0.831486,23,0.750834,22.39039329,17,16.52202447
5,2,0.75,6,0.810582,7,0.735099,6.140190506,22,0.869855,23,0.769056,22.69301283,16,16.55282232
6,2,0.75,5,0.85177,6,0.778509,5.706651561,22,0.815534,23,0.702703,22.13767493,17,16.43102337
7,2,0.75,6,0.826226,7,0.763128,6.415639164,21,0.848276,22,0.776888,21.67624811,15,15.26060894
8,2,0.75,4,0.876712,5,0.792833,4.914555491,22,0.829939,23,0.767303,22.47798391,18,17.56342842
9,2,0.75,6,0.831377,7,0.782609,6.643393209,22,0.802912,23,0.718193,22.03437245,16,15.39097925
10,2,0.75,6,0.833333,7,0.7434,6.370642589,20,0.839362,21,0.790476,20.8051794,14,14.43453681
11,2,0.75,6,0.809574,7,0.711712,6.09783164,22,0.816047,23,0.798643,22.92202942,16,16.82419778
12,2,0.75,6,0.820378,7,0.750279,6.290703148,21,0.811361,22,0.76555,21.24799721,15,14.95729406
13,2,0.75,5,0.809681,6,0.753374,5.171932442,22,0.835354,23,0.789311,22.76784745,17,17.59591501
14,2,0.75,6,0.825472,7,0.779917,6.559148282,23,0.832402,24,0.740343,23.35196993,17,16.79282165
15,2,0.75,6,0.837109,7,0.749701,6.42454924,16,0.837235,17,0.761628,16.49248085,10,10.06793161
16,2,0.75,6,0.864724,7,0.770208,6.684794109,23,0.830891,24,0.769744,23.50519241,17,16.8203983
17,2,0.75,6,0.86192,7,0.778022,6.738039047,19,0.824249,20,0.759804,19.37627434,13,12.6382353
18,2,0.75,6,0.827623,7,0.771429,6.491564936,21,0.813376,22,0.742922,21.18985437,15,14.69828944
19,2,0.75,6,0.852495,7,0.774411,6.672288817,20,0.858708,21,0.761071,20.60128845,14,13.92899963
0,2,0.8,6,0.813152,7,0.73774,6.174401952,21,0.808554,22,0.731057,21.11037847,15,14.93597651
1,2,0.8,6,0.834279,7,0.759756,6.459978798,19,0.804054,20,0.717778,19.04698873,13,12.58700994
2,2,0.8,5,0.840328,6,0.746864,5.43148164,22,0.838156,23,0.775711,22.61103371,17,17.17955207
3,2,0.8,5,0.850498,6,0.77686,5.68576007,19,0.8,20,0.713178,19,14,13.31423993
4,2,0.8,5,0.860587,6,0.77707,5.725445119,20,0.805058,21,0.716107,20.05686277,15,14.33141765
5,2,0.8,5,0.832044,6,0.747429,5.37870354,19,0.842872,20,0.754802,19.4867946,14,14.10809106
6,2,0.8,5,0.829189,6,0.707343,5.239556489,18,0.815161,19,0.685268,18.11671915,13,12.87716266
7,2,0.8,5,0.856674,6,0.789959,5.849494117,20,0.838641,21,0.734463,20.37091324,15,14.52141913
8,2,0.8,5,0.834047,6,0.773629,5.563524115,19,0.826923,20,0.762011,19.41476152,14,13.85123741
9,2,0.8,5,0.803749,6,0.716545,5.042991147,19,0.848241,20,0.740132,19.44622557,14,14.40323442
10,2,0.8,6,0.814696,7,0.710412,6.140922864,20,0.838919,21,0.757396,20.47739902,14,14.33647615
11,2,0.8,5,0.844773,6,0.769657,5.59605144,19,0.854906,20,0.748292,19.51499803,14,13.91894659
12,2,0.8,5,0.839305,6,0.752832,5.454534942,21,0.817116,22,0.760894,21.30443599,16,15.84990104
13,2,0.8,5,0.860021,6,0.791257,5.872854982,20,0.853333,21,0.769149,20.63352894,15,14.76067395
14,2,0.8,5,0.854406,6,0.791841,5.869591625,21,0.833333,22,0.739033,21.35347826,16,15.48388664
15,2,0.8,5,0.836757,6,0.762582,5.495544321,20,0.861797,21,0.788827,20.84688228,15,15.35133796
16,2,0.8,5,0.844995,6,0.777381,5.66546869,18,0.851648,19,0.765591,18.60016036,13,12.93469167
17,2,0.8,4,0.904808,5,0.794899,4.953588878,19,0.830972,20,0.726351,19.29603999,15,14.34245111
18,2,0.8,5,0.870276,6,0.764645,5.665297119,17,0.900105,18,0.797927,17.97971188,12,12.31441476
19,2,0.8,5,0.851738,6,0.757576,5.549457318,21,0.829026,22,0.762513,21.43639589,16,15.88693857
0,2,0.85,4,0.883817,5,0.783699,4.837182125,19,0.886364,20,0.793279,19.92779717,15,15.09061505
1,2,0.85,5,0.835979,6,0.721913,5.31542265,19,0.834951,20,0.709924,19.27954762,14,13.96412497
2,2,0.85,4,0.866732,5,0.779755,4.767237316,17,0.862213,18,0.766871,17.6525246,13,12.88528728
3,2,0.85,5,0.821121,6,0.724739,5.219138428,18,0.828383,19,0.751375,18.3685721,13,13.14943367
4,2,0.85,4,0.881592,5,0.769902,4.73052198,19,0.821845,20,0.728992,19.23526434,15,14.50474236
5,2,0.85,5,0.825079,6,0.761117,5.39209218,19,0.840129,20,0.766807,19.54729822,14,14.15520604
6,2,0.85,5,0.845251,6,0.76253,5.547031588,17,0.801242,18,0.70438,17.01282237,12,11.46579078
7,2,0.85,5,0.858121,6,0.763636,5.615134677,19,0.862423,20,0.756677,19.59031074,14,13.97517607
8,2,0.85,5,0.810781,6,0.706242,5.103128976,19,0.886715,20,0.772138,19.75682729,14,14.65369831
9,2,0.85,5,0.850521,6,0.776224,5.679987079,20,0.845416,21,0.768433,20.58994843,15,14.90996135
10,2,0.85,4,0.873077,5,0.792413,4.905943172,18,0.827301,19,0.707188,18.2272943,14,13.32135113
11,2,0.85,5,0.826233,6,0.729463,5.27108608,18,0.826226,19,0.727468,18.26555823,13,12.99447215
