Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
15,2,0.6,5,0.825117,6,0.747396,5.32316877,20,0.800195,21,0.707071,20.00209398,15,14.67892521
16,2,0.6,4,0.847345,5,0.755608,4.516094924,19,0.811594,20,0.671674,19.08286164,15,14.56676671
17,2,0.6,5,0.819613,6,0.782288,5.525465506,17,0.829069,18,0.731034,17.29651655,12,11.77105104
18,2,0.6,5,0.824561,6,0.764988,5.412284088,17,0.848975,18,0.77093,17.62752258,12,12.21523849
19,2,0.6,5,0.845842,6,0.719738,5.363525344,20,0.813452,21,0.74352,20.19235829,15,14.82883295
0,2,0.65,4,0.867631,5,0.784146,4.810097622,17,0.841734,18,0.761427,17.51968073,13,12.7095831
1,2,0.65,4,0.8541,5,0.757544,4.560296615,17,0.871069,18,0.798611,17.98083027,13,13.42053366
2,2,0.65,4,0.80807,5,0.684771,4.065450652,17,0.80292,18,0.690265,17.02591984,13,12.96046919
3,2,0.65,4,0.875,5,0.784205,4.826036676,19,0.854911,20,0.781434,19.74732229,15,14.92128562
4,2,0.65,5,0.820152,6,0.710983,5.184594528,18,0.81759,19,0.775281,18.41575079,13,13.23115626
5,2,0.65,4,0.872188,5,0.758881,4.637100973,19,0.866285,20,0.772139,19.70406603,15,15.06696505
6,2,0.65,4,0.896939,5,0.794926,4.950261241,19,0.802589,20,0.707317,19.02717483,15,14.07691358
7,2,0.65,5,0.816065,6,0.712048,5.154445908,17,0.805495,18,0.705436,17.0549176,12,11.90047169
8,2,0.65,4,0.870576,5,0.795233,4.936729358,18,0.867735,19,0.788671,18.85671102,14,13.91998166
9,2,0.65,5,0.828512,6,0.753059,5.377877619,18,0.825898,19,0.662766,18.15875487,13,12.78087725
