Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
8,2,0.8,0,0,0,0,10000,0,0,0,0,10000,10000,10000
9,2,0.8,0,0,0,0,10000,0,0,0,0,10000,10000,10000
10,2,0.8,0,0,0,0,10000,0,0,0,0,10000,10000,10000
11,2,0.8,0,0,0,0,10000,0,0,0,0,10000,10000,10000
12,2,0.8,0,0,0,0,10000,0,0,0,0,10000,10000,10000
13,2,0.8,0,0,0,0,10000,0,0,0,0,10000,10000,10000
14,2,0.8,0,0,0,0,10000,0,0,0,0,10000,10000,10000
15,2,0.8,0,0,0,0,10000,0,0,0,0,10000,10000,10000
16,2,0.8,0,0,0,0,10000,0,0,0,0,10000,10000,10000
17,2,0.8,0,0,0,0,10000,0,0,0,0,10000,10000,10000
18,2,0.8,0,0,0,0,10000,0,0,0,0,10000,10000,10000
19,2,0.8,0,0,0,0,10000,0,0,0,0,10000,10000,10000
0,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
1,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
2,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
3,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
4,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
5,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
6,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
7,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
8,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
9,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
10,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
11,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
12,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
13,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
14,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
15,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
16,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
17,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
18,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
19,2,0.85,0,0,0,0,10000,0,0,0,0,10000,10000,10000
0,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
1,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
2,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
3,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
4,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
5,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
6,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
7,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
8,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
9,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
10,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
11,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
12,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
13,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
14,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
15,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
16,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
17,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
18,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
19,2,0.9,0,0,0,0,10000,0,0,0,0,10000,10000,10000
0,2,0.95,0,0,0,0,10000,0,0,0,0,10000,10000,10000
1,2,0.95,0,0,0,0,10000,0,0,0,0,10000,10000,10000
2,2,0.95,0,0,0,0,10000,0,0,0,0,10000,10000,10000
3,2,0.95,114,0.48913,115,0.558824,114.1559675,181,0.351562,182,0.546875,181.7600006,67,67.6040331
4,2,0.95,161,0.428571,162,0.5,162,269,0.480519,270,0.595506,269.1694192,108,107.1694192
5,2,0.95,0,0,0,0,10000,0,0,0,0,10000,10000,10000
6,2,0.95,181,0.423469,182,0.515789,181.8289753,272,0.470874,273,0.613636,272.2040179,91,90.37504257
7,2,0.95,0,0,0,0,10000,0,0,0,0,10000,10000,10000
8,2,0.95,200,0.485,201,0.651163,200.0902728,329,0.467105,330,0.560976,329.3504277,129,129.2601549
9,2,0.95,318,0.402778,319,0.513158,318.8807936,519,0.350806,520,0.521978,519.8716028,201,200.9908092
10,2,0.95,96,0.440909,97,0.595506,96.38222605,256,0.391304,257,0.7,256.3521134,160,159.9698874
11,2,0.95,168,0.392473,169,0.5,169,352,0.493464,353,0.526596,352.1972715,184,183.1972715
12,2,0.95,175,0.471014,176,0.529412,175.4963526,289,0.422414,290,0.568807,289.5299844,114,114.0336317
13,2,0.95,180,0.333333,181,0.5,181,289,0.473333,290,0.54,289.400003,109,108.400003
14,2,0.95,215,0.440678,216,0.516393,215.7834907,357,0.463235,358,0.525862,357.5870471,142,141.8035564
15,2,0.95,130,0.37963,131,0.516949,130.8765721,221,0.461538,222,0.566667,221.3658553,91,90.48928321
16,2,0.95,0,0,0,0,10000,0,0,0,0,10000,10000,10000
17,2,0.95,116,0.419355,117,0.533654,116.7055617,208,0.482906,209,0.621622,208.1232302,92,91.41766847
18,2,0.95,119,0.465625,120,0.525,119.5789474,166,0.491228,167,0.546053,166.16,47,46.58105263
19,2,0.95,169,0.492481,170,0.559322,169.1124908,215,0.393048,216,0.539568,215.7299481,46,46.61745729
0,2,1,85,0.45,86,0.550847,85.49580057,178,0.452991,179,0.547619,178.4967769,93,93.00097628
1,2,1,68,0.429688,69,0.532258,68.68550258,108,0.480263,109,0.526316,108.4285714,40,39.74306884
2,2,1,104,0.422581,105,0.53125,104.7124295,195,0.451807,196,0.5125,195.7940454,91,91.08161595
3,2,1,63,0.429134,64,0.504587,63.93920719,135,0.475138,136,0.53125,135.4430781,72,71.50387094
4,2,1,89,0.402655,90,0.536697,89.7262276,160,0.438776,161,0.669492,160.2653652,71,70.53913761
5,2,1,88,0.441176,89,0.537037,88.6136385,132,0.367647,133,0.535398,132.7889849,44,44.17534637
6,2,1,88,0.387755,89,0.533654,88.76933358,153,0.457831,154,0.532609,153.5639225,65,64.79458896
7,2,1,112,0.482014,113,0.582524,112.1789474,184,0.414439,185,0.557851,184.5966098,72,72.4176624
8,2,1,82,0.441606,83,0.633028,82.30505376,131,0.472527,132,0.516129,131.6300858,49,49.32503202
9,2,1,78,0.44898,79,0.623288,78.29270028,151,0.477099,152,0.600917,151.184957,73,72.89225668
10,2,1,66,0.415254,67,0.539773,66.6805869,106,0.444444,107,0.672131,106.2440016,40,39.56341474
11,2,1,86,0.384868,87,0.517391,86.86876995,141,0.478022,142,0.551471,141.299228,55,54.43045809
12,2,1,64,0.459821,65,0.530769,64.56631618,142,0.471831,143,0.602362,142.2158031,78,77.64948697
13,2,1,73,0.447059,74,0.526316,73.66796624,121,0.497006,122,0.522727,121.1164029,48,47.4484367
14,2,1,88,0.459854,89,0.589474,88.30972072,154,0.46087,155,0.583333,154.3195251,66,66.00980436
15,2,1,94,0.435484,95,0.609375,94.37101403,146,0.413636,147,0.581633,146.5140806,52,52.14306658
16,2,1,62,0.434211,63,0.647436,62.30854262,143,0.435294,144,0.540441,143.6153861,81,81.30684346
17,2,1,73,0.452632,74,0.511029,73.81113756,131,0.468354,132,0.557851,131.3535984,58,57.54246089
18,2,1,67,0.429688,68,0.548246,67.59305994,135,0.458904,136,0.584746,135.3265682,68,67.7335083
19,2,1,68,0.460843,69,0.5,69,154,0.426829,155,0.545833,154.6148617,86,85.61486169
0,2.5,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
1,2.5,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
2,2.5,0.5,0,0,0,0,10000,0,0,0,0,10000,10000,10000
