EMBRYO,GERMLINE,AVERAGE
0.5,1,13.3649
0.55,1,13.6099
0.6,1,13.7851
0.65,1,14.2961
0.7,1,14.8036
0.75,1,14.5684
0.8,1,15.0907
0.85,1,15.8092
0.9,1,16.1756
0.95,1,16.429
1,1,17.2037
