EMBRYO,GERMLINE,AVERAGE
0.45,1,140.2479
0.5,1,147.08
0.55,1,149.2113
0.6,1,150.5612
0.65,1,155.9175
0.7,1,155.3581
0.75,1,160.6993
0.8,1,160.0504
0.85,1,157.526
0.9,1,160.6948
0.95,1,156.6503
1,1,158.342
