Number,GERMLINE,EMBRYO,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
13,0.5,0.1,6,0.826962,7,0.791126,6.752371917,24,0.833658,25,0.794872,24.86778735,18,18.11541543
14,0.5,0.1,5,0.851043,6,0.790123,5.837869337,21,0.821206,22,0.762397,21.36059107,16,15.52272173
15,0.5,0.1,6,0.860759,7,0.789899,6.857451312,22,0.830943,23,0.749739,22.38105266,16,15.52360135
16,0.5,0.1,4,0.858768,5,0.763419,4.616346265,20,0.848303,21,0.776963,20.67708158,16,16.06073532
17,0.5,0.1,6,0.824074,7,0.777336,6.515084086,22,0.803662,23,0.73065,22.05015614,16,15.53507205
18,0.5,0.1,6,0.825364,7,0.796698,6.884811275,21,0.831559,22,0.785276,21.68187023,15,14.79705896
19,0.5,0.1,5,0.840522,6,0.773885,5.608100605,23,0.820833,24,0.728814,23.2263989,18,17.61829829
0,0.5,0.15,7,0.840085,8,0.781818,7.68795373,24,0.872259,25,0.784631,24.82461085,17,17.13665712
1,0.5,0.15,6,0.855011,7,0.789144,6.83518302,28,0.810032,29,0.765263,28.22408363,22,21.38890061
2,0.5,0.15,7,0.82139,8,0.791895,7.725207662,25,0.854398,26,0.794634,25.91021351,18,18.18500584
3,0.5,0.15,7,0.810066,8,0.763131,7.214466816,26,0.824786,27,0.779108,26.54262446,19,19.32815764
4,0.5,0.15,7,0.800227,8,0.745098,7.004117615,23,0.837526,24,0.771539,23.56868777,16,16.56457016
5,0.5,0.15,6,0.807653,7,0.752916,6.13981402,24,0.821656,25,0.76704,24.39651384,18,18.25669982
6,0.5,0.15,6,0.840168,7,0.780045,6.668097068,23,0.812829,24,0.797787,23.85287861,17,17.18478154
7,0.5,0.15,7,0.800427,8,0.766327,7.012521994,28,0.816733,29,0.768085,28.3439607,21,21.3314387
8,0.5,0.15,6,0.813253,7,0.745263,6.194925724,23,0.813362,24,0.758794,23.24486879,17,17.04994306
9,0.5,0.15,6,0.811957,7,0.770153,6.286025261,24,0.828829,25,0.77549,24.54048632,18,18.25446106
10,0.5,0.15,7,0.814624,8,0.774573,7.365134454,22,0.843243,23,0.797558,22.94654701,15,15.58141255
11,0.5,0.15,6,0.82102,7,0.752677,6.307566247,24,0.800401,25,0.76699,24.01200204,18,17.70443579
12,0.5,0.15,8,0.817308,9,0.741902,8.229530807,25,0.845201,26,0.79696,25.93698306,17,17.70745226
13,0.5,0.15,7,0.810726,8,0.781559,7.367744369,29,0.83027,30,0.790822,29.76733928,22,22.39959491
14,0.5,0.15,6,0.82808,7,0.767442,6.463075959,20,0.806818,21,0.777657,20.23380543,14,13.77072947
15,0.5,0.15,6,0.840479,7,0.795243,6.894840393,23,0.817172,24,0.770898,23.37109392,17,16.47625353
16,0.5,0.15,8,0.809783,9,0.781837,8.350067988,23,0.804752,24,0.742291,23.07607947,15,14.72601149
17,0.5,0.15,5,0.855578,6,0.797311,5.953850378,25,0.834225,26,0.793527,25.84095042,20,19.88710004
18,0.5,0.15,6,0.825366,7,0.740434,6.298662459,25,0.8,26,0.789062,25,19,18.70133754
19,0.5,0.15,5,0.850806,6,0.796506,5.935653775,25,0.805876,26,0.775171,25.19136948,20,19.25571571
0,0.5,0.2,8,0.819724,9,0.755396,8.306616093,29,0.820879,30,0.738866,29.25458159,21,20.9479655
1,0.5,0.2,6,0.825962,7,0.785421,6.640388742,27,0.815185,28,0.778345,27.41218784,21,20.7717991
2,0.5,0.2,7,0.830693,8,0.78903,7.736696829,28,0.803965,29,0.750802,28.07458195,21,20.33788512
3,0.5,0.2,6,0.801706,7,0.744615,6.029882118,26,0.814619,27,0.771123,26.33609987,20,20.30621775
4,0.5,0.2,7,0.816033,8,0.745455,7.227167106,27,0.833906,28,0.791618,27.80178774,20,20.57462064
5,0.5,0.2,7,0.807215,8,0.772527,7.207997002,25,0.816901,26,0.792222,25.68483326,18,18.47683626
6,0.5,0.2,6,0.827322,7,0.770688,6.482431048,28,0.809681,29,0.776699,28.29352374,22,21.81109269
7,0.5,0.2,7,0.825083,8,0.783158,7.598282648,27,0.811931,28,0.758985,27.2253428,20,19.62706015
8,0.5,0.2,6,0.82505,7,0.773913,6.489860571,26,0.834308,27,0.796985,26.91921871,20,20.42935814
9,0.5,0.2,6,0.821649,7,0.78198,6.545741007,24,0.820567,25,0.797001,24.87274039,18,18.32699938
10,0.5,0.2,6,0.855568,7,0.778139,6.717663924,24,0.809176,25,0.725532,24.10970303,18,17.3920391
11,0.5,0.2,6,0.805825,7,0.790554,6.381441949,25,0.80565,26,0.776607,25.19453913,19,18.81309718
12,0.5,0.2,7,0.824561,8,0.781029,7.564205642,25,0.803882,26,0.745197,25.06614978,18,17.50194414
13,0.5,0.2,6,0.840671,7,0.797949,6.951991948,25,0.851126,26,0.785933,25.7842253,19,18.83223335
14,0.5,0.2,7,0.847872,8,0.777778,7.682968585,22,0.834669,23,0.793478,22.84166444,15,15.15869586
15,0.5,0.2,8,0.819048,9,0.764835,8.351354841,28,0.825027,29,0.778243,28.53494785,20,20.183593
16,0.5,0.2,6,0.8,7,0.765843,6,22,0.845026,23,0.796278,22.92364815,16,16.92364815
17,0.5,0.2,8,0.805139,9,0.733542,8.07177675,24,0.83423,25,0.774029,24.56859521,16,16.49681846
18,0.5,0.2,6,0.845026,7,0.776963,6.661534167,25,0.818642,26,0.791845,25.69567489,19,19.03414072
19,0.5,0.2,5,0.85,6,0.787526,5.800332939,23,0.848261,24,0.748441,23.48348026,18,17.68314733
0,0.5,0.25,7,0.810505,8,0.784188,7.399171638,31,0.819192,32,0.785276,31.56586862,24,24.16669698
1,0.5,0.25,6,0.844444,7,0.779731,6.686786272,30,0.832311,31,0.772921,30.54404782,24,23.85726155
2,0.5,0.25,7,0.84598,8,0.777049,7.667043855,28,0.829569,29,0.77572,28.54910955,21,20.88206569
3,0.5,0.25,6,0.810112,7,0.784599,6.39634696,26,0.832086,27,0.791709,26.79466033,20,20.39831337
4,0.5,0.25,6,0.86245,7,0.786145,6.818426053,31,0.830803,32,0.7897,31.74941002,25,24.93098397
5,0.5,0.25,7,0.835189,8,0.797366,7.930359834,30,0.806889,31,0.778857,30.24575485,23,22.31539502
6,0.5,0.25,8,0.825668,9,0.78895,8.699057683,28,0.832965,29,0.773128,28.55091331,20,19.85185563
7,0.5,0.25,5,0.853333,6,0.798749,5.977081196,36,0.81449,37,0.785351,36.4972717,31,30.5201905
8,0.5,0.25,8,0.816803,9,0.777662,8.429294091,26,0.806584,27,0.7614,26.1457153,18,17.71642121
9,0.5,0.25,8,0.82866,9,0.764828,8.448991102,30,0.860294,31,0.781986,30.76995965,22,22.32096854
10,0.5,0.25,8,0.807487,9,0.775194,8.231845911,26,0.838462,27,0.782267,26.68443812,18,18.45259221
11,0.5,0.25,7,0.814855,8,0.760913,7.27538838,28,0.809926,29,0.767167,28.23213826,21,20.95674988
12,0.5,0.25,5,0.845842,6,0.794243,5.88842807,26,0.805907,27,0.764202,26.14163769,21,20.25320962
13,0.5,0.25,7,0.832094,8,0.779234,7.607150965,23,0.812373,24,0.771195,23.30047598,16,15.69332502
14,0.5,0.25,9,0.845659,10,0.787815,9.78934721,32,0.815763,33,0.782839,32.47876929,23,22.68942208
15,0.5,0.25,5,0.861656,6,0.797927,5.967471638,27,0.816857,28,0.792608,27.69516269,22,21.72769105
16,0.5,0.25,7,0.828603,8,0.776948,7.553731488,29,0.804827,30,0.729979,29.0644907,22,21.51075921
17,0.5,0.25,8,0.84265,9,0.74921,8.456442637,30,0.824742,31,0.774332,30.49081531,22,22.03437268
18,0.5,0.25,8,0.840164,9,0.796316,8.915982485,27,0.826174,28,0.765738,27.43308624,19,18.51710376
19,0.5,0.25,7,0.830457,8,0.769231,7.497452063,28,0.825476,29,0.770921,28.46697828,21,20.96952622
0,0.5,0.3,7,0.825678,8,0.767876,7.444240684,35,0.80621,36,0.781737,35.25374903,28,27.80950835
1,0.5,0.3,7,0.806236,8,0.735751,7.088472725,30,0.808598,31,0.765936,30.20153767,23,23.11306494
2,0.5,0.3,10,0.824444,11,0.767261,10.4274697,31,0.825855,32,0.766292,31.4340782,21,21.0066085
3,0.5,0.3,10,0.818561,11,0.734463,10.22070679,29,0.834637,30,0.791485,29.80267427,19,19.58196747
4,0.5,0.3,8,0.817658,9,0.797741,8.886579304,27,0.808402,28,0.795643,27.65851556,19,18.77193625
5,0.5,0.3,7,0.826531,8,0.775731,7.52226378,30,0.830705,31,0.794953,30.85883307,23,23.33656929
6,0.5,0.3,8,0.855779,9,0.791257,8.864495831,27,0.804061,28,0.776584,27.14779634,19,18.28330051
7,0.5,0.3,9,0.818658,10,0.795829,9.817293793,29,0.810211,30,0.751896,29.17510075,20,19.35780695
8,0.5,0.3,6,0.810591,7,0.794083,6.641567725,25,0.826733,26,0.759919,25.40011076,19,18.75854303
9,0.5,0.3,9,0.808598,10,0.760593,9.179106343,30,0.820152,31,0.796025,30.83524682,21,21.65614048
10,0.5,0.3,6,0.837724,7,0.77044,6.560668212,27,0.815416,28,0.782418,27.46717983,21,20.90651162
11,0.5,0.3,9,0.828667,10,0.797024,9.905950763,27,0.843116,28,0.79596,27.91432691,18,18.00837615
12,0.5,0.3,8,0.820158,9,0.743483,8.262901858,32,0.825079,33,0.797409,32.90636068,24,24.64345882
13,0.5,0.3,10,0.809725,11,0.775595,10.28493994,29,0.805,30,0.779536,29.19635564,19,18.9114157
14,0.5,0.3,6,0.836879,7,0.79661,6.915816136,28,0.851626,29,0.791581,28.85978849,22,21.94397236
15,0.5,0.3,8,0.85336,9,0.792008,8.869735298,28,0.830368,29,0.795806,28.87865286,20,20.00891756
16,0.5,0.3,7,0.842162,8,0.785311,7.741622839,33,0.823101,34,0.793103,33.77008467,26,26.02846183
17,0.5,0.3,9,0.802455,10,0.737762,9.037948464,35,0.807617,36,0.782209,35.29978747,26,26.261839
18,0.5,0.3,9,0.836048,10,0.788108,9.751939925,35,0.802534,36,0.759865,35.05938738,26,25.30744745
19,0.5,0.3,9,0.847492,10,0.798056,9.96067643,26,0.815654,27,0.775488,26.38973261,17,16.42905618
0,0.5,0.35,8,0.811475,9,0.784404,8.423885339,39,0.827273,40,0.77801,39.55362036,31,31.12973503
1,0.5,0.35,11,0.800672,12,0.78481,11.0423654,35,0.80912,36,0.786004,35.39453193,24,24.35216652
2,0.5,0.35,9,0.810032,10,0.774863,9.285251216,35,0.825953,36,0.798515,35.94587798,26,26.66062676
3,0.5,0.35,9,0.814774,10,0.777268,9.393910308,34,0.819079,35,0.789247,34.63954814,25,25.24563783
4,0.5,0.35,8,0.818889,9,0.787097,8.594143181,40,0.809417,41,0.780864,40.32980773,32,31.73566455
5,0.5,0.35,8,0.81289,9,0.793668,8.670585787,30,0.806863,31,0.792026,30.46255982,22,21.79197403
6,0.5,0.35,9,0.805468,10,0.766629,9.140786323,29,0.801688,30,0.770128,29.05348542,20,19.9126991
7,0.5,0.35,10,0.802254,11,0.787344,10.15117371,30,0.829592,31,0.794844,30.85161736,20,20.70044365
8,0.5,0.35,8,0.843094,9,0.795876,8.912660426,32,0.843077,33,0.79,32.81159448,24,23.89893405
9,0.5,0.35,8,0.80621,9,0.791983,8.43649399,36,0.817629,37,0.798531,36.92308095,28,28.48658696
10,0.5,0.35,7,0.814851,8,0.797764,7.869140282,34,0.858209,35,0.794922,34.91976235,27,27.05062207
11,0.5,0.35,8,0.815098,9,0.74922,8.229181214,24,0.82495,25,0.788247,24.67978094,16,16.45059973
12,0.5,0.35,8,0.80107,9,0.794816,8.171090502,33,0.815353,34,0.767442,33.32044833,25,25.14935783
13,0.5,0.35,10,0.812367,11,0.798708,10.90541035,33,0.810573,34,0.754149,33.1873848,23,22.28197445
14,0.5,0.35,8,0.801917,9,0.787879,8.136557914,34,0.808159,35,0.773653,34.23645163,26,26.09989372
15,0.5,0.35,11,0.801802,12,0.79,11.15268599,36,0.808219,37,0.777778,36.2699977,25,25.11731172
16,0.5,0.35,8,0.841772,9,0.754974,8.481255328,35,0.817989,36,0.761026,35.31580149,27,26.83454616
17,0.5,0.35,9,0.820682,10,0.755169,9.315693069,35,0.803644,36,0.746048,35.06326828,26,25.74757521
18,0.5,0.35,8,0.81808,9,0.785563,8.556016853,38,0.822771,39,0.795478,38.83431649,30,30.27829964
19,0.5,0.35,8,0.809908,9,0.797056,8.770930594,30,0.811146,31,0.775053,30.30881334,22,21.53788275
0,0.5,0.4,7,0.809843,8,0.768614,7.238739722,27,0.820459,28,0.797895,27.9067098,20,20.66797008
1,0.5,0.4,12,0.825283,13,0.792141,12.76286887,35,0.84952,36,0.799785,35.99567709,23,23.23280822
2,0.5,0.4,12,0.807205,13,0.791975,12.47307945,44,0.812762,45,0.789586,44.55065585,32,32.0775764
3,0.5,0.4,10,0.827411,11,0.796909,10.89866238,31,0.817996,32,0.789796,31.63815603,21,20.73949365
4,0.5,0.4,8,0.816754,9,0.76795,8.343291533,39,0.803493,40,0.78671,39.20812727,31,30.86483574
5,0.5,0.4,10,0.816008,11,0.79148,10.65264188,31,0.802521,32,0.794153,31.30126673,21,20.64862485
6,0.5,0.4,8,0.823529,9,0.760694,8.374456911,35,0.807653,36,0.782946,35.30975027,27,26.93529336
7,0.5,0.4,10,0.827586,11,0.795612,10.8627635,32,0.80062,33,0.772472,32.02202643,22,21.15926294
8,0.5,0.4,8,0.817891,9,0.796757,8.846550582,39,0.811752,40,0.784969,39.4387858,31,30.59223521
9,0.5,0.4,7,0.850967,8,0.797312,7.949902153,33,0.810838,34,0.797809,33.83183667,26,25.88193452
10,0.5,0.4,7,0.837669,8,0.79644,7.913653011,38,0.845511,39,0.782232,38.71921174,31,30.80555873
11,0.5,0.4,8,0.82,9,0.775776,8.452243126,44,0.827935,45,0.779749,44.5797327,36,36.12748958
12,0.5,0.4,9,0.825983,10,0.769231,9.457834085,43,0.807229,44,0.779476,43.26047634,34,33.80264226
13,0.5,0.4,12,0.823171,13,0.773404,12.46558965,36,0.811508,37,0.794053,36.65929533,24,24.19370568
14,0.5,0.4,9,0.813333,10,0.790724,9.589720908,36,0.809024,37,0.79716,36.76062036,27,27.17089946
15,0.5,0.4,10,0.813906,11,0.764057,10.27896247,42,0.816524,43,0.765893,42.32636132,32,32.04739885
16,0.5,0.4,13,0.804348,14,0.794411,13.43755661,42,0.80916,43,0.778373,42.29752818,29,28.85997157
17,0.5,0.4,10,0.809313,11,0.787258,10.42226253,32,0.816794,33,0.798301,32.9081274,22,22.48586487
18,0.5,0.4,7,0.814365,8,0.798768,7.921010451,43,0.804656,44,0.79721,43.62530218,36,35.70429172
19,0.5,0.4,8,0.848224,9,0.799571,8.991182455,29,0.806218,30,0.799774,29.96492862,21,20.97374616
0,0.5,0.45,13,0.806806,14,0.761755,13.15107323,45,0.810062,46,0.798774,45.89138909,32,32.74031586
1,0.5,0.45,9,0.815877,10,0.799786,9.98670064,55,0.829293,56,0.798483,55.95076274,46,45.9640621
2,0.5,0.45,9,0.812933,10,0.793702,9.67250793,44,0.810044,45,0.790598,44.51650725,35,34.84399932
3,0.5,0.45,11,0.828306,12,0.792752,11.79614108,48,0.802895,49,0.799145,48.772,37,36.97585892
4,0.5,0.45,12,0.81768,13,0.79721,12.86370298,48,0.830396,49,0.769807,48.50167522,36,35.63797224
