"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"nosF3",3,0.0232,0.9,180.555555555556,0.55,67.3636363636364,0.174134530636364,0.0156511738181818,0.0810931480909091,0.00526504909090909,7228.34903790909,33938479.4586364,205.375,0.1,333.5,0,NA,0,NA,0,NA,0,0.1,0,0.05,0.4,0.1,0.45,0,0,2269.75935067484,2269.75935067484,NA,2262.22016077931
"nosF3",3,0.027,0.95,123.578947368421,0.5,62,0.2615118889,0.0317268269,0.1123992214,0.00743337,4990.8060969,27631900.2785,85.7777777777778,0.05,117,0,NA,0,NA,0,NA,0,0.05,0,0,0.45,0.05,0.5,0,0,2141.51967935401,2141.51967935401,NA,2178.77174239508
"nosF3",3,0.0308,1,104.4,0.35,59.1428571428571,0.204302561428571,0.0189717884285714,0.0948616574285714,0.00526230785714286,5631.89218342857,27946418.8952857,75,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.3,0,0.65,0,0,2330.08523254222,2330.08523254222,NA,2330.08523254222
"nosF3",3,0.0346,1,107.95,0.25,53.8,0.180809533,0.0182805286,0.0799432628,0.0039680726,5316.4055874,37864888.928,112,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.25,0,0.75,0,0,1759.54020214286,1759.54020214286,NA,1759.54020214286
"nosF3",3,0.0384,1,92.75,0.25,52.4,0.200880442,0.0268887276,0.0903054646,0.0022949328,4356.5771206,20483855.134876,82.25,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.2,0,0.75,0,0,1861.38262245046,1861.38262245046,NA,1861.38262245046
"nosF3",3,0.0422,1,101.15,0.2,50.75,0.1802875915,0.01777376025,0.0650384985,0.0016122695,5267.92188115,27128015.8811725,181.666666666667,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.15,0,0.8,0,0,1698.54489556881,1698.54489556881,NA,1698.54489556881
"nosF3",3,0.046,1,72.55,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA
"nosF3",4,0.008,0,NA,1,79.95,0.01309466825,9.6075e-06,0.00386656595,1.2232e-06,27287.308667,8072451.11855,NA,0,NA,0,NA,1,0.65570385,0,NA,1,0,0,0,0,0,0,0,1,7291.09495055,NA,7291.09495055,NA
"nosF3",4,0.0118,0,NA,1,94.25,0.0337874707,0.00014976685,0.0096561655,1.924e-05,22264.1719875,21344424.5895,NA,0,NA,0,NA,1,0.6965373,0,NA,1,0,0,0,0,0,0,0,1,5141.1632608,NA,5141.1632608,NA
"nosF3",4,0.0156,0.2,623,0.9,80.8888888888889,0.0608938656111111,0.00168776238888889,0.0205708011111111,0.000373540333333333,17253.1268155556,42444083.2894444,1015.5,0,NA,0,NA,0.8,0.737261125,0,NA,0.8,0,0,0,0.1,0,0.1,0,0.8,3689.52412097704,3503.7983438774,3696.9424865625,3503.7983438774
"nosF3",4,0.0194,0.85,730.764705882353,0.9,74.5555555555556,0.127164734277778,0.0124898957222222,0.0558969988888889,0.00434229588888889,11706.3752661111,49254144.9116667,725.466666666667,0.05,2492,0,NA,0.1,0.868263,0,NA,0.1,0.05,0,0,0.75,0.05,0.1,0,0.1,2824.87366284816,2836.65012508021,2800.2257275,2756.38564220382
"nosF3",4,0.0232,0.95,445.789473684211,0.7,66.7142857142857,0.155857209071429,0.0153607197142857,0.0732188208571429,0.00548620628571429,10394.2104682857,76359105.3636429,523.230769230769,0.05,566,0,NA,0,NA,0,NA,0,0.05,0,0,0.65,0.05,0.3,0,0,2729.82689174466,2729.82689174466,NA,2569.5926204212
"nosF3",4,0.027,0.95,242.684210526316,0.65,60.4615384615385,0.161752112230769,0.0159899053846154,0.069841578,0.00331232992307692,9635.31298176923,62574730.4231538,257.916666666667,0.05,468,0,NA,0,NA,0,NA,0,0.05,0,0,0.6,0.05,0.35,0,0,2524.02196267105,2524.02196267105,NA,2515.13688843942
"nosF3",4,0.0308,1,118.65,0.25,56,0.1678950934,0.016043897,0.0637052456,0.0023977742,7543.1338286,49192505.6438,182.25,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.2,0,0.75,0,0,1876.3524783347,1876.3524783347,NA,1876.3524783347
"nosF3",4,0.0346,1,142.45,0.45,55.2222222222222,0.147846372444444,0.0108567306666667,0.0691868921111111,0.00347462577777778,6709.05596255556,53828239.9241111,147.333333333333,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.45,0,0.55,0,0,2095.80152297134,2095.80152297134,NA,2095.80152297134
"nosF3",4,0.0384,1,85.65,0.2,48.25,0.18578584125,0.0198393675,0.0639128115,0.00343968175,6637.906931,46899836.7325,58.6666666666667,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.15,0,0.8,0,0,2680.99438527273,2680.99438527273,NA,2680.99438527273
"nosF3",4,0.0422,1,102.75,0.2,47.5,0.17075971825,0.0300306925,0.05335333275,0.0047334075,9966.4856375,135232067.75625,188.666666666667,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.15,0,0.8,0,0,3851.3383449735,3851.3383449735,NA,3851.3383449735
"nosF3",4,0.046,1,99.05,0.3,42.5,0.1426086595,0.017424483,0.0544261348333333,0.002389308,7303.92879583333,71152443.775,97.6666666666667,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.3,0,0.7,0,0,2384.02468262628,2384.02468262628,NA,2384.02468262628
"nosF3",5,0.008,0,NA,1,81.4,0.0122201367,8.344e-06,0.00318387785,8.51e-07,29721.623287,7462220.09635,NA,0,NA,0,NA,1,0.69091855,0,NA,1,0,0,0,0,0,0,0,1,7548.11860295,NA,7548.11860295,NA
"nosF3",5,0.0118,0,NA,1,91.8,0.0308855345,0.0001055522,0.0077448651,1.10165e-05,24962.3385265,20451712.9725,NA,0,NA,0,NA,1,0.73258795,0,NA,1,0,0,0,0,0,0,0,1,5378.38656685,NA,5378.38656685,NA
"nosF3",5,0.0156,0.15,566.333333333333,0.95,82.5263157894737,0.0648890419473684,0.00206952847368421,0.0222019717368421,0.000652953842105263,19375.7278954211,34388382.8644211,683.5,0,NA,0,NA,0.85,0.770302529411765,0,NA,0.85,0,0,0,0.1,0,0.05,0,0.85,3944.35811003742,3532.18705512143,3954.78712258824,3532.18705512143
"nosF3",5,0.0194,0.7,977.785714285714,0.9,73.6111111111111,0.114583784944444,0.00877508088888889,0.0455391994444444,0.00198820222222222,13294.8017480556,49085860.985,1126.63636363636,0,NA,0,NA,0.3,0.850726166666667,0,NA,0.3,0,0,0.05,0.55,0,0.1,0,0.3,2804.05406664785,2656.33538508577,2900.06191333333,2656.33538508577
"nosF3",5,0.0232,1,505.1,0.75,66.1333333333333,0.160423462933333,0.0164392517333333,0.0613850451333333,0.00321426546666667,10690.9418841333,61888146.3064,557.933333333333,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.75,0,0.25,0,0,2566.37910333146,2566.37910333146,NA,2566.37910333146
"nosF3",5,0.027,1,245.9,0.5,62.7,0.1193230438,0.0078716809,0.0439184051,0.0014561608,11565.4790268,59176566.015,323,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.5,0,0.5,0,0,2238.17017164272,2238.17017164272,NA,2238.17017164272
"nosF3",5,0.0308,0.95,260.789473684211,0.65,58.6923076923077,0.178619616,0.0172526896153846,0.0708829256153846,0.00395875615384615,7767.06454853846,43373920.2319231,316.363636363636,0.05,91,0,NA,0,NA,0,NA,0,0.05,0,0.05,0.55,0.05,0.35,0,0,1883.16623017414,1883.16623017414,NA,1883.16623017414
"nosF3",5,0.0346,1,108.95,0.3,55.1666666666667,0.2179714745,0.00974911116666667,0.0954306668333333,0.00387237183333333,6821.752171,33449831.8055,115.2,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.25,0,0.7,0,0,2242.63367823646,2242.63367823646,NA,2242.63367823646
"nosF3",5,0.0384,1,200.6,0.6,52.4166666666667,0.127230870333333,0.0143974688333333,0.0460848680833333,0.00230264166666667,9615.95883883333,77101165.9794167,251.1,0,NA,0,NA,0,NA,0,NA,0,0,0,0.1,0.5,0,0.4,0,0,1698.68738860374,1698.68738860374,NA,1698.68738860374
"nosF3",5,0.0422,1,129.9,0.3,47.3333333333333,0.128312212333333,0.0140506428333333,0.0498384891666667,0.00245241316666667,8001.02245133333,71526219.6883333,232.8,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.25,0,0.7,0,0,2134.03545613058,2134.03545613058,NA,2134.03545613058
"nosF3",5,0.046,1,87.65,0.15,43.3333333333333,0.177289091,0.0203603863333333,0.060190172,0.003347093,11002.9228023333,180518627.19,104.333333333333,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.15,0,0.85,0,0,3554.86221364217,3554.86221364217,NA,3554.86221364217
"nosF3",6,0.008,0,NA,1,72.05,0.01187355155,7.7425e-06,0.0028041619,7.285e-07,31533.7574205,7887284.9407,NA,0,NA,0,NA,1,0.70915465,0,NA,1,0,0,0,0,0,0,0,1,7788.6602758,NA,7788.6602758,NA
"nosF3",6,0.0118,0,NA,1,90.65,0.02935263075,9.02602e-05,0.00669868285,8.3195e-06,26870.9305055,20871167.1615,NA,0,NA,0,NA,1,0.77355835,0,NA,1,0,0,0,0,0,0,0,1,5490.63001955,NA,5490.63001955,NA
"nosF3",6,0.0156,0,NA,1,80.65,0.048059913,0.0006111039,0.0119908646,9.472355e-05,22602.77896,38395489.2405,NA,0,NA,0,NA,1,0.81596125,0,NA,1,0,0,0,0,0,0,0,1,4126.31561915,NA,4126.31561915,NA
"nosF3",6,0.0194,0.5,815,0.95,71.7894736842105,0.0931087482631579,0.00722554573684211,0.0327295938421053,0.00207413952631579,17222.5560564211,51145413.5536842,808.888888888889,0,NA,0,NA,0.5,0.8085866,0,NA,0.5,0,0,0,0.45,0,0.05,0,0.5,3096.71069579808,3256.79602605508,3060.0391664,3256.79602605508
"nosF3",6,0.0232,0.9,947.722222222222,0.8,67.5,0.121581245125,0.0100654340625,0.046747053875,0.00216447875,14158.3417069375,65793646.7545125,1190.76923076923,0,NA,0,NA,0.1,0.9250985,0,NA,0.1,0,0,0.05,0.65,0,0.2,0,0.1,2515.96609163542,2474.98197075988,2615.782673,2474.98197075988
"nosF3",6,0.027,0.95,499.684210526316,0.85,58.1764705882353,0.119938992882353,0.00937541964705882,0.0431764540588235,0.00175756941176471,12102.2166937059,55774808.6757059,505.625,0.05,472,0,NA,0,NA,0,NA,0,0.05,0,0,0.8,0.05,0.15,0,0,2169.22770281675,2169.22770281675,NA,2188.62656126675
"nosF3",6,0.0308,1,192.45,0.45,58.4444444444444,0.167935439444444,0.0129565566666667,0.0666373773333333,0.00246337644444444,8706.40640866667,44220479.5795111,275.375,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.4,0,0.55,0,0,1770.00476841126,1770.00476841126,NA,1770.00476841126
"nosF3",6,0.0346,1,230.75,0.6,52.1666666666667,0.12909064725,0.0118226034166667,0.04734225875,0.0020446235,9994.36871608333,68578594.2341667,263.416666666667,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.6,0,0.4,0,0,1800.00158976387,1800.00158976387,NA,1800.00158976387
"nosF3",6,0.0384,1,155.15,0.45,52.1111111111111,0.124722,0.0104228924444444,0.0524467982222222,0.00246077833333333,9399.92044744445,66379234.3033333,181.111111111111,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.45,0,0.55,0,0,1711.30992563804,1711.30992563804,NA,1711.30992563804
"nosF3",6,0.0422,1,109.3,0.3,47,0.168206327666667,0.017967476,0.0600592136666667,0.00332263033333333,9362.7910065,99486332.0266667,121.833333333333,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.3,0,0.7,0,0,2188.11709202326,2188.11709202326,NA,2188.11709202326
"nosF3",6,0.046,1,106.5,0.2,41.25,0.0985439625,0.00850107475,0.03499630675,0.0014043025,11630.06595,149716010.95,172.25,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.2,0,0.8,0,0,2054.61603452105,2054.61603452105,NA,2054.61603452105
"nosF3",7,0.008,0,NA,1,70.85,0.0115448685,7.423e-06,0.0025444714,6.2095e-07,32906.640356,7755101.0056,NA,0,NA,0,NA,1,0.70778,0,NA,1,0,0,0,0,0,0,0,1,7909.2644481,NA,7909.2644481,NA
"nosF3",7,0.0118,0,NA,1,91.45,0.02777147735,8.349055e-05,0.00582854945,7.1205e-06,28591.3872225,19542936.026,NA,0,NA,0,NA,1,0.78558585,0,NA,1,0,0,0,0,0,0,0,1,5570.2711298,NA,5570.2711298,NA
"nosF3",7,0.0156,0,NA,1,82.15,0.0455976172,0.000596281,0.0104214397,7.767045e-05,24184.5860755,36955276.1805,NA,0,NA,0,NA,1,0.81291135,0,NA,1,0,0,0,0,0,0,0,1,4142.12680405,NA,4142.12680405,NA
"nosF3",7,0.0194,0.45,1262.11111111111,0.9,72.5,0.078577063,0.006724337,0.0222934211666667,0.00105523522222222,19497.0325584444,51588798.9783333,1502.85714285714,0,NA,0,NA,0.55,0.846703818181818,0,NA,0.55,0,0,0,0.35,0,0.1,0,0.55,3107.58857916008,3106.86000778536,3107.80783,3106.86000778536
"nosF3",7,0.0232,0.8,1117.8125,0.9,66.7222222222222,0.111777619722222,0.007194963,0.0383131358888889,0.00127405216666667,14943.7923984444,53060876.0776111,1182.35714285714,0,NA,0,NA,0.2,0.8773135,0,NA,0.2,0,0,0,0.7,0,0.1,0,0.2,2609.98634333842,2519.66133741624,2727.6035415,2519.66133741624
"nosF3",7,0.027,1,436.9,0.65,59.1538461538462,0.0981371493076923,0.00828408453846154,0.0330691983076923,0.00178193953846154,14549.1645478462,63758239.9792308,588.25,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.6,0,0.35,0,0,2033.99144143561,2033.99144143561,NA,2033.99144143561
"nosF3",7,0.0308,1,297.6,0.7,55,0.128308870142857,0.0129362250714286,0.0514864678571429,0.00233807728571429,11166.2872595714,75510579.67,318.857142857143,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.7,0,0.3,0,0,2190.84598893526,2190.84598893526,NA,2190.84598893526
"nosF3",7,0.0346,1,263.4,0.45,53.1111111111111,0.104408020111111,0.010458286,0.0341432892222222,0.000985751,12199.902479,75655782.3971111,519.428571428571,0,NA,0,NA,0,NA,0,NA,0,0,0,0.1,0.35,0,0.55,0,0,1835.82659507288,1835.82659507288,NA,1835.82659507288
"nosF3",7,0.0384,1,131.8,0.35,48.8571428571429,0.135095006,0.0144726165714286,0.0422397868571429,0.00169913957142857,11001.0591281429,101951479.137143,186.833333333333,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.3,0,0.65,0,0,2309.67962632025,2309.67962632025,NA,2309.67962632025
"nosF3",7,0.0422,1,124.1,0.3,47,0.1387818955,0.011471747,0.0429502271666667,0.0018637385,8818.56753033333,56221917.3983333,196.8,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.25,0,0.7,0,0,1787.13187999289,1787.13187999289,NA,1787.13187999289
"nosF3",7,0.046,1,109.1,0.4,51.5,0.141623208625,0.011373350875,0.053922766875,0.00156392875,6761.926747375,36852906.379,97.4285714285714,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.35,0,0.6,0,0,1659.98392096232,1659.98392096232,NA,1659.98392096232
"nosF3",8,0.008,0,NA,1,72.25,0.01141152975,7.0235e-06,0.00235638525,5.4555e-07,33939.2890295,7574878.97535,NA,0,NA,0,NA,1,0.7214366,0,NA,1,0,0,0,0,0,0,0,1,7980.3387672,NA,7980.3387672,NA
"nosF3",8,0.0118,0,NA,1,88.6,0.0271277469,7.68295e-05,0.0053011073,5.83e-06,29964.585248,18992561.324,NA,0,NA,0,NA,1,0.8062265,0,NA,1,0,0,0,0,0,0,0,1,5679.06392715,NA,5679.06392715,NA
"nosF3",8,0.0156,0.05,133,0.95,80.1578947368421,0.0426119102105263,0.000335164578947368,0.008837943,2.83842105263158e-05,25827.7551636842,36018419.6373684,NA,0,NA,0,NA,0.95,0.793093578947368,0,NA,0.95,0,0,0,0,0,0.05,0,0.95,4228.54290910526,NA,4228.54290910526,NA
"nosF3",8,0.0194,0.3,231.166666666667,0.9,72,0.110167532666667,0.007354524,0.0395515942222222,0.00251743572222222,19427.6747842778,53899915.0133333,204.5,0,NA,0,NA,0.7,0.874417142857143,0,NA,0.7,0,0,0,0.2,0,0.1,0,0.7,3249.32852422079,2686.71965139364,3259.67227271429,2686.71965139364
"nosF3",8,0.0232,0.75,1422.06666666667,0.9,65.5555555555556,0.0880416814444445,0.00549743072222222,0.02625335,0.00121957211111111,17745.2522335,66418777.8922222,1671.75,0,NA,0,NA,0.25,0.9615396,0,NA,0.25,0,0,0.05,0.6,0,0.1,0,0.25,2471.04504722906,2436.81258999073,2514.2632552,2436.81258999073
"nosF3",8,0.027,0.95,479.526315789474,0.65,60.2307692307692,0.154893371615385,0.0155406902307692,0.0648011164615385,0.00445142453846154,12608.1482195385,61562316.7425385,629.25,0,NA,0,NA,0.05,0.779634,0,NA,0.05,0,0,0,0.6,0,0.35,0,0.05,2047.42421803635,1994.24389980268,2173.781859,1994.24389980268
"nosF3",8,0.0308,1,394.85,0.75,55.2666666666667,0.1474662004,0.0152275746666667,0.0521260360666667,0.0035085618,12435.8709138,68639670.65,456.214285714286,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.7,0,0.25,0,0,2284.04978620761,2284.04978620761,NA,2284.04978620761
"nosF3",8,0.0346,1,217.3,0.6,53.0833333333333,0.158385619583333,0.01157514575,0.0518141205833333,0.00234496125,11832.7164779167,88680052.063725,280.7,0,NA,0,NA,0,NA,0,NA,0,0,0,0.1,0.5,0,0.4,0,0,1944.6263698518,1944.6263698518,NA,1944.6263698518
"nosF3",8,0.0384,1,155.6,0.4,51.5,0.185127295125,0.012844338875,0.059424164625,0.002242988625,9460.394392,76481466.5528375,250.833333333333,0,NA,0,NA,0,NA,0,NA,0,0,0,0.1,0.3,0,0.6,0,0,2208.68450795615,2208.68450795615,NA,2208.68450795615
"nosF3",8,0.0422,1,98.45,0.25,49,0.1296781376,0.0192590918,0.033294093,0.0005394666,10634.1648122,63226026.67258,129.333333333333,0,NA,0,NA,0,NA,0,NA,0,0,0,0.1,0.15,0,0.75,0,0,1899.31045514175,1899.31045514175,NA,1899.31045514175
"nosF3",8,0.046,1,130.4,0.35,46.8571428571429,0.0860549425714286,0.005362438,0.0273021475714286,0.00057515,13087.3953957143,107741533.491429,167.142857142857,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.35,0,0.65,0,0,1762.15302397778,1762.15302397778,NA,1762.15302397778
"nosF3",9,0.008,0,NA,1,67.2,0.0110988171,6.883e-06,0.00217491105,4.8035e-07,34942.7246485,7149441.85245,NA,0,NA,0,NA,1,0.73684565,0,NA,1,0,0,0,0,0,0,0,1,8077.0550499,NA,8077.0550499,NA
"nosF3",9,0.0118,0,NA,1,92.65,0.0264022851,7.03943e-05,0.0048246204,4.4965e-06,31159.160853,19083239.5705,NA,0,NA,0,NA,1,0.8084202,0,NA,1,0,0,0,0,0,0,0,1,5748.5698228,NA,5748.5698228,NA
"nosF3",9,0.0156,0,NA,1,79.45,0.04157334075,0.0003244889,0.00815331715,2.699e-05,27044.198842,37020812.634,NA,0,NA,0,NA,1,0.81786815,0,NA,1,0,0,0,0,0,0,0,1,4307.92119565,NA,4307.92119565,NA
"nosF3",9,0.0194,0.3,839.5,0.95,72.5789473684211,0.0734450054736842,0.00441597847368421,0.0186042785263158,0.000556203105263158,21618.0286306842,48458067.8878947,889.4,0,NA,0,NA,0.7,0.864631857142857,0,NA,0.7,0,0,0,0.25,0,0.05,0,0.7,3236.60145339292,2993.54040927637,3260.89553914286,2993.54040927637
