"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"zpg2X",3,0.027,0,NA,1,59.65,0.0057885487,3.30937e-05,0.00322728735,1.33551e-05,17207.164976,5824019.0049,NA,0,NA,0,NA,1,0.61206135,0,NA,1,0,0,0,0,0,0,0,1,2954.64773055,NA,2954.64773055,NA
"zpg2X",3,0.0308,0,NA,1,57.25,0.0061953643,9.9136e-05,0.00358839975,4.080125e-05,16071.1741445,7036515.62375,NA,0,NA,0,NA,1,0.6153856,0,NA,1,0,0,0,0,0,0,0,1,2686.22165855,NA,2686.22165855,NA
"zpg2X",3,0.0346,0,NA,1,53.5,0.00593181865,5.293255e-05,0.00348018785,2.23855e-05,15225.5333485,7501798.5292,NA,0,NA,0,NA,1,0.62453035,0,NA,1,0,0,0,0,0,0,0,1,2485.1234356,NA,2485.1234356,NA
"zpg2X",3,0.0384,0.1,81.5,0.85,55,0.00621406047058824,0.000170831058823529,0.00381188558823529,7.99914117647059e-05,14491.8075982353,8041689.34323529,NA,0.05,81,0,NA,0.85,0.629191176470588,0,NA,0.85,0,0.05,0,0,0,0.1,0.05,0.85,2312.49770352941,NA,2312.49770352941,NA
"zpg2X",3,0.0422,0.25,94,0.85,53.8235294117647,0.0229422000588235,0.000692760411764706,0.0135754837647059,0.000319366411764706,11758.0568774647,7412716.42600529,51.5,0.05,80,0,NA,0.7,0.625492,0,NA,0.7,0.05,0,0,0.1,0.05,0.15,0,0.7,2172.2875261765,834.916705720388,2175.38357028571,834.916705720388
"zpg2X",3,0.046,0.2,126.25,0.9,50.3888888888889,0.0281184492222222,0.00287725277777778,0.0148628166111111,0.000822385,11373.9351493333,7966443.25094444,117,0.05,73,0,NA,0.75,0.635105266666667,0,NA,0.75,0.05,0,0,0.1,0.05,0.1,0,0.75,2046.04493172246,1045.61312351538,2050.955799,1045.61312351538
"zpg2X",4,0.008,0,NA,1,72.5,0.00184419425,4.691e-07,0.0007051105,3.8135e-08,32175.6746235,1900745.54135,NA,0,NA,0,NA,1,0.46267725,0,NA,1,0,0,0,0,0,0,0,1,8646.85638105,NA,8646.85638105,NA
"zpg2X",4,0.0118,0,NA,1,72.25,0.00263408945,1.28095e-06,0.001051509,1.5275e-07,29637.9571225,2448398.5551,NA,0,NA,0,NA,1,0.5530902,0,NA,1,0,0,0,0,0,0,0,1,6304.3322696,NA,6304.3322696,NA
"zpg2X",4,0.0156,0,NA,1,70.3,0.00298653265,2.5405e-06,0.0012511047,4.073e-07,27729.8317975,3353582.58995,NA,0,NA,0,NA,1,0.58448425,0,NA,1,0,0,0,0,0,0,0,1,5178.45771785,NA,5178.45771785,NA
"zpg2X",4,0.0194,0,NA,1,66.25,0.0031340317,4.593e-06,0.0013679564,9.7375e-07,26314.6620485,4045623.9332,NA,0,NA,0,NA,1,0.6115955,0,NA,1,0,0,0,0,0,0,0,1,4527.1866648,NA,4527.1866648,NA
