"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"nosF",3,0.0384,0.55,606.545454545455,0.75,63.8666666666667,0.0781365778666667,0.0117353461333333,0.0328933570666667,0.00328442446666667,10976.4169905333,50621150.6586,1141.4,0.05,95,0,NA,0.4,0.731366125,0,NA,0.4,0.05,0,0.05,0.25,0.05,0.25,0,0.4,3128.98679649211,3253.8216401598,3100.96475225,3253.8216401598
"nosF",3,0.0422,0.75,650.266666666667,0.6,65.5,0.07724214425,0.00398487533333333,0.0360392805833333,0.001197543,10381.6524051667,72446964.8475417,1206.14285714286,0.1,271.5,0,NA,0.15,0.813124,0,NA,0.15,0.1,0,0,0.35,0.1,0.4,0,0.15,3026.45923317656,3105.3626966731,2953.16690333333,2987.07018806905
"nosF",3,0.046,0.85,289.176470588235,0.45,60.1111111111111,0.0697156723333333,0.00545923955555556,0.0289468245555556,0.000937112444444444,12011.6670183444,145805413.125811,694.6,0,NA,0,NA,0.15,0.768927333333333,0,NA,0.15,0,0,0.05,0.25,0,0.55,0,0.15,3272.98422342093,3511.80559984797,3185.98751266667,3511.80559984797
"nosF",4,0.008,0,NA,1,68.9,0.0041458279,1.2269e-06,0.00098454045,7.441e-08,35834.004209,3945776.6409,NA,0,NA,0,NA,1,0.64149535,0,NA,1,0,0,0,0,0,0,0,1,10808.7659395,NA,10808.7659395,NA
"nosF",4,0.0118,0,NA,1,93,0.00853747765,5.976e-06,0.00196891875,3.8975e-07,32448.2847795,6320229.11715,NA,0,NA,0,NA,1,0.72335915,0,NA,1,0,0,0,0,0,0,0,1,8098.83555105,NA,8098.83555105,NA
"nosF",4,0.0156,0,NA,1,94.05,0.01250575225,1.7365e-05,0.00296772905,1.15995e-06,29188.1876795,10388636.1103,NA,0,NA,0,NA,1,0.77992005,0,NA,1,0,0,0,0,0,0,0,1,6503.8136515,NA,6503.8136515,NA
"nosF",4,0.0194,0,NA,1,85.5,0.01572640595,4.2205e-05,0.00395532585,3.4665e-06,26295.996087,16460346.5025,NA,0,NA,0,NA,1,0.7936477,0,NA,1,0,0,0,0,0,0,0,1,5444.4285401,NA,5444.4285401,NA
"nosF",4,0.0232,0,NA,1,81.05,0.01866423955,8.14374e-05,0.00498438735,7.939e-06,23907.331219,23144867.915,NA,0,NA,0,NA,1,0.81592625,0,NA,1,0,0,0,0,0,0,0,1,4724.22403,NA,4724.22403,NA
"nosF",4,0.027,0,NA,1,76.1,0.02035664065,0.0001243538,0.00588710585,1.71125e-05,21785.115458,29722994.6395,NA,0,NA,0,NA,1,0.8246853,0,NA,1,0,0,0,0,0,0,0,1,4128.77768575,NA,4128.77768575,NA
"nosF",4,0.0308,0,NA,1,70.85,0.02884454465,0.0006156502,0.01024469595,0.0001354886,19195.4072967,35889362.3618,NA,0.05,108,0,NA,0.95,0.850767947368421,0,NA,0.95,0.05,0,0,0,0.05,0,0,0.95,3716.93504363158,NA,3716.93504363158,NA
"nosF",4,0.0346,0.15,111.333333333333,0.85,68.3529411764706,0.0234021527058824,0.000277413058823529,0.00776159417647059,4.39504117647059e-05,18651.07751,44415942.4376471,NA,0,NA,0,NA,0.85,0.846142176470588,0,NA,0.85,0,0,0,0,0,0.15,0,0.85,3412.476274,NA,3412.476274,NA
"nosF",4,0.0384,0.1,106,0.95,63.6315789473684,0.0391681102631579,0.00158902163157895,0.0157842564736842,0.000534977368421053,15841.5275546316,45248131.5716842,32,0.05,97,0,NA,0.85,0.839552411764706,0,NA,0.85,0.05,0,0,0.05,0.05,0.05,0,0.85,3117.44945873837,5123.58868093846,3115.03582364706,3669.428571
"nosF",4,0.0422,0.2,94.75,0.8,62.5625,0.0417782445625,0.0060687028125,0.013875911375,0.0007962608125,15343.6166058125,53625471.3675,NA,0.05,108,0,NA,0.75,0.8834614,0,NA,0.75,0.05,0,0,0,0.05,0.2,0,0.75,2870.06383425417,4488.426471,2868.6040148,NA
"nosF",4,0.046,0.5,526.9,0.6,56.6666666666667,0.02527259,0.00062995825,0.00995292933333333,0.000130700166666667,15331.1667425,66015438.5116667,2197,0,NA,0,NA,0.5,0.8305608,0,NA,0.5,0,0,0,0.1,0,0.4,0,0.5,2741.74430420551,2543.59324428903,2769.1412758,2543.59324428903
"nosF",5,0.008,0,NA,0.95,75.1052631578947,0.00393819915789474,1.24163157894737e-06,0.000810328526315789,5.72631578947368e-08,38179.659781579,3297069.639,NA,0,NA,0,NA,0.95,0.657498736842105,0,NA,0.95,0,0,0,0,0,0,0,0.95,10998.3285489474,NA,10998.3285489474,NA
"nosF",5,0.0118,0,NA,1,88.5,0.00767746385,5.2625e-06,0.00152962695,2.714e-07,35459.364768,5769190.818,NA,0,NA,0,NA,1,0.7490391,0,NA,1,0,0,0,0,0,0,0,1,8318.08350855,NA,8318.08350855,NA
"nosF",5,0.0156,0,NA,1,96.35,0.010976658,1.4515e-05,0.00224872275,7.3425e-07,32337.7337145,8793319.9052,NA,0,NA,0,NA,1,0.78284965,0,NA,1,0,0,0,0,0,0,0,1,6648.97211585,NA,6648.97211585,NA
"nosF",5,0.0194,0,NA,1,85.9,0.0135094931,3.1545e-05,0.002935432,1.7608e-06,29514.782581,13110751.8575,NA,0,NA,0,NA,1,0.8340905,0,NA,1,0,0,0,0,0,0,0,1,5555.38335945,NA,5555.38335945,NA
"nosF",5,0.0232,0,NA,1,80.05,0.01538663415,5.1275e-05,0.0035328601,3.142e-06,27160.847803,18150177.3745,NA,0,NA,0,NA,1,0.83505705,0,NA,1,0,0,0,0,0,0,0,1,4798.675175,NA,4798.675175,NA
"nosF",5,0.027,0,NA,1,74.45,0.01689674185,7.94776e-05,0.00420024705,7.0335e-06,24940.6495285,22571252.7505,NA,0,NA,0,NA,1,0.85159915,0,NA,1,0,0,0,0,0,0,0,1,4190.907051,NA,4190.907051,NA
"nosF",5,0.0308,0,NA,1,71.55,0.0185699113,0.0001723131,0.0049856483,2.27145e-05,23144.862323,31393005.142,NA,0,NA,0,NA,1,0.86293445,0,NA,1,0,0,0,0,0,0,0,1,3781.93940375,NA,3781.93940375,NA
"nosF",5,0.0346,0,NA,1,65.4,0.0195982201,0.0002598101,0.0056987499,4.703025e-05,21555.2017425,36665275.796,NA,0,NA,0,NA,1,0.86670625,0,NA,1,0,0,0,0,0,0,0,1,3433.848234,NA,3433.848234,NA
"nosF",5,0.0384,0.2,101.5,0.85,64.0588235294118,0.0278134884705882,0.000367211882352941,0.00889186923529412,7.44708823529412e-05,19295.3952472353,37380311.9011176,37,0,NA,0,NA,0.8,0.878844875,0,NA,0.8,0,0,0,0.05,0,0.15,0,0.8,3146.69302488755,4173.615385,3145.9457756875,4173.615385
"nosF",5,0.0422,0.25,97.6,0.75,60.8,0.0202024227333333,0.000322552,0.00639730913333333,5.05798e-05,19140.9787446667,46654350.956,NA,0,NA,0,NA,0.75,0.8705502,0,NA,0.75,0,0,0,0,0,0.25,0,0.75,2918.49099033333,NA,2918.49099033333,NA
"nosF",5,0.046,0.45,302.222222222222,0.7,59.5714285714286,0.0453094463571429,0.00467112785714286,0.0196438975,0.0034191015,15968.7715654286,49800678.2090714,960,0,NA,0,NA,0.55,0.888091454545455,0,NA,0.55,0,0,0.05,0.1,0,0.3,0,0.55,2743.63776049599,2544.89007720885,2754.55358954545,2544.89007720885
"nosF",6,0.008,0,NA,1,80.3,0.00382758885,1.2585e-06,0.00069967385,4.5185e-08,39871.1150435,2844145.96635,NA,0,NA,0,NA,1,0.6787388,0,NA,1,0,0,0,0,0,0,0,1,11111.505703,NA,11111.505703,NA
"nosF",6,0.0118,0,NA,1,92.85,0.00713453685,4.886e-06,0.001260404,1.9005e-07,37662.922349,5267955.65135,NA,0,NA,0,NA,1,0.76460295,0,NA,1,0,0,0,0,0,0,0,1,8442.99099125,NA,8442.99099125,NA
"nosF",6,0.0156,0,NA,1,92.5,0.0098481518,1.21835e-05,0.00178420135,5.0105e-07,34875.2501165,7511861.71655,NA,0,NA,0,NA,1,0.8124295,0,NA,1,0,0,0,0,0,0,0,1,6776.14704195,NA,6776.14704195,NA
"nosF",6,0.0194,0,NA,1,84.85,0.01197411055,2.627e-05,0.0023111185,1.3677e-06,32178.867646,12196203.091,NA,0,NA,0,NA,1,0.8240755,0,NA,1,0,0,0,0,0,0,0,1,5671.61131515,NA,5671.61131515,NA
"nosF",6,0.0232,0,NA,1,80.7,0.0137548404,4.636e-05,0.00282191215,2.749e-06,29708.343245,16290428.752,NA,0,NA,0,NA,1,0.85605945,0,NA,1,0,0,0,0,0,0,0,1,4873.09003105,NA,4873.09003105,NA
"nosF",6,0.027,0,NA,1,76.4,0.01508142225,8.32e-05,0.0033016337,7.082e-06,27730.588877,21897827.182,NA,0,NA,0,NA,1,0.86864175,0,NA,1,0,0,0,0,0,0,0,1,4309.2163505,NA,4309.2163505,NA
"nosF",6,0.0308,0,NA,1,69.3,0.01578382105,0.00010211305,0.0037021725,9.076e-06,25863.712379,24867317.8355,NA,0,NA,0,NA,1,0.88309015,0,NA,1,0,0,0,0,0,0,0,1,3843.3014648,NA,3843.3014648,NA
"nosF",6,0.0346,0,NA,1,68.8,0.01651078605,0.0001290739,0.00410164175,1.53885e-05,24259.2067755,28620661.1315,NA,0,NA,0,NA,1,0.88625765,0,NA,1,0,0,0,0,0,0,0,1,3474.4950582,NA,3474.4950582,NA
"nosF",6,0.0384,0.3,105.833333333333,0.85,65.4117647058823,0.0423494558235294,0.00185027811764706,0.0140694739411765,0.000315276882352941,19630.3019048235,31800001.4638235,35.5,0,NA,0,NA,0.7,0.906464428571429,0,NA,0.7,0,0,0.05,0.1,0,0.15,0,0.7,3188.69247088674,4302.83438661972,3186.91453157143,4302.83438661972
"nosF",6,0.0422,0.25,103.4,0.75,61.2666666666667,0.0176960984666667,0.000172047733333333,0.0048906466,2.23453333333333e-05,21630.9174786667,40961441.616,NA,0,NA,0,NA,0.75,0.898901133333333,0,NA,0.75,0,0,0,0,0,0.25,0,0.75,2971.09673013333,NA,2971.09673013333,NA
"nosF",6,0.046,0.4,98.25,0.65,58,0.0235755871538462,0.000510878615384615,0.00748560338461538,7.99366153846154e-05,19545.4326385385,46299519.4030769,66,0,NA,0,NA,0.6,0.9238885,0,NA,0.6,0,0,0,0.05,0,0.35,0,0.6,2763.23061086791,4845.778846,2759.6264525,4845.778846
"nosF",7,0.008,0,NA,1,80.3,0.0037179404,1.29125e-06,0.00061768925,3.8485e-08,41274.673568,2577311.85905,NA,0,NA,0,NA,1,0.69251635,0,NA,1,0,0,0,0,0,0,0,1,11214.842479,NA,11214.842479,NA
"nosF",7,0.0118,0,NA,1,84.5,0.00688134735,4.927e-06,0.00109765035,1.614e-07,39353.992145,4932160.5849,NA,0,NA,0,NA,1,0.76355305,0,NA,1,0,0,0,0,0,0,0,1,8545.0396072,NA,8545.0396072,NA
