Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
69,0.000716541,143
70,0.000704041,140
71,0.000614883,123
72,0.000673928,135
73,0.000723546,145
74,0.000646641,128
75,0.000744639,148
76,0.000815425,164
77,0.000845093,169
78,0.000763136,152
79,0.000625889,125
80,0.00055273,110
81,0.000536217,107
82,0.000520276,104
83,0.000493519,98
84,0.000497537,100
85,0.00040984,82
86,0.000391861,78
87,0.00036572,73
88,0.000300737,60
89,0.000265779,53
90,0.000214485,43
91,0.000180723,36
92,0.000151454,30
93,0.000145183,29
94,0.000135803,27
95,0.000159334,32
96,0.000144692,29
97,0.000109592,22
98,0.00012513,25
99,0.000115442,23
100,0.000130219,26
NAN,NAN,NAN
1,0.317924,67143
2,0.305693,50514
3,0.29696,41433
4,0.285017,37079
5,0.271946,34337
6,0.25734,32922
7,0.237879,30723
8,0.218456,29246
9,0.196721,26850
10,0.174531,24560
11,0.153082,22358
12,0.129733,19386
13,0.109004,17002
14,0.0903591,14681
15,0.0737872,12299
16,0.0599944,10275
17,0.0502104,8781
18,0.0413765,7498
19,0.0352429,6521
20,0.0291336,5422
21,0.0249072,4645
22,0.0215475,4106
23,0.0186264,3567
24,0.0164041,3147
25,0.0140161,2697
26,0.0120628,2345
27,0.0105323,2058
28,0.00915636,1778
29,0.00829352,1618
30,0.00742869,1461
31,0.00642212,1263
32,0.0055471,1086
33,0.00508353,1006
34,0.0045041,895
35,0.00378753,746
36,0.00338547,668
37,0.00298495,594
38,0.00284309,564
39,0.00249942,498
40,0.00231798,457
41,0.00221375,440
42,0.00207748,417
43,0.00185077,369
44,0.0016621,329
45,0.00150781,300
46,0.00123543,247
47,0.0012905,259
48,0.00119872,241
49,0.00109391,219
50,0.000921608,183
51,0.000818536,163
52,0.000687392,137
53,0.000724417,143
54,0.000626278,125
55,0.000614036,123
56,0.000622034,124
57,0.000473428,94
58,0.000570742,114
59,0.000713023,142
60,0.000628969,125
61,0.000538358,108
62,0.000621025,125
63,0.000576799,116
64,0.000591775,119
65,0.000461815,92
66,0.000361228,72
67,0.000296903,59
68,0.000286354,57
69,0.000315268,63
70,0.000361711,72
71,0.000399656,80
72,0.000334285,67
73,0.00028538,57
74,0.000324141,65
