CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,0,0,0,0
0.03,0,0,0,0
0.05,0,0,0,0
0.07,0,0,0,0
0.09,0,0,0,0
0.11,0,0,0,0
0.13,0,0,0,0
0.15,0,0,1,1
0.17,0,0,0,0
0.19,0,0,4,4
0.21,0,0,7,7
0.23,0,0,12,12
0.25,0,0,15,15
0.27,0,0,17,17
0.29,6,0,23,29
0.31,12,0,47,59
0.33,20,1,55,76
0.35,38,4,105,147
0.37,74,7,125,206
0.39,88,13,125,226
0.41,118,34,141,293
0.43,166,46,131,343
0.45,194,73,147,414
0.47,231,130,163,524
0.49,267,205,175,647
0.51,306,304,147,757
0.53,337,363,128,828
0.55,344,450,109,903
0.57,416,604,84,1104
0.59,368,662,77,1107
0.61,378,788,58,1224
0.63,353,889,35,1277
0.65,337,1073,23,1433
0.67,300,1170,25,1495
0.69,223,1287,19,1529
0.71,221,1392,11,1624
0.73,193,1497,11,1701
0.75,172,1522,8,1702
0.77,145,1661,11,1817
0.79,134,1756,3,1893
0.81,124,1802,1,1927
0.83,126,1838,2,1966
0.85,79,1787,2,1868
0.87,63,1845,0,1908
0.89,56,1886,0,1942
0.91,48,1973,0,2021
0.93,50,2061,0,2111
0.95,46,2061,0,2107
0.97,35,1809,1,1845
0.99,32,1511,0,1543
