DRIVE_EFFICIENCY,AVERAGE
0.01,44.9808
0.015,29.233
0.02,21.8168
0.025,17.199
0.03,14.5005
0.035,12.3333
0.04,10.8877
0.045,9.759
0.05,8.9058
0.055,8.2218
0.06,7.6485
