DRIVE_EFFICIENCY,AVERAGE
0.01,78.1263
0.015,46.6809
0.02,34.5325
0.025,27.4518
0.03,22.6625
0.035,19.7725
0.04,17.3843
0.045,15.576
0.05,13.946
0.055,12.912
0.06,11.8468
