DRIVE_EFFICIENCY,AVERAGE
0.01,114.0367
0.015,76.0636
0.02,57.038
0.025,45.5406
0.03,37.8573
0.035,32.2804
0.04,28.5522
0.045,25.1629
0.05,22.7842
0.055,20.6094
0.06,18.8938
