DRIVE_EFFICIENCY,AVERAGE
0.01,57.856
0.015,37.8061
0.02,27.9415
0.025,22.3547
0.03,18.752
0.035,16.2557
0.04,14.2922
0.045,12.9239
0.05,11.763
0.055,10.8899
0.06,10.1316
