DRIVE_EFFICIENCY,AVERAGE
0.01,189.2149
0.015,125.6061
0.02,93.6688
0.025,75.3128
0.03,62.7723
0.035,53.8635
0.04,46.9094
0.045,41.6344
0.05,37.6242
0.055,34.3284
0.06,31.4582
