DRIVE_EFFICIENCY,AVERAGE
0.01,253.5874
0.015,163.5461
0.02,121.4158
0.025,96.6811
0.03,77.9722
0.035,68.0742
0.04,57.2646
0.045,49.913
0.05,43.0114
0.055,38.5474
0.06,33.375
