DRIVE_EFFICIENCY,AVERAGE
0.01,44.8423
0.015,29.4991
0.02,21.9496
0.025,17.6242
0.03,14.6692
0.035,12.6847
0.04,11.2062
0.045,10.0367
0.05,9.0725
0.055,8.4147
0.06,7.7572
