Number,MIGRATION,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
191,0.03,7,0.364113,8,0.530335,7.817503098,21,0.408034,22,0.595264,21.49119265,14,13.67368955
192,0.03,7,0.425478,8,0.602398,7.42121863,22,0.452724,23,0.603553,22.31344105,15,14.89222242
193,0.03,7,0.3999,8,0.562247,7.616580534,21,0.437808,22,0.627291,21.32821942,14,13.71163888
194,0.03,7,0.408543,8,0.562441,7.594270231,22,0.479045,23,0.63668,22.13293368,15,14.53866344
195,0.03,7,0.412826,8,0.586576,7.501720863,21,0.346341,22,0.527027,21.85042007,14,14.3486992
196,0.03,7,0.354545,8,0.519841,7.879966847,22,0.365554,23,0.554446,22.71176122,15,14.83179437
197,0.03,7,0.407206,8,0.59408,7.496559179,21,0.466871,22,0.637807,21.19380938,14,13.6972502
198,0.03,8,0.491837,9,0.666987,8.046605766,22,0.367136,23,0.567243,22.66396478,14,14.61735901
199,0.03,7,0.380841,8,0.578842,7.601810092,22,0.441,23,0.622745,22.32463066,15,14.72282057
0,0.035,7,0.454774,8,0.647461,7.234712254,19,0.448071,20,0.637722,19.27381348,12,12.03910122
1,0.035,7,0.48418,8,0.679533,7.080981608,20,0.457447,21,0.654154,20.21632682,13,13.13534521
2,0.035,6,0.331075,7,0.50102,6.993998058,18,0.357798,19,0.531722,18.81760999,12,11.82361193
3,0.035,7,0.489524,8,0.659427,7.061658711,19,0.44333,20,0.643066,19.28372452,12,12.22206581
4,0.035,7,0.450935,8,0.620959,7.288576907,20,0.345391,21,0.518448,20.89339928,13,13.60482238
5,0.035,6,0.386063,7,0.571429,6.614659646,18,0.342918,19,0.530612,18.83690475,12,12.2222451
6,0.035,6,0.322772,7,0.53932,6.818423629,19,0.439528,20,0.647739,19.29043614,13,12.47201252
7,0.035,7,0.438693,8,0.604863,7.368941446,19,0.431275,20,0.641643,19.32668942,12,11.95774797
8,0.035,7,0.383792,8,0.546956,7.71221593,20,0.402685,21,0.595863,20.50375819,13,12.79154226
9,0.035,7,0.470789,8,0.617761,7.198752143,20,0.446237,21,0.64293,20.27333459,13,13.07458244
10,0.035,7,0.481992,8,0.698801,7.083059283,20,0.493865,21,0.675124,20.0338466,13,12.95078731
