Number,Migration,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
17,0.01,16,0.446623,17,0.61809,16.31129605,58,0.422434,59,0.55314,58.59343871,42,42.28214266
18,0.01,20,0.481481,21,0.596774,20.16062554,65,0.492212,66,0.510823,65.4184622,45,45.25783666
19,0.01,20,0.478697,21,0.504132,20.83754669,67,0.398126,68,0.51773,67.85176081,47,47.01421412
0,0.01,18,0.31307,19,0.551069,18.78542347,65,0.47486,66,0.537791,65.39948515,47,46.61406168
1,0.01,18,0.457143,19,0.552727,18.44837002,62,0.454039,63,0.556787,62.44731771,44,43.99894769
2,0.01,16,0.384615,17,0.579681,16.59151774,61,0.467933,62,0.528736,61.52739174,45,44.935874
3,0.01,17,0.378556,18,0.506787,17.94707208,66,0.46472,67,0.532468,66.52075338,49,48.5736813
4,0.01,17,0.460208,18,0.653061,17.20633332,57,0.361842,58,0.50348,57.97543032,40,40.769097
5,0.01,13,0.421875,14,0.57016,13.52685707,59,0.452632,60,0.518732,59.7166112,46,46.18975413
6,0.01,17,0.40201,18,0.534884,17.73746557,60,0.439759,61,0.527907,60.68340745,43,42.94594188
7,0.01,16,0.388889,17,0.54102,16.73036396,57,0.47093,58,0.605678,57.21573604,41,40.48537208
8,0.01,18,0.462687,19,0.563636,18.36962228,67,0.460227,68,0.503731,67.91423777,49,49.54461549
9,0.01,19,0.487535,20,0.60815,19.10334536,67,0.439614,68,0.591006,67.3988718,48,48.29552645
10,0.01,20,0.445355,21,0.502778,20.95162217,62,0.422886,63,0.564738,62.54362293,42,41.59200076
11,0.01,20,0.439589,21,0.535135,20.63227137,64,0.465116,65,0.607792,64.24449802,44,43.61222666
12,0.01,21,0.462963,22,0.656442,21.19142646,66,0.417778,67,0.521459,66.79302862,45,45.60160216
13,0.01,15,0.487472,16,0.564384,15.16288746,55,0.424942,56,0.541922,55.64163105,40,40.47874359
14,0.01,19,0.474074,20,0.5,20,65,0.471154,66,0.579196,65.26698876,46,45.26698876
15,0.01,19,0.460274,20,0.568245,19.36793213,62,0.460137,63,0.521452,62.65013455,43,43.28220242
16,0.01,19,0.407809,20,0.504155,19.95687418,65,0.400932,66,0.528256,65.77807797,46,45.82120379
17,0.01,18,0.479751,19,0.621711,18.14263877,55,0.361377,56,0.52952,55.82443515,37,37.68179638
18,0.01,19,0.465347,20,0.570064,19.33092048,58,0.388626,59,0.528169,58.79813391,39,39.46721343
19,0.01,13,0.409524,14,0.50547,13.94298876,55,0.378151,56,0.506692,55.94793879,42,42.00495003
0,0.01,16,0.429825,17,0.568123,16.50741876,63,0.366748,64,0.517615,63.88324153,47,47.37582277
1,0.01,18,0.477733,19,0.568063,18.24650725,64,0.461702,65,0.555556,64.40805933,46,46.16155207
2,0.01,19,0.465596,20,0.539171,19.46760449,65,0.360465,66,0.513064,65.91439,46,46.44678552
3,0.01,20,0.475645,21,0.5,21,63,0.448347,64,0.54386,63.54079549,43,42.54079549
4,0.01,18,0.481283,19,0.582245,18.18538658,60,0.457071,61,0.57672,60.35879113,42,42.17340455
5,0.01,18,0.473485,19,0.551813,18.33851241,64,0.450602,65,0.5,65,46,46.66148759
6,0.01,18,0.473214,19,0.69146,18.12273306,61,0.333333,62,0.50655,61.96218616,43,43.8394531
7,0.01,20,0.480519,21,0.528249,20.40815001,62,0.4,63,0.558696,62.63013561,42,42.22198559
8,0.01,14,0.447761,15,0.575406,14.40925222,62,0.408719,63,0.53303,62.73429544,48,48.32504321
9,0.01,17,0.450207,18,0.507692,17.86619118,70,0.422164,71,0.577982,70.4995315,53,52.63334032
10,0.01,14,0.475059,15,0.631702,14.15922193,62,0.492537,63,0.50641,62.53795142,48,48.37872949
11,0.01,13,0.387097,14,0.528868,13.79637585,59,0.437318,60,0.552189,59.54567297,46,45.74929713
12,0.01,21,0.470395,22,0.611765,21.20941501,59,0.496842,60,0.559113,59.05071382,38,37.84129881
13,0.01,16,0.412104,17,0.526961,16.76526463,58,0.477169,59,0.618026,58.16208637,42,41.39682174
14,0.01,21,0.460714,22,0.577844,21.33540511,63,0.44898,64,0.52987,63.63073309,42,42.29532799
15,0.01,18,0.455446,19,0.532637,18.57719164,61,0.355392,62,0.542986,61.77085621,43,43.19366457
16,0.01,17,0.414122,18,0.506203,17.9326354,63,0.421995,64,0.531165,63.7145278,46,45.7818924
17,0.01,15,0.441121,16,0.52349,15.7148199,64,0.488491,65,0.650873,64.07087608,49,48.35605619
18,0.01,18,0.478149,19,0.60355,18.17424901,64,0.426997,65,0.575342,64.49211635,46,46.31786734
19,0.01,20,0.467422,21,0.608187,20.23143537,64,0.426997,65,0.53222,64.69379318,44,44.46235781
0,0.01,18,0.412371,19,0.508721,18.90948625,62,0.405702,63,0.540416,62.69998664,44,43.79050039
1,0.01,16,0.470226,17,0.537961,16.43956596,63,0.452747,64,0.544794,63.51335731,47,47.07379135
2,0.01,18,0.444767,19,0.549451,18.52761645,63,0.429467,64,0.618902,63.37233352,45,44.84471707
3,0.01,21,0.487889,22,0.615625,21.09481274,63,0.407266,64,0.502155,63.97728925,42,42.88247651
4,0.01,15,0.409326,16,0.528536,15.76062411,62,0.433234,63,0.548077,62.58136761,47,46.8207435
5,0.01,17,0.434783,18,0.537459,17.63517278,62,0.421801,63,0.516035,62.82983849,45,45.19466571
6,0.01,17,0.454545,18,0.60452,17.30308385,60,0.487859,61,0.619289,60.09237617,43,42.78929232
7,0.01,16,0.463235,17,0.600515,16.26781031,58,0.379098,59,0.5,59,42,42.73218969
8,0.01,19,0.407273,20,0.537037,19.71458186,63,0.431373,64,0.517986,63.79234064,44,44.07775879
9,0.01,13,0.468813,14,0.591647,13.2538955,52,0.443737,53,0.551724,52.52101642,39,39.26712092
10,0.01,16,0.436137,17,0.607527,16.37261801,60,0.469136,61,0.548961,60.38664579,44,44.01402778
11,0.01,19,0.456938,20,0.579412,19.35160116,62,0.497006,63,0.602679,62.02833269,43,42.67673153
12,0.01,17,0.452381,18,0.588362,17.35018863,65,0.459799,66,0.537879,65.51486936,48,48.16468074
13,0.01,18,0.498534,19,0.578788,18.018267,62,0.496528,63,0.621094,62.02787277,44,44.00960577
14,0.01,21,0.440171,22,0.619048,21.33447005,63,0.476364,64,0.563758,63.27045335,42,41.93598329
15,0.01,14,0.432271,15,0.52506,14.72992488,63,0.484536,64,0.584302,63.15500271,49,48.42507782
16,0.01,17,0.472946,18,0.642132,17.15990685,60,0.408247,61,0.560575,60.60233838,43,43.44243153
17,0.01,16,0.459184,17,0.58371,16.32777091,60,0.376682,61,0.515152,60.89057558,44,44.56280467
18,0.01,17,0.47185,18,0.519878,17.58611643,68,0.472973,69,0.624161,68.17876419,51,50.59264776
19,0.01,15,0.418182,16,0.531414,15.72256959,61,0.471287,62,0.527446,61.51128047,46,45.78871088
0,0.01,19,0.468822,20,0.516129,19.6590568,67,0.461207,68,0.525568,67.60274079,48,47.94368399
1,0.01,16,0.388636,17,0.573427,16.6026484,63,0.418605,64,0.557471,63.5861406,47,46.9834922
2,0.01,14,0.392936,15,0.501193,14.98897993,56,0.431507,57,0.544419,56.60660514,42,41.61762522
3,0.01,20,0.485014,21,0.596491,20.13443132,62,0.359729,63,0.522523,62.86164724,42,42.72721592
4,0.01,20,0.468023,21,0.596923,20.24807603,63,0.390887,64,0.513253,63.89169377,43,43.64361774
5,0.01,18,0.47561,19,0.560847,18.28614334,65,0.315909,66,0.504,65.9787337,47,47.69259036
6,0.01,15,0.414894,16,0.504043,15.95464896,66,0.474453,67,0.569801,66.2679343,51,50.31328535
7,0.01,19,0.433071,20,0.575904,19.46858219,64,0.4573,65,0.561453,64.40997379,45,44.9413916
8,0.01,15,0.467593,16,0.53866,15.4560063,61,0.483582,62,0.635945,61.10775582,46,45.65174952
9,0.01,15,0.396186,16,0.582589,15.5569331,60,0.490196,61,0.512821,60.43332597,45,44.87639287
10,0.01,18,0.44523,19,0.509506,18.85210654,65,0.449024,66,0.622449,65.29393686,47,46.44183032
11,0.01,19,0.454545,20,0.528846,19.61176835,63,0.458689,64,0.595745,63.30141694,44,43.68964859
12,0.01,18,0.467018,19,0.538206,18.46330842,66,0.492308,67,0.529563,66.20646893,48,47.74316051
13,0.01,15,0.472393,16,0.574713,15.2698104,60,0.478754,61,0.590588,60.189978,45,44.9201676
14,0.01,17,0.494872,18,0.538182,17.11840222,66,0.466993,67,0.502841,66.92074872,49,49.8023465
15,0.01,18,0.349576,19,0.501124,18.99258321,63,0.430993,64,0.503817,63.94758596,45,44.95500275
16,0.01,19,0.471939,20,0.553314,19.34483564,64,0.491484,65,0.501285,64.86889093,45,45.52405529
17,0.01,14,0.407229,15,0.527059,14.77418843,57,0.493243,58,0.607735,57.05901722,43,42.28482879
18,0.01,18,0.481481,19,0.502841,18.86699438,63,0.465517,64,0.549575,63.41022865,45,44.54323427
19,0.01,17,0.460976,18,0.539043,17.49987831,59,0.444099,60,0.598746,59.36147484,42,41.86159653
0,0.01,20,0.454082,21,0.620779,20.27545787,65,0.376712,66,0.519451,65.8637303,45,45.58827244
1,0.01,17,0.457831,18,0.57284,17.36665826,64,0.494624,65,0.526749,64.1673463,47,46.80068804
2,0.01,17,0.415704,18,0.507837,17.91493819,56,0.321759,57,0.529716,56.85710507,39,38.94216689
