Number,MIGRATION,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
68,0.04,6,0.8,7,0.660501,6,19,0.824597,20,0.739896,19.29039799,13,13.29039799
69,0.04,5,0.832444,6,0.734031,5.329671893,20,0.816406,21,0.718872,20.16820801,15,14.83853612
70,0.04,5,0.839632,6,0.772455,5.589963827,20,0.84375,21,0.789419,20.80524931,15,15.21528548
71,0.04,5,0.864424,6,0.78342,5.79531875,21,0.82652,22,0.713243,21.23411637,16,15.43879762
72,0.04,5,0.85119,6,0.780992,5.729223055,20,0.815818,21,0.755556,20.26248714,15,14.53326408
73,0.04,5,0.865125,6,0.787321,5.837039227,20,0.811224,21,0.726096,20.13184851,15,14.29480928
74,0.04,5,0.837163,6,0.739583,5.380846485,21,0.809926,22,0.717895,21.10785496,16,15.72700848
75,0.04,5,0.806154,6,0.69254,5.05416586,18,0.860996,19,0.783085,18.7828933,13,13.72872744
76,0.04,5,0.865404,6,0.789528,5.861985345,18,0.820952,19,0.762195,18.3565873,13,12.49460196
77,0.04,6,0.814556,7,0.727083,6.166405634,19,0.845287,20,0.767258,19.58038678,13,13.41398115
78,0.04,5,0.833002,6,0.764449,5.481408545,19,0.893617,20,0.789802,19.90176757,14,14.42035902
79,0.04,5,0.864677,6,0.771037,5.690698419,20,0.81466,21,0.724742,20.16303743,15,14.47233901
80,0.04,5,0.827968,6,0.737755,5.310021837,19,0.818905,20,0.703704,19.16410448,14,13.85408264
81,0.04,5,0.857811,6,0.786221,5.807528984,19,0.863854,20,0.770508,19.68405716,14,13.87652818
82,0.04,5,0.845251,6,0.736209,5.414986886,19,0.866801,20,0.790927,19.88042017,14,14.46543328
83,0.04,6,0.81854,7,0.709212,6.169581443,20,0.836127,21,0.778926,20.63157987,14,14.46199842
84,0.04,5,0.852395,6,0.771704,5.649328921,20,0.827821,21,0.764894,20.44211547,15,14.79278655
85,0.04,5,0.820022,6,0.753715,5.301959069,19,0.839844,20,0.766562,19.54370787,14,14.2417488
86,0.04,5,0.836049,6,0.728713,5.335851904,19,0.820803,20,0.762201,19.35498788,14,14.01913598
87,0.04,5,0.851149,6,0.74973,5.504333508,19,0.840371,20,0.773469,19.60343487,14,14.09910137
88,0.04,5,0.837656,6,0.753968,5.449956983,19,0.848997,20,0.746773,19.47931014,14,14.02935316
89,0.04,5,0.852705,6,0.773138,5.662397728,19,0.836988,20,0.763029,19.50011493,14,13.8377172
90,0.04,6,0.817269,7,0.729885,6.19762199,21,0.874387,22,0.785788,21.83959187,15,15.64196988
91,0.04,5,0.878233,6,0.799029,5.987740518,19,0.869757,20,0.797024,19.95908322,14,13.9713427
92,0.04,5,0.826347,6,0.747826,5.335540811,20,0.861629,21,0.791314,20.87647017,15,15.54092936
93,0.04,5,0.856464,6,0.788762,5.834007858,21,0.839594,22,0.749242,21.43821941,16,15.60421155
94,0.04,5,0.84016,6,0.768332,5.559113438,18,0.837281,19,0.745875,18.40786163,13,12.84874819
95,0.04,5,0.813745,6,0.722114,5.15000382,20,0.86,21,0.787056,20.8225488,15,15.67254498
96,0.04,5,0.830303,6,0.76324,5.4518587,19,0.829079,20,0.738683,19.32168459,14,13.86982589
97,0.04,5,0.843629,6,0.780463,5.69070386,19,0.842827,20,0.787084,19.76829378,14,14.07758992
98,0.04,5,0.857284,6,0.783,5.771148565,21,0.822244,22,0.735409,21.25616399,16,15.48501542
99,0.04,5,0.860356,6,0.782431,5.774539621,19,0.841346,20,0.756646,19.4881464,14,13.71360678
100,0.04,5,0.851248,6,0.775571,5.677193863,19,0.874876,20,0.777559,19.76940308,14,14.09220922
101,0.04,6,0.806608,7,0.73247,6.08913108,20,0.825332,21,0.748401,20.32928208,14,14.240151
102,0.04,5,0.811024,6,0.729622,5.135426648,20,0.800793,21,0.70594,20.0083603,15,14.87293366
103,0.04,6,0.817035,7,0.740506,6.222595356,19,0.853659,20,0.783397,19.76369873,13,13.54110337
104,0.04,5,0.871098,6,0.796764,5.956466758,19,0.823,20,0.777557,19.50612856,14,13.5496618
105,0.04,5,0.838311,6,0.724696,5.337200194,20,0.87667,21,0.795082,20.93972153,15,15.60252133
106,0.04,5,0.856137,6,0.762238,5.597844492,19,0.802383,20,0.713689,19.02686766,14,13.42902316
107,0.04,5,0.843198,6,0.758433,5.509620716,20,0.824597,21,0.756224,20.35974727,15,14.85012655
108,0.04,6,0.854086,7,0.75673,6.555548708,19,0.850049,20,0.757782,19.54243662,13,12.98688792
109,0.04,5,0.836901,6,0.742204,5.389674435,19,0.831014,20,0.775574,19.55941558,14,14.16974115
110,0.04,5,0.864865,6,0.788542,5.849874874,19,0.819892,20,0.721116,19.20138495,14,13.35151008
111,0.04,5,0.849899,6,0.74482,5.474871287,19,0.82231,20,0.726708,19.23336332,14,13.75849203
112,0.04,5,0.824263,6,0.764338,5.404889445,20,0.818182,21,0.729814,20.20575321,15,14.80086377
113,0.04,5,0.814703,6,0.722051,5.158690584,18,0.853306,19,0.789116,18.83044088,13,13.67175029
114,0.04,5,0.867398,6,0.797694,5.96691725,19,0.815324,20,0.727642,19.17476791,14,13.20785066
115,0.04,6,0.807574,7,0.697505,6.068811382,20,0.818632,21,0.744792,20.25232936,14,14.18351798
116,0.04,5,0.880497,6,0.787097,5.861852248,20,0.840039,21,0.745633,20.42411499,15,14.56226274
117,0.04,5,0.842675,6,0.738555,5.409863619,19,0.845829,20,0.757331,19.51785351,14,14.10798989
118,0.04,4,0.859833,5,0.788542,4.83927845,20,0.827761,21,0.736634,20.30464078,16,15.46536233
119,0.04,5,0.878431,6,0.789144,5.878414551,19,0.835443,20,0.786228,19.72016662,14,13.84175207
120,0.04,5,0.824597,6,0.744813,5.308294896,18,0.835294,19,0.758342,18.45864955,13,13.15035465
121,0.04,5,0.834677,6,0.763996,5.490612753,19,0.848045,20,0.766184,19.58690952,14,14.09629676
122,0.04,5,0.85118,6,0.750748,5.509598534,21,0.82451,22,0.743478,21.3024731,16,15.79287456
123,0.04,6,0.807847,7,0.725572,6.095375266,20,0.823418,21,0.708768,20.20425643,14,14.10888117
124,0.04,6,0.804752,7,0.700109,6.045411542,20,0.80461,21,0.700576,20.04431244,14,13.99890089
125,0.04,5,0.802775,6,0.699812,5.026951429,19,0.856158,20,0.775531,19.69651606,14,14.66956463
126,0.04,6,0.814271,7,0.709808,6.136612963,20,0.805815,21,0.72211,20.06947016,14,13.9328572
127,0.04,6,0.835498,7,0.732408,6.344339897,19,0.833996,20,0.768987,19.52294298,13,13.17860308
128,0.04,5,0.828358,6,0.71556,5.251405167,18,0.86037,19,0.795597,18.93202415,13,13.68061898
129,0.04,5,0.828092,6,0.719053,5.25763259,21,0.801951,22,0.723476,21.02486142,16,15.76722883
130,0.04,6,0.804854,7,0.743992,6.079754198,21,0.813632,22,0.730769,21.16451251,15,15.08475831
131,0.04,5,0.861522,6,0.777114,5.728864563,19,0.861538,20,0.77167,19.68475987,14,13.95589531
132,0.04,5,0.822863,6,0.747231,5.30229268,20,0.851665,21,0.74504,20.48454865,15,15.18225597
133,0.04,5,0.827935,6,0.753385,5.374714956,20,0.849593,21,0.745455,20.47622386,15,15.1015089
134,0.04,6,0.820359,7,0.721805,6.206577105,20,0.825223,21,0.739726,20.2950162,14,14.08843909
135,0.04,5,0.821682,6,0.765408,5.385293386,20,0.871205,21,0.796241,20.94985593,15,15.56456254
136,0.04,5,0.832996,6,0.761179,5.459445535,20,0.827053,21,0.753927,20.3699505,15,14.91050496
137,0.04,4,0.904419,5,0.799564,4.995841877,19,0.847208,20,0.791889,19.85337768,15,14.85753581
138,0.04,5,0.871938,6,0.772819,5.72577407,19,0.833834,20,0.737113,19.34981028,14,13.62403621
139,0.04,5,0.829724,6,0.795918,5.879252204,19,0.871875,20,0.796802,19.95740146,14,14.07814926
140,0.04,5,0.827723,6,0.739651,5.314776546,18,0.872117,19,0.775991,18.75023407,13,13.43545752
141,0.04,5,0.848485,6,0.766373,5.590473987,20,0.823364,21,0.72992,20.2500321,15,14.65955812
142,0.04,5,0.835574,6,0.768595,5.531121695,21,0.801193,22,0.697576,21.01151355,16,15.48039186
143,0.04,5,0.848126,6,0.762821,5.564163883,19,0.831256,20,0.743483,19.3561004,14,13.79193651
144,0.04,5,0.854563,6,0.743271,5.490268842,20,0.837298,21,0.770475,20.55816111,15,15.06789227
145,0.04,5,0.839416,6,0.781053,5.675359389,20,0.846311,21,0.754114,20.50230485,15,14.82694546
146,0.04,5,0.817436,6,0.734136,5.209315726,19,0.852381,20,0.790972,19.85298572,14,14.64366999
147,0.04,6,0.810437,7,0.709677,6.103582771,19,0.863114,20,0.774259,19.7103033,13,13.60672053
148,0.04,5,0.822948,6,0.760437,5.36710339,22,0.80973,23,0.737552,22.13480562,17,16.76770223
149,0.04,6,0.802326,7,0.708947,6.024909241,20,0.857711,21,0.787698,20.82428977,14,14.79938053
150,0.04,6,0.800805,7,0.727634,6.011001626,21,0.85314,22,0.764995,21.60287027,15,15.59186864
151,0.04,6,0.832335,7,0.76605,6.487817757,19,0.85309,20,0.752546,19.52802753,13,13.04020977
152,0.04,5,0.838353,6,0.75428,5.456186885,20,0.823529,21,0.746888,20.30700278,15,14.85081589
153,0.04,5,0.853521,6,0.763655,5.595564507,19,0.870868,20,0.788377,19.85909978,14,14.26353527
154,0.04,5,0.812683,6,0.696809,5.109455098,20,0.855899,21,0.785263,20.79136701,15,15.68191191
155,0.04,5,0.840278,6,0.766304,5.544488604,19,0.819374,20,0.761673,19.33576541,14,13.79127681
156,0.04,5,0.842051,6,0.779011,5.667052665,19,0.814286,20,0.772367,19.34080011,14,13.67374745
157,0.04,5,0.852525,6,0.759494,5.564596747,18,0.84058,19,0.746597,18.43178022,13,12.86718347
158,0.04,5,0.88282,6,0.785056,5.847142097,20,0.811634,21,0.74902,20.18580509,15,14.33866299
159,0.04,5,0.843531,6,0.752408,5.477716932,19,0.830151,20,0.741453,19.33992875,14,13.86221181
160,0.04,6,0.801205,7,0.68323,6.010214028,20,0.804632,21,0.723214,20.0568916,14,14.04667757
161,0.04,6,0.85947,7,0.791176,6.87079392,20,0.818737,21,0.746521,20.25945774,14,13.38866382
162,0.04,5,0.879163,6,0.784658,5.837659383,17,0.840979,18,0.768031,17.56175632,12,11.72409694
163,0.04,5,0.853249,6,0.752775,5.529977905,19,0.883654,20,0.794897,19.94250594,14,14.41252804
164,0.04,5,0.854398,6,0.792763,5.882582948,20,0.8,21,0.7,20,15,14.11741705
165,0.04,5,0.89463,6,0.796721,5.966509718,20,0.870871,21,0.790307,20.87968572,15,14.913176
166,0.04,6,0.806316,7,0.719192,6.072494376,19,0.862765,20,0.765934,19.64819118,13,13.5756968
167,0.04,5,0.839623,6,0.779297,5.65681464,20,0.865765,21,0.759921,20.62133895,15,14.96452431
168,0.04,5,0.85353,6,0.767736,5.623936406,19,0.824876,20,0.714859,19.22611051,14,13.6021741
169,0.04,6,0.830769,7,0.720856,6.279939589,20,0.83435,21,0.753894,20.42694143,14,14.14700185
170,0.04,5,0.827,6,0.729437,5.276744258,20,0.812439,21,0.760849,20.24111262,15,14.96436836
