Number,MIGRATION,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
76,0.035,5,0.817038,6,0.745652,5.23867425,25,0.811219,26,0.759706,25.21778968,20,19.97911543
77,0.035,6,0.829876,7,0.766628,6.472362762,24,0.811088,25,0.776376,24.31942844,18,17.84706568
78,0.035,6,0.81477,7,0.764773,6.295417725,26,0.828358,27,0.775862,26.54019354,20,20.24477581
79,0.035,7,0.820623,8,0.715438,7.196064078,21,0.82265,22,0.776246,21.48810447,14,14.2920404
80,0.035,7,0.814898,8,0.761111,7.276981427,22,0.819388,23,0.768478,22.38082891,15,15.10384749
81,0.035,5,0.806418,6,0.755411,5.125825867,26,0.831031,27,0.76939,26.50341493,21,21.37758907
82,0.035,5,0.853877,6,0.764108,5.600173779,25,0.859002,26,0.761388,25.60444199,20,20.00426821
83,0.035,5,0.865916,6,0.782065,5.786108693,24,0.842887,25,0.764828,24.54941775,19,18.76330906
84,0.035,5,0.878132,6,0.78884,5.875016799,26,0.844985,27,0.771585,26.61287466,21,20.73785786
85,0.035,5,0.878074,6,0.786397,5.851620363,24,0.833505,25,0.765775,24.49468478,19,18.64306441
86,0.035,5,0.833156,6,0.750253,5.399937276,22,0.820847,23,0.766022,22.38024624,17,16.98030896
87,0.035,5,0.854227,6,0.784708,5.780031358,26,0.848577,27,0.765677,26.58597105,21,20.80593969
88,0.035,5,0.857296,6,0.795139,5.92179481,24,0.80023,25,0.717414,24.00277724,19,18.08098243
89,0.035,6,0.813063,7,0.708749,6.125227678,25,0.826923,26,0.750569,25.35260759,19,19.22737991
90,0.035,7,0.824369,8,0.766219,7.419071367,23,0.878323,24,0.773606,23.74794923,16,16.32887787
91,0.035,7,0.803448,8,0.758278,7.07633385,25,0.852492,26,0.770747,25.64214325,18,18.5658094
92,0.035,5,0.861405,6,0.796698,5.948969972,27,0.861996,28,0.786437,27.82049789,22,21.87152792
93,0.035,5,0.858799,6,0.769481,5.658310755,24,0.805585,25,0.75842,24.11841408,19,18.46010332
94,0.035,5,0.881198,6,0.781646,5.815634041,27,0.818458,28,0.771751,27.39518702,22,21.57955298
95,0.035,6,0.816667,7,0.764454,6.319211691,27,0.836713,28,0.775135,27.59620319,21,21.2769915
96,0.035,5,0.829146,6,0.753138,5.383459636,24,0.839801,25,0.766094,24.53998942,19,19.15652978
97,0.035,6,0.811245,7,0.733402,6.144457434,24,0.836364,25,0.756125,24.45319608,18,18.30873864
98,0.035,6,0.830357,7,0.768912,6.494051591,27,0.807531,28,0.766029,27.18146113,21,20.68740954
99,0.035,5,0.873539,6,0.789095,5.870861162,26,0.844444,27,0.798117,26.95935416,21,21.08849299
100,0.035,5,0.866513,6,0.785242,5.818410011,26,0.854291,27,0.774784,26.68284554,21,20.86443552
101,0.035,5,0.81888,6,0.726328,5.203993431,24,0.834773,25,0.777197,24.60394956,19,19.39995613
102,0.035,5,0.856441,6,0.789593,5.844318454,27,0.813008,28,0.776876,27.36001328,22,21.51569483
103,0.035,6,0.809574,7,0.736501,6.131019665,25,0.803962,26,0.746146,25.06852774,19,18.93750808
104,0.035,6,0.8091,7,0.739362,6.130488399,25,0.804901,26,0.723285,25.0600495,19,18.9295611
105,0.035,6,0.845666,7,0.769231,6.597448813,25,0.859873,26,0.790486,25.86288498,19,19.26543617
106,0.035,6,0.836269,7,0.765837,6.514950591,26,0.840371,27,0.768765,26.56379354,20,20.04884295
107,0.035,5,0.849576,6,0.776036,5.674136524,22,0.873587,23,0.795547,22.94293952,17,17.26880299
108,0.035,5,0.843216,6,0.78821,5.785659746,28,0.848997,29,0.77416,28.65471625,23,22.8690565
109,0.035,6,0.845475,7,0.792576,6.859657082,25,0.831377,26,0.776607,25.57288662,19,18.71322953
110,0.035,5,0.833333,6,0.770983,5.534611067,27,0.865892,28,0.782518,27.79031832,22,22.25570726
111,0.035,6,0.800227,7,0.692042,6.002098258,27,0.822382,28,0.778468,27.50967801,21,21.50757975
112,0.035,6,0.803749,7,0.693002,6.033851933,25,0.841046,26,0.784553,25.72656789,19,19.69271596
113,0.035,5,0.814619,6,0.77309,5.352019071,24,0.824395,25,0.754995,24.35151297,19,18.9994939
114,0.035,6,0.83913,7,0.740535,6.396876109,25,0.820896,26,0.772139,25.42857436,19,19.03169825
115,0.035,6,0.810073,7,0.766275,6.229987671,26,0.801282,27,0.755627,26.02808017,20,19.7980925
116,0.035,5,0.838384,6,0.784079,5.706822576,25,0.834402,26,0.783931,25.68161915,20,19.97479657
117,0.035,5,0.858407,6,0.781598,5.760418701,24,0.837158,25,0.760797,24.48660966,19,18.72619096
118,0.035,7,0.830285,8,0.739321,7.332933908,29,0.814894,30,0.746417,29.21750369,22,21.88456978
119,0.035,5,0.877137,6,0.783439,5.823251297,27,0.821586,28,0.745833,27.28495241,22,21.46170111
120,0.035,5,0.880342,6,0.789704,5.88640526,27,0.830923,28,0.751872,27.39117785,22,21.50477259
121,0.035,5,0.876648,6,0.796334,5.95435416,26,0.843313,27,0.768839,26.58158552,21,20.62723136
122,0.035,5,0.834586,6,0.767857,5.518305384,21,0.821697,22,0.772727,21.44306718,16,15.9247618
123,0.035,6,0.822771,7,0.734756,6.258717264,27,0.809,28,0.762009,27.19152604,21,20.93280877
124,0.035,7,0.809524,8,0.777651,7.298810906,23,0.805763,24,0.769824,23.16035505,16,15.86154414
125,0.035,6,0.804752,7,0.747696,6.083286596,24,0.853862,25,0.795775,24.92726428,18,18.84397768
126,0.035,5,0.856394,6,0.781457,5.752552144,24,0.84653,25,0.79937,24.98664122,19,19.23408908
