Number,GROWTH,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Actual_Timed_Gens
3,5.5,9,0,10,1012,9.988142292,15,959,16,1010,15.80392157,5.815779276
3,5.5,7,0,8,1005,7.995024876,17,998,18,1010,17.16666667,9.171641791
3,5.5,7,0,8,1025,7.975609756,15,940,16,1032,15.65217391,7.676564157
3,5.5,8,0,9,1035,8.966183575,13,752,14,1007,13.97254902,5.006365445
3,5.5,10,0,11,1042,10.9596929,17,963,18,1064,17.36633663,6.406643735
3,5.5,7,0,8,1023,7.977517107,15,940,16,1018,15.76923077,7.791713663
3,5.5,7,0,8,1050,7.952380952,15,965,16,1019,15.64814815,7.695767196
3,5.5,7,0,8,1019,7.981354269,15,842,16,1006,15.96341463,7.982060365
3,5.5,6,0,7,1012,6.988142292,16,955,17,1031,16.59210526,9.603962971
3,5.5,8,0,9,1026,8.974658869,19,989,20,1018,19.37931034,10.40465148
4,5.5,7,0,8,1025,7.975609756,16,961,17,1078,16.33333333,8.357723577
4,5.5,8,0,9,1031,8.969932105,16,972,17,1039,16.41791045,7.447978343
4,5.5,7,0,8,1032,7.968992248,16,993,17,1058,16.10769231,8.13870006
4,5.5,12,0,13,1056,12.9469697,16,956,17,1003,16.93617021,3.989200516
4,5.5,12,0,13,1002,12.99800399,16,958,17,1022,16.65625,3.658246008
4,5.5,7,0,8,1042,7.959692898,15,985,16,1080,15.15789474,7.198201839
4,5.5,7,0,8,1001,7.999000999,20,981,21,1067,20.22093023,12.22192923
4,5.5,7,0,8,1057,7.946073794,15,964,16,1066,15.35294118,7.406867383
4,5.5,8,0,9,1013,8.987166831,15,974,16,1038,15.40625,6.419083169
4,5.5,9,0,10,1047,9.955109838,17,983,18,1068,17.2,7.244890162
4,5.5,9,0,10,1008,9.992063492,16,949,17,1022,16.69863014,6.706566645
4,5.5,7,0,8,1027,7.973709834,14,978,15,1049,14.30985915,6.33614932
4,5.5,8,0,9,1013,8.987166831,17,977,18,1060,17.27710843,8.289941603
4,5.5,7,0,8,1005,7.995024876,15,964,16,1020,15.64285714,7.647832267
4,5.5,10,0,11,1027,10.97370983,16,914,17,1011,16.88659794,5.912888104
4,5.5,11,0,12,1046,11.95602294,18,983,19,1047,18.265625,6.309602055
4,5.5,10,0,11,1005,10.99502488,18,999,19,1009,18.1,7.104975124
4,5.5,8,0,9,1028,8.972762646,16,985,17,1052,16.2238806,7.251117951
4,5.5,7,0,8,1010,7.99009901,15,935,16,1029,15.69148936,7.701390352
4,5.5,10,0,11,1042,10.9596929,16,935,17,1022,16.74712644,5.787433539
5,5.5,9,0,10,1093,9.914913083,16,921,17,1074,16.51633987,6.601426786
5,5.5,8,0,9,1053,8.949667616,17,938,18,1055,17.52991453,8.580246914
5,5.5,8,0,9,1021,8.979431929,17,974,18,1044,17.37142857,8.391996642
5,5.5,8,0,9,1024,8.9765625,22,988,23,1013,22.48,13.5034375
5,5.5,7,0,8,1021,7.979431929,17,975,18,1036,17.40983607,9.430404136
5,5.5,6,0,7,1016,6.984251969,16,946,17,1017,16.76056338,9.776311412
5,5.5,8,0,9,1005,8.995024876,16,948,17,1009,16.85245902,7.857434141
5,5.5,8,0,9,1005,8.995024876,17,958,18,1005,17.89361702,8.898592146
5,5.5,8,0,9,1073,8.931966449,15,960,16,1005,15.88888889,6.95692244
5,5.5,9,0,10,1039,9.962463908,16,978,17,1047,16.31884058,6.356376672
5,5.5,7,0,8,1057,7.946073794,17,970,18,1047,17.38961039,9.443536596
5,5.5,7,0,8,1003,7.997008973,16,958,17,1071,16.37168142,8.374672443
5,5.5,8,0,9,1016,8.984251969,17,991,18,1013,17.40909091,8.424838941
5,5.5,9,0,10,1061,9.942507069,15,937,16,1006,15.91304348,5.970536409
5,5.5,7,0,8,1010,7.99009901,13,814,14,1027,13.87323944,5.883140427
5,5.5,8,0,9,1013,8.987166831,13,707,14,1003,13.98986486,5.002698034
5,5.5,7,0,8,1070,7.934579439,17,995,18,1018,17.2173913,9.282811865
5,5.5,9,0,10,1019,9.981354269,17,995,18,1021,17.19230769,7.210953423
5,5.5,6,0,7,1007,6.993048659,15,975,16,1007,15.78125,8.788201341
5,5.5,6,0,7,1013,6.987166831,15,953,16,1010,15.8245614,8.837394572
6,5.5,6,0,7,1004,6.996015936,15,942,16,1003,15.95081967,8.954803736
6,5.5,10,0,11,1072,10.93283582,15,965,16,1020,15.63636364,4.703527815
