Number,GROWTH,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Actual_Timed_Gens
1,4.5,8,0,9,1028,8.972762646,17,981,18,1018,17.51351351,8.540750868
1,4.5,8,0,9,1012,8.988142292,18,963,19,1056,18.39784946,9.40970717
1,4.5,7,0,8,1010,7.99009901,16,995,17,1014,16.26315789,8.273058885
2,4.5,8,0,9,1016,8.984251969,22,971,23,1014,22.6744186,13.69016664
2,4.5,10,0,11,1050,10.95238095,17,897,18,1058,17.63975155,6.6873706
2,4.5,10,0,11,1021,10.97943193,20,973,21,1028,20.49090909,9.511477161
2,4.5,9,0,10,1071,9.933706816,16,980,17,1004,16.83333333,6.899626517
2,4.5,7,0,8,1073,7.931966449,20,998,21,1072,20.02702703,12.09506058
2,4.5,7,0,8,1021,7.979431929,18,969,19,1022,18.58490566,10.60547373
2,4.5,9,0,10,1017,9.983284169,19,950,20,1029,19.63291139,9.649627223
2,4.5,9,0,10,1004,9.996015936,17,976,18,1041,17.36923077,7.373214833
2,4.5,9,0,10,1012,9.988142292,17,972,18,1059,17.32183908,7.333696788
2,4.5,9,0,10,1001,9.999000999,16,937,17,1018,16.77777778,6.778776779
